สถานภาพการทางาน,ค่าข้อมูล,ที่มา,_id,ปี,เพศ,ไตรมาส,รายการ,จังหวัด,หน่วย
รวมยอด,364139,สำนักงานสถิติจังหวัดมหาสารคาม,1,2565,รวม,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
รวมยอด,204512,สำนักงานสถิติจังหวัดมหาสารคาม,2,2565,ชาย,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
รวมยอด,159627,สำนักงานสถิติจังหวัดมหาสารคาม,3,2565,หญิง,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
นายจ้าง,2245,สำนักงานสถิติจังหวัดมหาสารคาม,4,2565,รวม,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
นายจ้าง,1912,สำนักงานสถิติจังหวัดมหาสารคาม,5,2565,ชาย,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
นายจ้าง,333,สำนักงานสถิติจังหวัดมหาสารคาม,6,2565,หญิง,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
ลูกจ้างรัฐบาล,39426,สำนักงานสถิติจังหวัดมหาสารคาม,7,2565,รวม,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
ลูกจ้างรัฐบาล,18087,สำนักงานสถิติจังหวัดมหาสารคาม,8,2565,ชาย,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
ลูกจ้างรัฐบาล,21339,สำนักงานสถิติจังหวัดมหาสารคาม,9,2565,หญิง,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
ลูกจ้างเอกชน,72975,สำนักงานสถิติจังหวัดมหาสารคาม,10,2565,รวม,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
ลูกจ้างเอกชน,45317,สำนักงานสถิติจังหวัดมหาสารคาม,11,2565,ชาย,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
ลูกจ้างเอกชน,27658,สำนักงานสถิติจังหวัดมหาสารคาม,12,2565,หญิง,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
