ประเภท,_id,ปี,ผู้สูงวัยในระบบ,จังหวัด
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,1,2565,2,กระบี่
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,2,2565,4,กระบี่
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมในมาตรา 40,3,2565,180,กระบี่
จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,4,2565,186,กระบี่
จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,5,2565,0,กรุงเทพมหานคร
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,6,2565,8,กาญจนบุรี
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,7,2565,26,กาญจนบุรี
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมในมาตรา 40,8,2565,290,กาญจนบุรี
จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,9,2565,324,กาญจนบุรี
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,10,2565,1,กาฬสินธุ์
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,11,2565,2,กาฬสินธุ์
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมในมาตรา 40,12,2565,247,กาฬสินธุ์
จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,13,2565,250,กาฬสินธุ์
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,14,2565,11,กำแพงเพชร
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,15,2565,8,กำแพงเพชร
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมในมาตรา 40,16,2565,444,กำแพงเพชร
จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,17,2565,463,กำแพงเพชร
