มาตรา 39,มาตรา 40,_id,ปี,มาตรา 33,จังหวัด,ผู้ประกันตน
4,180,1,2565,2.0,กระบี่,186
,,2,2565,,กรุงเทพมหานคร,0
26,290,3,2565,8.0,กาญจนบุรี,324
2,247,4,2565,1.0,กาฬสินธุ์,250
8,444,5,2565,11.0,กำแพงเพชร,463
30,509,6,2565,19.0,ขอนแก่น,558
13,150,7,2565,8.0,จันทบุรี,171
42,248,8,2565,38.0,ฉะเชิงเทรา,328
181,286,9,2565,117.0,ชลบุรี,584
4,223,10,2565,1.0,ชัยนาท,228
11,391,11,2565,8.0,ชัยภูมิ,410
7,154,12,2565,5.0,ชุมพร,166
40,333,13,2565,12.0,เชียงราย,385
326,760,14,2565,79.0,เชียงใหม่,1165
7,331,15,2565,8.0,ตรัง,346
5,156,16,2565,4.0,ตราด,165
9,124,17,2565,2.0,ตาก,135
19,74,18,2565,9.0,นครนายก,102
80,257,19,2565,33.0,นครปฐม,370
5,115,20,2565,0.0,นครพนม,120
41,338,21,2565,44.0,นครราชสีมา,423
17,389,22,2565,5.0,นครศรีธรรมราช,411
16,355,23,2565,16.0,นครสวรรค์,387
216,312,24,2565,85.0,นนทบุรี,613
6,114,25,2565,1.0,นราธิวาส,121
5,243,26,2565,5.0,น่าน,253
1,79,27,2565,1.0,บึงกาฬ,81
9,303,28,2565,5.0,บุรีรัมย์,317
284,345,29,2565,82.0,ปทุมธานี,711
9,141,30,2565,3.0,ประจวบคีรีขันธ์,153
14,116,31,2565,11.0,ปราจีนบุรี,141
3,116,32,2565,6.0,ปัตตานี,125
77,201,33,2565,null,พระนครศรีอยุธยา,278
6,1463,34,2565,3.0,พะเยา,1472
3,247,35,2565,3.0,พังงา,253
1,325,36,2565,1.0,พัทลุง,327
10,259,37,2565,2.0,พิจิตร,271
16,453,38,2565,7.0,พิษณุโลก,476
12,136,39,2565,6.0,เพชรบุรี,154
12,252,40,2565,10.0,เพชรบูรณ์,274
8,364,41,2565,4.0,แพร่,376
40,217,42,2565,28.0,ภูเก็ต,285
7,210,43,2565,2.0,มหาสารคาม,219
2,234,44,2565,5.0,มุกดาหาร,241
4,167,45,2565,0.0,แม่ฮ่องสอน,171
3,353,46,2565,0.0,ยโสธร,356
3,93,47,2565,2.0,ยะลา,98
13,248,48,2565,6.0,ร้อยเอ็ด,267
1,170,49,2565,1.0,ระนอง,172
72,218,50,2565,58.0,ระยอง,348
33,274,51,2565,13.0,ราชบุรี,320
18,189,52,2565,4.0,ลพบุรี,211
22,418,53,2565,7.0,ลำปาง,447
47,510,54,2565,9.0,ลำพูน,566
6,385,55,2565,4.0,เลย,395
6,413,56,2565,7.0,ศรีสะเกษ,426
8,314,57,2565,4.0,สกลนคร,326
49,257,58,2565,20.0,สงขลา,326
0,145,59,2565,3.0,สตูล,148
272,431,60,2565,104.0,สมุทรปราการ,807
7,119,61,2565,9.0,สมุทรสงคราม,135
81,207,62,2565,52.0,สมุทรสาคร,340
5,183,63,2565,3.0,สระแก้ว,191
31,251,64,2565,27.0,สระบุรี,309
8,145,65,2565,2.0,สิงห์บุรี,155
10,342,66,2565,3.0,สุโขทัย,355
12,230,67,2565,7.0,สุพรรณบุรี,249
20,320,68,2565,13.0,สุราษฎร์ธานี,353
9,342,69,2565,3.0,สุรินทร์,354
8,169,70,2565,2.0,หนองคาย,179
4,192,71,2565,0.0,หนองบัวลำภู,196
10,108,72,2565,2.0,อ่างทอง,120
7,158,73,2565,2.0,อำนาจเจริญ,167
15,527,74,2565,13.0,อุดรธานี,555
6,347,75,2565,2.0,อุตรดิตถ์,355
9,202,76,2565,0.0,อุทัยธานี,211
20,345,77,2565,7.0,อุบลราชธานี,372
