จำนวน,_id,ปี,เพศ,ไตรมาส,อาชีพ
" 169,823 ",1,2562,รวม,ไตรมาส 1,ยอดรวม
" 171,058 ",2,2562,รวม,ไตรมาส 2,ยอดรวม
" 169,300 ",3,2562,รวม,ไตรมาส 3,ยอดรวม
" 177,257 ",4,2562,รวม,ไตรมาส 4,ยอดรวม
" 171,860 ",5,2562,รวม,เฉลี่ย 4 ไตรมาส,ยอดรวม
" 91,241 ",6,2562,ชาย                         ,ไตรมาส 1,ยอดรวม
" 91,905 ",7,2562,ชาย                         ,ไตรมาส 2,ยอดรวม
" 90,347 ",8,2562,ชาย                         ,ไตรมาส 3,ยอดรวม
" 92,069 ",9,2562,ชาย                         ,ไตรมาส 4,ยอดรวม
" 91,391 ",10,2562,ชาย                         ,เฉลี่ย 4 ไตรมาส,ยอดรวม
" 78,583 ",11,2562,หญิง                        ,ไตรมาส 1,ยอดรวม
" 79,153 ",12,2562,หญิง                        ,ไตรมาส 2,ยอดรวม
" 78,954 ",13,2562,หญิง                        ,ไตรมาส 3,ยอดรวม
" 85,187 ",14,2562,หญิง                        ,ไตรมาส 4,ยอดรวม
" 80,469 ",15,2562,หญิง                        ,เฉลี่ย 4 ไตรมาส,ยอดรวม
" 7,028 ",16,2562,รวม,ไตรมาส 1,ผู้บัญญัติกฏหมาย ข้าราชการระดับอาวุโส และผู้จัดการ
" 6,044 ",17,2562,รวม,ไตรมาส 2,ผู้บัญญัติกฏหมาย ข้าราชการระดับอาวุโส และผู้จัดการ
" 3,889 ",18,2562,รวม,ไตรมาส 3,ผู้บัญญัติกฏหมาย ข้าราชการระดับอาวุโส และผู้จัดการ
" 5,689 ",19,2562,รวม,ไตรมาส 4,ผู้บัญญัติกฏหมาย ข้าราชการระดับอาวุโส และผู้จัดการ
" 5,663 ",20,2562,รวม,เฉลี่ย 4 ไตรมาส,ผู้บัญญัติกฏหมาย ข้าราชการระดับอาวุโส และผู้จัดการ
" 4,737 ",21,2562,ชาย                         ,ไตรมาส 1,ผู้บัญญัติกฏหมาย ข้าราชการระดับอาวุโส และผู้จัดการ
" 4,131 ",22,2562,ชาย                         ,ไตรมาส 2,ผู้บัญญัติกฏหมาย ข้าราชการระดับอาวุโส และผู้จัดการ
" 3,034 ",23,2562,ชาย                         ,ไตรมาส 3,ผู้บัญญัติกฏหมาย ข้าราชการระดับอาวุโส และผู้จัดการ
" 3,116 ",24,2562,ชาย                         ,ไตรมาส 4,ผู้บัญญัติกฏหมาย ข้าราชการระดับอาวุโส และผู้จัดการ
" 3,755 ",25,2562,ชาย                         ,เฉลี่ย 4 ไตรมาส,ผู้บัญญัติกฏหมาย ข้าราชการระดับอาวุโส และผู้จัดการ
" 2,291 ",26,2562,หญิง                        ,ไตรมาส 1,ผู้บัญญัติกฏหมาย ข้าราชการระดับอาวุโส และผู้จัดการ
" 1,913 ",27,2562,หญิง                        ,ไตรมาส 2,ผู้บัญญัติกฏหมาย ข้าราชการระดับอาวุโส และผู้จัดการ
 855 ,28,2562,หญิง                        ,ไตรมาส 3,ผู้บัญญัติกฏหมาย ข้าราชการระดับอาวุโส และผู้จัดการ
" 2,573 ",29,2562,หญิง                        ,ไตรมาส 4,ผู้บัญญัติกฏหมาย ข้าราชการระดับอาวุโส และผู้จัดการ
" 1,908 ",30,2562,หญิง                        ,เฉลี่ย 4 ไตรมาส,ผู้บัญญัติกฏหมาย ข้าราชการระดับอาวุโส และผู้จัดการ
" 10,605 ",31,2562,รวม,ไตรมาส 1,ผู้ประกอบวิชาชีพด้านต่าง ๆ 
" 7,999 ",32,2562,รวม,ไตรมาส 2,ผู้ประกอบวิชาชีพด้านต่าง ๆ 
" 8,339 ",33,2562,รวม,ไตรมาส 3,ผู้ประกอบวิชาชีพด้านต่าง ๆ 
" 10,936 ",34,2562,รวม,ไตรมาส 4,ผู้ประกอบวิชาชีพด้านต่าง ๆ 
" 9,470 ",35,2562,รวม,เฉลี่ย 4 ไตรมาส,ผู้ประกอบวิชาชีพด้านต่าง ๆ 
" 2,872 ",36,2562,ชาย                         ,ไตรมาส 1,ผู้ประกอบวิชาชีพด้านต่าง ๆ 
" 2,392 ",37,2562,ชาย                         ,ไตรมาส 2,ผู้ประกอบวิชาชีพด้านต่าง ๆ 
" 2,415 ",38,2562,ชาย                         ,ไตรมาส 3,ผู้ประกอบวิชาชีพด้านต่าง ๆ 
" 3,718 ",39,2562,ชาย                         ,ไตรมาส 4,ผู้ประกอบวิชาชีพด้านต่าง ๆ 
" 2,849 ",40,2562,ชาย                         ,เฉลี่ย 4 ไตรมาส,ผู้ประกอบวิชาชีพด้านต่าง ๆ 
" 7,733 ",41,2562,หญิง                        ,ไตรมาส 1,ผู้ประกอบวิชาชีพด้านต่าง ๆ 
" 5,607 ",42,2562,หญิง                        ,ไตรมาส 2,ผู้ประกอบวิชาชีพด้านต่าง ๆ 
" 5,925 ",43,2562,หญิง                        ,ไตรมาส 3,ผู้ประกอบวิชาชีพด้านต่าง ๆ 
" 7,217 ",44,2562,หญิง                        ,ไตรมาส 4,ผู้ประกอบวิชาชีพด้านต่าง ๆ 
" 6,621 ",45,2562,หญิง                        ,เฉลี่ย 4 ไตรมาส,ผู้ประกอบวิชาชีพด้านต่าง ๆ 
" 4,705 ",46,2562,รวม,ไตรมาส 1,ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่าง ๆ และอาชีพที่เกี่ยวข้อง
" 4,792 ",47,2562,รวม,ไตรมาส 2,ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่าง ๆ และอาชีพที่เกี่ยวข้อง
" 4,325 ",48,2562,รวม,ไตรมาส 3,ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่าง ๆ และอาชีพที่เกี่ยวข้อง
" 5,370 ",49,2562,รวม,ไตรมาส 4,ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่าง ๆ และอาชีพที่เกี่ยวข้อง
" 4,798 ",50,2562,รวม,เฉลี่ย 4 ไตรมาส,ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่าง ๆ และอาชีพที่เกี่ยวข้อง
" 2,476 ",51,2562,ชาย                         ,ไตรมาส 1,ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่าง ๆ และอาชีพที่เกี่ยวข้อง
" 2,281 ",52,2562,ชาย                         ,ไตรมาส 2,ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่าง ๆ และอาชีพที่เกี่ยวข้อง
" 1,811 ",53,2562,ชาย                         ,ไตรมาส 3,ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่าง ๆ และอาชีพที่เกี่ยวข้อง
" 3,413 ",54,2562,ชาย                         ,ไตรมาส 4,ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่าง ๆ และอาชีพที่เกี่ยวข้อง
" 2,495 ",55,2562,ชาย                         ,เฉลี่ย 4 ไตรมาส,ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่าง ๆ และอาชีพที่เกี่ยวข้อง
" 2,229 ",56,2562,หญิง                        ,ไตรมาส 1,ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่าง ๆ และอาชีพที่เกี่ยวข้อง
" 2,510 ",57,2562,หญิง                        ,ไตรมาส 2,ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่าง ๆ และอาชีพที่เกี่ยวข้อง
" 2,514 ",58,2562,หญิง                        ,ไตรมาส 3,ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่าง ๆ และอาชีพที่เกี่ยวข้อง
" 1,958 ",59,2562,หญิง                        ,ไตรมาส 4,ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่าง ๆ และอาชีพที่เกี่ยวข้อง
" 2,303 ",60,2562,หญิง                        ,เฉลี่ย 4 ไตรมาส,ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่าง ๆ และอาชีพที่เกี่ยวข้อง
" 7,011 ",61,2562,รวม,ไตรมาส 1,เสมียน
" 6,175 ",62,2562,รวม,ไตรมาส 2,เสมียน
" 5,197 ",63,2562,รวม,ไตรมาส 3,เสมียน
" 5,531 ",64,2562,รวม,ไตรมาส 4,เสมียน
" 5,979 ",65,2562,รวม,เฉลี่ย 4 ไตรมาส,เสมียน
" 1,726 ",66,2562,ชาย                         ,ไตรมาส 1,เสมียน
" 1,597 ",67,2562,ชาย                         ,ไตรมาส 2,เสมียน
" 1,130 ",68,2562,ชาย                         ,ไตรมาส 3,เสมียน
" 1,091 ",69,2562,ชาย                         ,ไตรมาส 4,เสมียน
" 1,386 ",70,2562,ชาย                         ,เฉลี่ย 4 ไตรมาส,เสมียน
" 5,285 ",71,2562,หญิง                        ,ไตรมาส 1,เสมียน
" 4,578 ",72,2562,หญิง                        ,ไตรมาส 2,เสมียน
" 4,067 ",73,2562,หญิง                        ,ไตรมาส 3,เสมียน
" 4,440 ",74,2562,หญิง                        ,ไตรมาส 4,เสมียน
" 4,593 ",75,2562,หญิง                        ,เฉลี่ย 4 ไตรมาส,เสมียน
" 29,241 ",76,2562,รวม,ไตรมาส 1,พนักงานบริการและพนักงานในร้านค้าและตลาด
" 31,494 ",77,2562,รวม,ไตรมาส 2,พนักงานบริการและพนักงานในร้านค้าและตลาด
" 30,520 ",78,2562,รวม,ไตรมาส 3,พนักงานบริการและพนักงานในร้านค้าและตลาด
" 34,723 ",79,2562,รวม,ไตรมาส 4,พนักงานบริการและพนักงานในร้านค้าและตลาด
" 31,495 ",80,2562,รวม,เฉลี่ย 4 ไตรมาส,พนักงานบริการและพนักงานในร้านค้าและตลาด
" 10,751 ",81,2562,ชาย                         ,ไตรมาส 1,พนักงานบริการและพนักงานในร้านค้าและตลาด
" 12,387 ",82,2562,ชาย                         ,ไตรมาส 2,พนักงานบริการและพนักงานในร้านค้าและตลาด
" 12,686 ",83,2562,ชาย                         ,ไตรมาส 3,พนักงานบริการและพนักงานในร้านค้าและตลาด
