จำนวน,_id,ปี,สถานภาพการทำงาน,เพศ,ไตรมาส
392987.47,1,2561,ยอดรวม,รวม,ไตรมาส 1
381300.41,2,2561,ยอดรวม,รวม,ไตรมาส 2
393254.73,3,2561,ยอดรวม,รวม,ไตรมาส 3
393866.17,4,2561,ยอดรวม,รวม,ไตรมาส 4
390352.19499999995,5,2561,ยอดรวม,รวม,เฉลี่ย 4 ไตรมาส
216651.01,6,2561,ยอดรวม,ชาย                         ,ไตรมาส 1
212106.77,7,2561,ยอดรวม,ชาย                         ,ไตรมาส 2
217788.86,8,2561,ยอดรวม,ชาย                         ,ไตรมาส 3
216320.29,9,2561,ยอดรวม,ชาย                         ,ไตรมาส 4
215716.7325,10,2561,ยอดรวม,ชาย                         ,เฉลี่ย 4 ไตรมาส
176336.46,11,2561,ยอดรวม,หญิง                        ,ไตรมาส 1
169193.64,12,2561,ยอดรวม,หญิง                        ,ไตรมาส 2
175465.87,13,2561,ยอดรวม,หญิง                        ,ไตรมาส 3
177545.88,14,2561,ยอดรวม,หญิง                        ,ไตรมาส 4
174635.4625,15,2561,ยอดรวม,หญิง                        ,เฉลี่ย 4 ไตรมาส
9397.68,16,2561,นายจ้าง,รวม,ไตรมาส 1
10137.99,17,2561,นายจ้าง,รวม,ไตรมาส 2
8343.41,18,2561,นายจ้าง,รวม,ไตรมาส 3
8956.55,19,2561,นายจ้าง,รวม,ไตรมาส 4
9208.9075,20,2561,นายจ้าง,รวม,เฉลี่ย 4 ไตรมาส
7243.35,21,2561,นายจ้าง,ชาย                         ,ไตรมาส 1
8294.72,22,2561,นายจ้าง,ชาย                         ,ไตรมาส 2
5877.26,23,2561,นายจ้าง,ชาย                         ,ไตรมาส 3
6306.53,24,2561,นายจ้าง,ชาย                         ,ไตรมาส 4
6930.465,25,2561,นายจ้าง,ชาย                         ,เฉลี่ย 4 ไตรมาส
2154.33,26,2561,นายจ้าง,หญิง                        ,ไตรมาส 1
1843.27,27,2561,นายจ้าง,หญิง                        ,ไตรมาส 2
2466.14,28,2561,นายจ้าง,หญิง                        ,ไตรมาส 3
2650.02,29,2561,นายจ้าง,หญิง                        ,ไตรมาส 4
2278.44,30,2561,นายจ้าง,หญิง                        ,เฉลี่ย 4 ไตรมาส
37330.89,31,2561,ลูกจ้างรัฐบาล,รวม,ไตรมาส 1
30683.77,32,2561,ลูกจ้างรัฐบาล,รวม,ไตรมาส 2
31208.68,33,2561,ลูกจ้างรัฐบาล,รวม,ไตรมาส 3
35708.16,34,2561,ลูกจ้างรัฐบาล,รวม,ไตรมาส 4
33732.875,35,2561,ลูกจ้างรัฐบาล,รวม,เฉลี่ย 4 ไตรมาส
17716.02,36,2561,ลูกจ้างรัฐบาล,ชาย                         ,ไตรมาส 1
14194.89,37,2561,ลูกจ้างรัฐบาล,ชาย                         ,ไตรมาส 2
14328.65,38,2561,ลูกจ้างรัฐบาล,ชาย                         ,ไตรมาส 3
14873.56,39,2561,ลูกจ้างรัฐบาล,ชาย                         ,ไตรมาส 4
15278.279999999999,40,2561,ลูกจ้างรัฐบาล,ชาย                         ,เฉลี่ย 4 ไตรมาส
19614.86,41,2561,ลูกจ้างรัฐบาล,หญิง                        ,ไตรมาส 1
16488.87,42,2561,ลูกจ้างรัฐบาล,หญิง                        ,ไตรมาส 2
16880.03,43,2561,ลูกจ้างรัฐบาล,หญิง                        ,ไตรมาส 3
20834.6,44,2561,ลูกจ้างรัฐบาล,หญิง                        ,ไตรมาส 4
18454.589999999997,45,2561,ลูกจ้างรัฐบาล,หญิง                        ,เฉลี่ย 4 ไตรมาส
220423.05,46,2561,ลูกจ้างเอกชน,รวม,ไตรมาส 1
218620.44,47,2561,ลูกจ้างเอกชน,รวม,ไตรมาส 2
233957.46,48,2561,ลูกจ้างเอกชน,รวม,ไตรมาส 3
225690.56,49,2561,ลูกจ้างเอกชน,รวม,ไตรมาส 4
224672.8775,50,2561,ลูกจ้างเอกชน,รวม,เฉลี่ย 4 ไตรมาส
132697.98,51,2561,ลูกจ้างเอกชน,ชาย                         ,ไตรมาส 1
131389,52,2561,ลูกจ้างเอกชน,ชาย                         ,ไตรมาส 2
144818.27,53,2561,ลูกจ้างเอกชน,ชาย                         ,ไตรมาส 3
136289.64,54,2561,ลูกจ้างเอกชน,ชาย                         ,ไตรมาส 4
136298.7225,55,2561,ลูกจ้างเอกชน,ชาย                         ,เฉลี่ย 4 ไตรมาส
87725.07,56,2561,ลูกจ้างเอกชน,หญิง                        ,ไตรมาส 1
87231.44,57,2561,ลูกจ้างเอกชน,หญิง                        ,ไตรมาส 2
89139.19,58,2561,ลูกจ้างเอกชน,หญิง                        ,ไตรมาส 3
89400.92,59,2561,ลูกจ้างเอกชน,หญิง                        ,ไตรมาส 4
88374.155,60,2561,ลูกจ้างเอกชน,หญิง                        ,เฉลี่ย 4 ไตรมาส
86636.8,61,2561,ทำงานส่วนตัว,รวม,ไตรมาส 1
80608.98,62,2561,ทำงานส่วนตัว,รวม,ไตรมาส 2
78843.62,63,2561,ทำงานส่วนตัว,รวม,ไตรมาส 3
85833.54,64,2561,ทำงานส่วนตัว,รวม,ไตรมาส 4
82980.735,65,2561,ทำงานส่วนตัว,รวม,เฉลี่ย 4 ไตรมาส
42209.15,66,2561,ทำงานส่วนตัว,ชาย                         ,ไตรมาส 1
38415.31,67,2561,ทำงานส่วนตัว,ชาย                         ,ไตรมาส 2
34530.3,68,2561,ทำงานส่วนตัว,ชาย                         ,ไตรมาส 3
41042.78,69,2561,ทำงานส่วนตัว,ชาย                         ,ไตรมาส 4
39049.384999999995,70,2561,ทำงานส่วนตัว,ชาย                         ,เฉลี่ย 4 ไตรมาส
44427.65,71,2561,ทำงานส่วนตัว,หญิง                        ,ไตรมาส 1
42193.66,72,2561,ทำงานส่วนตัว,หญิง                        ,ไตรมาส 2
44313.31,73,2561,ทำงานส่วนตัว,หญิง                        ,ไตรมาส 3
44790.77,74,2561,ทำงานส่วนตัว,หญิง                        ,ไตรมาส 4
43931.347499999996,75,2561,ทำงานส่วนตัว,หญิง                        ,เฉลี่ย 4 ไตรมาส
39199.06,76,2561,ช่วยธุรกิจครัวเรือน,รวม,ไตรมาส 1
