ลูกจ้างเอกชน,_id,ปี,นายจ้าง,ช่วยธุรกิจครัวเรือน,ลูกจ้างรัฐบาล,เพศ,การรวมกลุ่ม,ประกอบธุรกิจส่วนตัว,ประเภทแรงงาน
" 544,208 ",1,2568," 10,786 "," 2,658 "," 28,840 ",ชาย,0," 32,460 ",แรงงานในระบบ
" 530,531 ",2,2568," 3,685 "," 3,901 "," 45,086 ",หญิง,0," 14,423 ",แรงงานในระบบ
" 17,158 ",3,2568," 10,166 "," 28,691 ",0,ชาย,0," 107,452 ",แรงงานนอกระบบ
" 3,000 ",4,2568," 4,083 "," 16,550 ",0,หญิง,0," 102,153 ",แรงงานนอกระบบ
538078.1239,5,2567,6266.3963,1224.1205,41206.9514,ชาย,0,27545.5946,แรงงานในระบบ
516183.2847,6,2567,0,281.7273,43148.1881,หญิง,0,20944.6755,แรงงานในระบบ
8747.0075,7,2567,15173.5247,13358.895,0,ชาย,1722.915,131719.3955,แรงงานนอกระบบ
5228.6649,8,2567,7990.5551,33670.1892,0,หญิง,0,83396.2828,แรงงานนอกระบบ
587090,9,2566,5313,12229,22500,ชาย,0,48113,แรงงานในระบบ
523596,10,2566,0,9656,28871,หญิง,0,57134,แรงงานในระบบ
233,11,2566,11360,11282,0,ชาย,0,83141,แรงงานนอกระบบ
4011,12,2566,1843,12686,851,หญิง,0,86572,แรงงานนอกระบบ
561115,13,2565,18624,5989,23835,ชาย,0,70358,แรงงานในระบบ
485402,14,2565,3723,23180,36123,หญิง,0,48975,แรงงานในระบบ
3429,15,2565,7205,12126,0,ชาย,0,55766,แรงงานนอกระบบ
0,16,2565,5247,14261,0,หญิง,0,33841,แรงงานนอกระบบ
491458,17,2564,1803,8010,29726,ชาย,0,65113,แรงงานในระบบ
442295,18,2564,2544,7140,29660,หญิง,0,24946,แรงงานในระบบ
3350,19,2564,21340,20288,0,ชาย,0,93157,แรงงานนอกระบบ
2542,20,2564,4088,40734,0,หญิง,0,73841,แรงงานนอกระบบ
475710,21,2563,10562,6743,31991,ชาย,0,57607,แรงงานในระบบ
448025,22,2563,4279,11760,31780,หญิง,0,38153,แรงงานในระบบ
3874,23,2563,10168,13869,0,ชาย,0,99978,แรงงานนอกระบบ
2136,24,2563,719,27957,0,หญิง,0,74698,แรงงานนอกระบบ
518540,25,2562,7765,0,29357,ชาย,0,28459,แรงงานในระบบ
420229,26,2562,6785,7453,28949,หญิง,0,26350,แรงงานในระบบ
3043,27,2562,18519,14096,0,ชาย,1233,110776,แรงงานนอกระบบ
6451,28,2562,6460,35183,0,หญิง,0,83962,แรงงานนอกระบบ
451700,29,2561,22202,7097,33155,ชาย,0,60530,แรงงานในระบบ
413992,30,2561,8775,20152,29107,หญิง,0,27931,แรงงานในระบบ
1417,31,2561,13045,18521,0,ชาย,0,100610,แรงงานนอกระบบ
1786,32,2561,2153,47568,0,หญิง,0,72409,แรงงานนอกระบบ
492609,33,2560,7605,0,21907,ชาย,2135,20333,แรงงานในระบบ
411188,34,2560,2371,2953,28909,หญิง,0,8193,แรงงานในระบบ
4137,35,2560,37582,20074,0,ชาย,0,97082,แรงงานนอกระบบ
1189,36,2560,4979,80270,0,หญิง,0,76303,แรงงานนอกระบบ
509595,37,2559,13946,4554,32947,ชาย,0,29010,แรงงานในระบบ
458303,38,2559,1329,10819,27657,หญิง,0,17234,แรงงานในระบบ
8322,39,2559,15770,15943,0,ชาย,0,84201,แรงงานนอกระบบ
4038,40,2559,992,31133,0,หญิง,0,83094,แรงงานนอกระบบ
