จำนวน,_id,ปี,หน่วยวัด,ไตรมาส,ผู้ไม่อยู่ในแรงงาน
"34,442",1,2563,คน,1,ทำงานบ้าน
"31,171",2,2563,คน,1,เรียนหนังสือ
0,3,2563,คน,1,เด็ก/ชรา/ป่วย/พิการจนไม่สามารถทำงานได้
0,4,2563,คน,1,ดูแลเด็ก/ผู้สูงอายุ/ผู้ป่วย/ผู้พิการ
"164,019",5,2563,คน,1,อื่น ๆ
"38,929",6,2563,คน,2,ทำงานบ้าน
"26,294",7,2563,คน,2,เรียนหนังสือ
0,8,2563,คน,2,เด็ก/ชรา/ป่วย/พิการจนไม่สามารถทำงานได้
0,9,2563,คน,2,ดูแลเด็ก/ผู้สูงอายุ/ผู้ป่วย/ผู้พิการ
"66,187",10,2563,คน,2,อื่น ๆ
"28,831",11,2563,คน,3,ทำงานบ้าน
"28,313",12,2563,คน,3,เรียนหนังสือ
0,13,2563,คน,3,เด็ก/ชรา/ป่วย/พิการจนไม่สามารถทำงานได้
0,14,2563,คน,3,ดูแลเด็ก/ผู้สูงอายุ/ผู้ป่วย/ผู้พิการ
"67,858",15,2563,คน,3,อื่น ๆ
"35,936",16,2563,คน,4,ทำงานบ้าน
"27,119",17,2563,คน,4,เรียนหนังสือ
0,18,2563,คน,4,เด็ก/ชรา/ป่วย/พิการจนไม่สามารถทำงานได้
0,19,2563,คน,4,ดูแลเด็ก/ผู้สูงอายุ/ผู้ป่วย/ผู้พิการ
"67,868",20,2563,คน,4,อื่น ๆ
"41,167",21,2564,คน,1,ทำงานบ้าน
"27,907",22,2564,คน,1,เรียนหนังสือ
0,23,2564,คน,1,เด็ก/ชรา/ป่วย/พิการจนไม่สามารถทำงานได้
0,24,2564,คน,1,ดูแลเด็ก/ผู้สูงอายุ/ผู้ป่วย/ผู้พิการ
"67,545",25,2564,คน,1,อื่น ๆ
"31,680",26,2564,คน,2,ทำงานบ้าน
"27,680",27,2564,คน,2,เรียนหนังสือ
0,28,2564,คน,2,เด็ก/ชรา/ป่วย/พิการจนไม่สามารถทำงานได้
0,29,2564,คน,2,ดูแลเด็ก/ผู้สูงอายุ/ผู้ป่วย/ผู้พิการ
"67,902",30,2564,คน,2,อื่น ๆ
"31,229",31,2564,คน,3,ทำงานบ้าน
"28,593",32,2564,คน,3,เรียนหนังสือ
0,33,2564,คน,3,เด็ก/ชรา/ป่วย/พิการจนไม่สามารถทำงานได้
0,34,2564,คน,3,ดูแลเด็ก/ผู้สูงอายุ/ผู้ป่วย/ผู้พิการ
"65,459",35,2564,คน,3,อื่น ๆ
"38,243",36,2564,คน,4,ทำงานบ้าน
"28,592",37,2564,คน,4,เรียนหนังสือ
