จำนวน,_id,ปี,ประชากร,ไตรมาส,หน่วยวัด
" 213,479 ",1,2563,กำลังแรงงานรวม,1,คน
" 133,117 ",2,2563,ผู้ที่ไม่อยู่ในกำลังแรงงาน,1,คน
" 215,038 ",3,2563,กำลังแรงงานรวม,2,คน
" 131,409 ",4,2563,ผู้ที่ไม่อยู่ในกำลังแรงงาน,2,คน
" 221,271 ",5,2563,กำลังแรงงานรวม,3,คน
" 125,002 ",6,2563,ผู้ที่ไม่อยู่ในกำลังแรงงาน,3,คน
" 215,080 ",7,2563,กำลังแรงงานรวม,4,คน
" 130,924 ",8,2563,ผู้ที่ไม่อยู่ในกำลังแรงงาน,4,คน
" 209,137 ",9,2564,กำลังแรงงานรวม,1,คน
" 136,620 ",10,2564,ผู้ที่ไม่อยู่ในกำลังแรงงาน,1,คน
" 218,271 ",11,2564,กำลังแรงงานรวม,2,คน
" 127,262 ",12,2564,ผู้ที่ไม่อยู่ในกำลังแรงงาน,2,คน
" 220,021 ",13,2564,กำลังแรงงานรวม,3,คน
" 125,281 ",14,2564,ผู้ที่ไม่อยู่ในกำลังแรงงาน,3,คน
" 208,914 ",15,2564,กำลังแรงงานรวม,4,คน
" 136,112 ",16,2564,ผู้ที่ไม่อยู่ในกำลังแรงงาน,4,คน
" 185,724 ",17,2565,กำลังแรงงานรวม,1,คน
" 122,656 ",18,2565,ผู้ที่ไม่อยู่ในกำลังแรงงาน,1,คน
" 182,433 ",19,2565,กำลังแรงงานรวม,2,คน
" 125,106 ",20,2565,ผู้ที่ไม่อยู่ในกำลังแรงงาน,2,คน
" 188,275 ",21,2565,กำลังแรงงานรวม,3,คน
" 118,419 ",22,2565,ผู้ที่ไม่อยู่ในกำลังแรงงาน,3,คน
" 172,485 ",23,2565,กำลังแรงงานรวม,4,คน
" 133,327 ",24,2565,ผู้ที่ไม่อยู่ในกำลังแรงงาน,4,คน
" 182,469 ",25,2566,กำลังแรงงานรวม,1,คน
" 122,481 ",26,2566,ผู้ที่ไม่อยู่ในกำลังแรงงาน,1,คน
" 183,236 ",27,2566,กำลังแรงงานรวม,2,คน
" 120,878 ",28,2566,ผู้ที่ไม่อยู่ในกำลังแรงงาน,2,คน
" 179,137 ",29,2566,กำลังแรงงานรวม,3,คน
" 124,138 ",30,2566,ผู้ที่ไม่อยู่ในกำลังแรงงาน,3,คน
" 177,030 ",31,2566,กำลังแรงงานรวม,4,คน
" 125,375 ",32,2566,ผู้ที่ไม่อยู่ในกำลังแรงงาน,4,คน
" 185,806 ",33,2567,กำลังแรงงานรวม,1,คน
" 115,743 ",34,2567,ผู้ที่ไม่อยู่ในกำลังแรงงาน,1,คน
" 181,596 ",35,2567,กำลังแรงงานรวม,2,คน
" 119,115 ",36,2567,ผู้ที่ไม่อยู่ในกำลังแรงงาน,2,คน
" 181,392 ",37,2567,กำลังแรงงานรวม,3,คน
" 118,483 ",38,2567,ผู้ที่ไม่อยู่ในกำลังแรงงาน,3,คน
,39,,,,
,40,,,,
,41,,,,
,42,,,,
,43,,,,
,44,,,,
,45,,,,
,46,,,,
,47,,,,
,48,,,,
,49,,,,
,50,,,,
,51,,,,
,52,,,,
,53,,,,
,54,,,,
,55,,,,
,56,,,,
,57,,,,
,58,,,,
,59,,,,
,60,,,,
,61,,,,
,62,,,,
,63,,,,
,64,,,,
,65,,,,
,66,,,,
,67,,,,
,68,,,,
,69,,,,
,70,,,,
,71,,,,
,72,,,,
,73,,,,
,74,,,,
,75,,,,
,76,,,,
,77,,,,
,78,,,,
