จำนวน,_id,ปี,กำลังแรงงานรวม,ไตรมาส,หน่วยวัด
"205,111",1,2563,ผู้มีงานทำ,1,คน
848,2,2563,ผู้ว่างงาน,1,คน
"7,521",3,2563,กำลังแรงงานที่รอฤดูกาล,1,คน
"201,663",4,2563,ผู้มีงานทำ,2,คน
"2,447",5,2563,ผู้ว่างงาน,2,คน
"10,928",6,2563,กำลังแรงงานที่รอฤดูกาล,2,คน
"213,048",7,2563,ผู้มีงานทำ,3,คน
"3,206",8,2563,ผู้ว่างงาน,3,คน
"5,017",9,2563,กำลังแรงงานที่รอฤดูกาล,3,คน
"206,575",10,2563,ผู้มีงานทำ,4,คน
"4,300",11,2563,ผู้ว่างงาน,4,คน
"4,205",12,2563,กำลังแรงงานที่รอฤดูกาล,4,คน
"196,097",13,2564,ผู้มีงานทำ,1,คน
"5,328",14,2564,ผู้ว่างงาน,1,คน
"7,713",15,2564,กำลังแรงงานที่รอฤดูกาล,1,คน
"211,540",16,2564,ผู้มีงานทำ,2,คน
"2,728",17,2564,ผู้ว่างงาน,2,คน
"4,003",18,2564,กำลังแรงงานที่รอฤดูกาล,2,คน
"215,742",19,2564,ผู้มีงานทำ,3,คน
"4,279",20,2564,ผู้ว่างงาน,3,คน
0,21,2564,กำลังแรงงานที่รอฤดูกาล,3,คน
"205,960",22,2564,ผู้มีงานทำ,4,คน
"2,043",23,2564,ผู้ว่างงาน,4,คน
911,24,2564,กำลังแรงงานที่รอฤดูกาล,4,คน
"177,215",25,2565,ผู้มีงานทำ,1,คน
"5,127",26,2565,ผู้ว่างงาน,1,คน
"3,382",27,2565,กำลังแรงงานที่รอฤดูกาล,1,คน
"174,156",28,2565,ผู้มีงานทำ,2,คน
"4,815",29,2565,ผู้ว่างงาน,2,คน
"3,462",30,2565,กำลังแรงงานที่รอฤดูกาล,2,คน
"186,613",31,2565,ผู้มีงานทำ,3,คน
"1,567",32,2565,ผู้ว่างงาน,3,คน
94,33,2565,กำลังแรงงานที่รอฤดูกาล,3,คน
"170,646",34,2565,ผู้มีงานทำ,4,คน
604,35,2565,ผู้ว่างงาน,4,คน
"1,235",36,2565,กำลังแรงงานที่รอฤดูกาล,4,คน
"178,050",37,2566,ผู้มีงานทำ,1,คน
"2,073",38,2566,ผู้ว่างงาน,1,คน
"2,346",39,2566,กำลังแรงงานที่รอฤดูกาล,1,คน
"179,615",40,2566,ผู้มีงานทำ,2,คน
683,41,2566,ผู้ว่างงาน,2,คน
"2,938",42,2566,กำลังแรงงานที่รอฤดูกาล,2,คน
"176,562",43,2566,ผู้มีงานทำ,3,คน
"2,418",44,2566,ผู้ว่างงาน,3,คน
156,45,2566,กำลังแรงงานที่รอฤดูกาล,3,คน
"170,951",46,2566,ผู้มีงานทำ,4,คน
"2,857",47,2566,ผู้ว่างงาน,4,คน
"3,222",48,2566,กำลังแรงงานที่รอฤดูกาล,4,คน
"182,186",49,2567,ผู้มีงานทำ,1,คน
"1,331",50,2567,ผู้ว่างงาน,1,คน
"2,290",51,2567,กำลังแรงงานที่รอฤดูกาล,1,คน
"177,212",52,2567,ผู้มีงานทำ,2,คน
"1,372",53,2567,ผู้ว่างงาน,2,คน
"3,012",54,2567,กำลังแรงงานที่รอฤดูกาล,2,คน
"178,671",55,2567,ผู้มีงานทำ,3,คน
"2,263",56,2567,ผู้ว่างงาน,3,คน
458,57,2567,กำลังแรงงานที่รอฤดูกาล,3,คน
