จำนวน,การศึกษาที่สำเร็จ,_id,ปี,ไตรมาส,หน่วยวัด
"24,771",ไม่มีการศึกษา,1,2563,1,คน
"98,453",ต่ำกว่าประถมศึกษา,2,2563,1,คน
"58,989",ประถมศึกษา,3,2563,1,คน
"51,648",มัธยมศึกษาตอนต้น,4,2563,1,คน
"59,885",มัธยมศึกษาตอนปลาย(สายสามัญ),5,2563,1,คน
"6,101",มัธยมศึกษาตอนปลาย(สายอาชีวศึกษา),6,2563,1,คน
0,มัธยมศึกษาตอนปลาย(สายวิชาการศึกษา),7,2563,1,คน
"25,759",มหาวิทยาลัย(สายวิชาการ),8,2563,1,คน
"11,438",มหาวิทยาลัย(สายวิชาชีพ),9,2563,1,คน
"9,554",มหาวิทยาลัย(สายวิชาการศึกษา),10,2563,1,คน
0,อื่นๆ,11,2563,1,คน
0,ไม่ทราบ,12,2563,1,คน
"20,592",ไม่มีการศึกษา,13,2563,2,คน
"109,860",ต่ำกว่าประถมศึกษา,14,2563,2,คน
"55,523",ประถมศึกษา,15,2563,2,คน
"47,915",มัธยมศึกษาตอนต้น,16,2563,2,คน
"48,764",มัธยมศึกษาตอนปลาย(สายสามัญ),17,2563,2,คน
"7,411",มัธยมศึกษาตอนปลาย(สายอาชีวศึกษา),18,2563,2,คน
0,มัธยมศึกษาตอนปลาย(สายวิชาการศึกษา),19,2563,2,คน
"31,663",มหาวิทยาลัย(สายวิชาการ),20,2563,2,คน
"13,751",มหาวิทยาลัย(สายวิชาชีพ),21,2563,2,คน
"10,967",มหาวิทยาลัย(สายวิชาการศึกษา),22,2563,2,คน
0,อื่นๆ,23,2563,2,คน
0,ไม่ทราบ,24,2563,2,คน
"22,735",ไม่มีการศึกษา,25,2563,3,คน
"109,889",ต่ำกว่าประถมศึกษา,26,2563,3,คน
"56,826",ประถมศึกษา,27,2563,3,คน
"51,158",มัธยมศึกษาตอนต้น,28,2563,3,คน
"49,878",มัธยมศึกษาตอนปลาย(สายสามัญ),29,2563,3,คน
"8,763",มัธยมศึกษาตอนปลาย(สายอาชีวศึกษา),30,2563,3,คน
0,มัธยมศึกษาตอนปลาย(สายวิชาการศึกษา),31,2563,3,คน
"25,601",มหาวิทยาลัย(สายวิชาการ),32,2563,3,คน
"13,056",มหาวิทยาลัย(สายวิชาชีพ),33,2563,3,คน
"8,188",มหาวิทยาลัย(สายวิชาการศึกษา),34,2563,3,คน
0,อื่นๆ,35,2563,3,คน
180,ไม่ทราบ,36,2563,3,คน
"23,470",ไม่มีการศึกษา,37,2563,4,คน
"104,646",ต่ำกว่าประถมศึกษา,38,2563,4,คน
"53,609",ประถมศึกษา,39,2563,4,คน
"52,272",มัธยมศึกษาตอนต้น,40,2563,4,คน
"55,035",มัธยมศึกษาตอนปลาย(สายสามัญ),41,2563,4,คน
"10,963",มัธยมศึกษาตอนปลาย(สายอาชีวศึกษา),42,2563,4,คน
0,มัธยมศึกษาตอนปลาย(สายวิชาการศึกษา),43,2563,4,คน
"26,208",มหาวิทยาลัย(สายวิชาการ),44,2563,4,คน
"11,072",มหาวิทยาลัย(สายวิชาชีพ),45,2563,4,คน
"8,729",มหาวิทยาลัย(สายวิชาการศึกษา),46,2563,4,คน
0,อื่นๆ,47,2563,4,คน
0,ไม่ทราบ,48,2563,4,คน
"28,407",ไม่มีการศึกษา,49,2564,1,คน
"98,099",ต่ำกว่าประถมศึกษา,50,2564,1,คน
