ไตรมาส 4,ไตรมาส 1,สถานภาพแรงงาน,ภาค,_id,ปี,ไตรมาส 3,ไตรมาส 2,เพศ,รายการ
" 39,591,700 ","38,715,602",ผู้มีงานทำ,  ทั่วราชอาณาจักร                  ,1,2565," 39,565,991 "," 39,010,915 ",รวม,กำลังแรงงาน
" 21,273,598 ","20,816,297",ผู้มีงานทำ,  ทั่วราชอาณาจักร                  ,2,2565," 21,202,886 "," 20,939,718 ",ชาย                         ,กำลังแรงงาน
" 18,318,102 ","17,899,306",ผู้มีงานทำ,  ทั่วราชอาณาจักร                  ,3,2565," 18,363,105 "," 18,071,196 ",หญิง                        ,กำลังแรงงาน
" 462,490 ","607,610",ผู้ว่างงาน,  ทั่วราชอาณาจักร                  ,4,2565," 491,409 "," 546,591 ",รวม,กำลังแรงงาน
" 224,913 ","318,127",ผู้ว่างงาน,  ทั่วราชอาณาจักร                  ,5,2565," 243,115 "," 282,082 ",ชาย                         ,กำลังแรงงาน
" 237,578 ","289,483",ผู้ว่างงาน,  ทั่วราชอาณาจักร                  ,6,2565," 248,294 "," 264,509 ",หญิง                        ,กำลังแรงงาน
" 88,342 ","294,961",รอฤดูกาล,  ทั่วราชอาณาจักร                  ,7,2565," 31,185 "," 206,453 ",รวม,กำลังแรงงาน
" 55,667 ","165,731",รอฤดูกาล,  ทั่วราชอาณาจักร                  ,8,2565," 20,792 "," 129,863 ",ชาย                         ,กำลังแรงงาน
" 32,675 ","129,229",รอฤดูกาล,  ทั่วราชอาณาจักร                  ,9,2565," 10,392 "," 76,590 ",หญิง                        ,กำลังแรงงาน
" 5,692,759 ","5,617,978",ผู้มีงานทำ,  กรุงเทพมหานคร                    ,10,2565," 5,634,878 "," 5,625,411 ",รวม,กำลังแรงงาน
" 2,918,602 ","2,884,932",ผู้มีงานทำ,  กรุงเทพมหานคร                    ,11,2565," 2,870,119 "," 2,890,424 ",ชาย                         ,กำลังแรงงาน
" 2,774,158 ","2,733,046",ผู้มีงานทำ,  กรุงเทพมหานคร                    ,12,2565," 2,764,759 "," 2,734,987 ",หญิง                        ,กำลังแรงงาน
" 69,692 ","105,570",ผู้ว่างงาน,  กรุงเทพมหานคร                    ,13,2565," 65,051 "," 79,709 ",รวม,กำลังแรงงาน
" 37,752 ","54,068",ผู้ว่างงาน,  กรุงเทพมหานคร                    ,14,2565," 45,184 "," 47,856 ",ชาย                         ,กำลังแรงงาน
" 31,940 ","51,502",ผู้ว่างงาน,  กรุงเทพมหานคร                    ,15,2565," 19,866 "," 31,853 ",หญิง                        ,กำลังแรงงาน
 - ,970,รอฤดูกาล,  กรุงเทพมหานคร                    ,16,2565, - , 884 ,รวม,กำลังแรงงาน
 - ,-,รอฤดูกาล,  กรุงเทพมหานคร                    ,17,2565, - , 884 ,ชาย                         ,กำลังแรงงาน
