ค่าข้อมูล,_id,ปี,เพศ,จำแนก,รายการข้อมูล
"63,904",1,2567,ชาย,ภาคเกษตร,ผู้เสมือนว่างงานจำแนกตามอุตสาหกรรม
"73,040",2,2567,หญิง,ภาคเกษตร,ผู้เสมือนว่างงานจำแนกตามอุตสาหกรรม
10390,3,2567,ชาย,นอกภาคเกษตร,ผู้เสมือนว่างงานจำแนกตามอุตสาหกรรม
15718,4,2567,หญิง,นอกภาคเกษตร,ผู้เสมือนว่างงานจำแนกตามอุตสาหกรรม
48690,5,2567,ชาย,นายจ้าง,ผู้มีงานทำ จำแนกตามสถานภาพการทำงาน และเพศ
17921,6,2567,หญิง,นายจ้าง,ผู้มีงานทำ จำแนกตามสถานภาพการทำงาน และเพศ
30761,7,2567,ชาย,ลูกจ้างรัฐบาล,ผู้มีงานทำ จำแนกตามสถานภาพการทำงาน และเพศ
44778,8,2567,หญิง,ลูกจ้างรัฐบาล,ผู้มีงานทำ จำแนกตามสถานภาพการทำงาน และเพศ
136310,9,2567,ชาย,ลูกจ้างเอกชน,ผู้มีงานทำ จำแนกตามสถานภาพการทำงาน และเพศ
98827,10,2567,หญิง,ลูกจ้างเอกชน,ผู้มีงานทำ จำแนกตามสถานภาพการทำงาน และเพศ
196295,11,2567,ชาย,ทำงานส่วนตัว,ผู้มีงานทำ จำแนกตามสถานภาพการทำงาน และเพศ
135015,12,2567,หญิง,ทำงานส่วนตัว,ผู้มีงานทำ จำแนกตามสถานภาพการทำงาน และเพศ
42768,13,2567,ชาย,ช่วยธุรกิจครัวเรือน,ผู้มีงานทำ จำแนกตามสถานภาพการทำงาน และเพศ
94699,14,2567,หญิง,ช่วยธุรกิจครัวเรือน,ผู้มีงานทำ จำแนกตามสถานภาพการทำงาน และเพศ
1768,15,2567,ชาย,การรวมกลุ่ม,ผู้มีงานทำ จำแนกตามสถานภาพการทำงาน และเพศ
342,16,2567,หญิง,การรวมกลุ่ม,ผู้มีงานทำ จำแนกตามสถานภาพการทำงาน และเพศ
5141,17,2567,ชาย,0 ชั่วโมง,ผู้มีงานทำ จำแนกตามชั่วโมงการทำงานต่อสัปดาห์
10296,18,2567,ชาย,1 - 9 ชั่วโมง,ผู้มีงานทำ จำแนกตามชั่วโมงการทำงานต่อสัปดาห์
26070,19,2567,ชาย,10 - 19 ชั่วโมง,ผู้มีงานทำ จำแนกตามชั่วโมงการทำงานต่อสัปดาห์
72424,20,2567,ชาย,20 - 29 ชั่วโมง,ผู้มีงานทำ จำแนกตามชั่วโมงการทำงานต่อสัปดาห์
45679,21,2567,ชาย,30 - 34 ชั่วโมง,ผู้มีงานทำ จำแนกตามชั่วโมงการทำงานต่อสัปดาห์
45707,22,2567,ชาย,35 - 39 ชั่วโมง,ผู้มีงานทำ จำแนกตามชั่วโมงการทำงานต่อสัปดาห์
161502,23,2567,ชาย,40 - 49 ชั่วโมง,ผู้มีงานทำ จำแนกตามชั่วโมงการทำงานต่อสัปดาห์
89773,24,2567,ชาย,50  ชั่วโมงขึ้นไป,ผู้มีงานทำ จำแนกตามชั่วโมงการทำงานต่อสัปดาห์
7443,25,2567,หญิง,0 ชั่วโมง,ผู้มีงานทำ จำแนกตามชั่วโมงการทำงานต่อสัปดาห์
10684,26,2567,หญิง,1 - 9 ชั่วโมง,ผู้มีงานทำ จำแนกตามชั่วโมงการทำงานต่อสัปดาห์
41643,27,2567,หญิง,10 - 19 ชั่วโมง,ผู้มีงานทำ จำแนกตามชั่วโมงการทำงานต่อสัปดาห์
56120,28,2567,หญิง,20 - 29 ชั่วโมง,ผู้มีงานทำ จำแนกตามชั่วโมงการทำงานต่อสัปดาห์
37873,29,2567,หญิง,30 - 34 ชั่วโมง,ผู้มีงานทำ จำแนกตามชั่วโมงการทำงานต่อสัปดาห์
44838,30,2567,หญิง,35 - 39 ชั่วโมง,ผู้มีงานทำ จำแนกตามชั่วโมงการทำงานต่อสัปดาห์
135358,31,2567,หญิง,40 - 49 ชั่วโมง,ผู้มีงานทำ จำแนกตามชั่วโมงการทำงานต่อสัปดาห์
57623,32,2567,หญิง,50  ชั่วโมงขึ้นไป,ผู้มีงานทำ จำแนกตามชั่วโมงการทำงานต่อสัปดาห์
"305,305",33,2566,ชาย,ภาคเกษตร,ผู้เสมือนว่างงานจำแนกตามอุตสาหกรรม
"249,890",34,2566,หญิง,ภาคเกษตร,ผู้เสมือนว่างงานจำแนกตามอุตสาหกรรม
71195,35,2566,ชาย,นอกภาคเกษตร,ผู้เสมือนว่างงานจำแนกตามอุตสาหกรรม
90203,36,2566,หญิง,นอกภาคเกษตร,ผู้เสมือนว่างงานจำแนกตามอุตสาหกรรม
26701,37,2566,ชาย,นายจ้าง,ผู้มีงานทำ จำแนกตามสถานภาพการทำงาน และเพศ
38867,38,2566,หญิง,นายจ้าง,ผู้มีงานทำ จำแนกตามสถานภาพการทำงาน และเพศ
11463,39,2566,ชาย,ลูกจ้างรัฐบาล,ผู้มีงานทำ จำแนกตามสถานภาพการทำงาน และเพศ
50925,40,2566,หญิง,ลูกจ้างรัฐบาล,ผู้มีงานทำ จำแนกตามสถานภาพการทำงาน และเพศ
139645,41,2566,ชาย,ลูกจ้างเอกชน,ผู้มีงานทำ จำแนกตามสถานภาพการทำงาน และเพศ
99005,42,2566,หญิง,ลูกจ้างเอกชน,ผู้มีงานทำ จำแนกตามสถานภาพการทำงาน และเพศ
197747,43,2566,ชาย,ทำงานส่วนตัว,ผู้มีงานทำ จำแนกตามสถานภาพการทำงาน และเพศ
136362,44,2566,หญิง,ทำงานส่วนตัว,ผู้มีงานทำ จำแนกตามสถานภาพการทำงาน และเพศ
59985,45,2566,ชาย,ช่วยธุรกิจครัวเรือน,ผู้มีงานทำ จำแนกตามสถานภาพการทำงาน และเพศ
81092,46,2566,หญิง,ช่วยธุรกิจครัวเรือน,ผู้มีงานทำ จำแนกตามสถานภาพการทำงาน และเพศ
3116,47,2566,ชาย,การรวมกลุ่ม,ผู้มีงานทำ จำแนกตามสถานภาพการทำงาน และเพศ
295,48,2566,หญิง,การรวมกลุ่ม,ผู้มีงานทำ จำแนกตามสถานภาพการทำงาน และเพศ
23613,49,2566,ชาย,0 ชั่วโมง,ผู้มีงานทำ จำแนกตามชั่วโมงการทำงานต่อสัปดาห์
16114,50,2566,หญิง,1 - 9 ชั่วโมง,ผู้มีงานทำ จำแนกตามชั่วโมงการทำงานต่อสัปดาห์
11646,51,2566,ชาย,10 - 19 ชั่วโมง,ผู้มีงานทำ จำแนกตามชั่วโมงการทำงานต่อสัปดาห์
14373,52,2566,หญิง,20 - 29 ชั่วโมง,ผู้มีงานทำ จำแนกตามชั่วโมงการทำงานต่อสัปดาห์
51656,53,2566,ชาย,30 - 34 ชั่วโมง,ผู้มีงานทำ จำแนกตามชั่วโมงการทำงานต่อสัปดาห์
46948,54,2566,หญิง,35 - 39 ชั่วโมง,ผู้มีงานทำ จำแนกตามชั่วโมงการทำงานต่อสัปดาห์
64050,55,2566,ชาย,40 - 49 ชั่วโมง,ผู้มีงานทำ จำแนกตามชั่วโมงการทำงานต่อสัปดาห์
48768,56,2566,หญิง,50  ชั่วโมงขึ้นไป,ผู้มีงานทำ จำแนกตามชั่วโมงการทำงานต่อสัปดาห์
38008,57,2566,ชาย,0 ชั่วโมง,ผู้มีงานทำ จำแนกตามชั่วโมงการทำงานต่อสัปดาห์
24571,58,2566,หญิง,1 - 9 ชั่วโมง,ผู้มีงานทำ จำแนกตามชั่วโมงการทำงานต่อสัปดาห์
54844,59,2566,ชาย,10 - 19 ชั่วโมง,ผู้มีงานทำ จำแนกตามชั่วโมงการทำงานต่อสัปดาห์
48171,60,2566,หญิง,20 - 29 ชั่วโมง,ผู้มีงานทำ จำแนกตามชั่วโมงการทำงานต่อสัปดาห์
151098,61,2566,ชาย,30 - 34 ชั่วโมง,ผู้มีงานทำ จำแนกตามชั่วโมงการทำงานต่อสัปดาห์
118519,62,2566,หญิง,35 - 39 ชั่วโมง,ผู้มีงานทำ จำแนกตามชั่วโมงการทำงานต่อสัปดาห์
71146,63,2566,ชาย,40 - 49 ชั่วโมง,ผู้มีงานทำ จำแนกตามชั่วโมงการทำงานต่อสัปดาห์
61678,64,2566,หญิง,50  ชั่วโมงขึ้นไป,ผู้มีงานทำ จำแนกตามชั่วโมงการทำงานต่อสัปดาห์
