จำนวน,_id,ปี,หัวข้อ,เพศ,ไตรมาส,จังหวัด
13306,1,2559,ไม่มีการศึกษา,ชาย,1,ชลบุรี
63264,2,2559,ต่ำกว่าประถมศึกษา,ชาย,1,ชลบุรี
93822,3,2559,ประถมศึกษา,ชาย,1,ชลบุรี
146717,4,2559,มัธยมศึกษาตอนต้น,ชาย,1,ชลบุรี
97370,5,2559,มัธยมศึกษาตอนปลาย - สายสามัญ,ชาย,1,ชลบุรี
23968,6,2559,มัธยมศึกษาตอนปลาย - สายอาชีวศึกษา,ชาย,1,ชลบุรี
0,7,2559,มัธยมศึกษาตอนปลาย - สายวิชาการศึกษา,ชาย,1,ชลบุรี
70430,8,2559,อุดมศึกษา - สายวิชาการ,ชาย,1,ชลบุรี
43842,9,2559,อุดมศึกษา - สายวิชาชีพ,ชาย,1,ชลบุรี
4685,10,2559,อุดมศึกษา - สายวิชาการศึกษา,ชาย,1,ชลบุรี
6949,11,2559,อื่น ๆ,ชาย,1,ชลบุรี
9764,12,2559,ไม่ทราบ,ชาย,1,ชลบุรี
15261,13,2559,ไม่มีการศึกษา,หญิง,1,ชลบุรี
50012,14,2559,ต่ำกว่าประถมศึกษา,หญิง,1,ชลบุรี
64069,15,2559,ประถมศึกษา,หญิง,1,ชลบุรี
114315,16,2559,มัธยมศึกษาตอนต้น,หญิง,1,ชลบุรี
72086,17,2559,มัธยมศึกษาตอนปลาย - สายสามัญ,หญิง,1,ชลบุรี
35167,18,2559,มัธยมศึกษาตอนปลาย - สายอาชีวศึกษา,หญิง,1,ชลบุรี
0,19,2559,มัธยมศึกษาตอนปลาย - สายวิชาการศึกษา,หญิง,1,ชลบุรี
73967,20,2559,อุดมศึกษา - สายวิชาการ,หญิง,1,ชลบุรี
34135,21,2559,อุดมศึกษา - สายวิชาชีพ,หญิง,1,ชลบุรี
8503,22,2559,อุดมศึกษา - สายวิชาการศึกษา,หญิง,1,ชลบุรี
0,23,2559,อื่น ๆ,หญิง,1,ชลบุรี
5575,24,2559,ไม่ทราบ,หญิง,1,ชลบุรี
17382,25,2559,ไม่มีการศึกษา,ชาย,2,ชลบุรี
62877,26,2559,ต่ำกว่าประถมศึกษา,ชาย,2,ชลบุรี
101069,27,2559,ประถมศึกษา,ชาย,2,ชลบุรี
125944,28,2559,มัธยมศึกษาตอนต้น,ชาย,2,ชลบุรี
103120,29,2559,มัธยมศึกษาตอนปลาย - สายสามัญ,ชาย,2,ชลบุรี
37086,30,2559,มัธยมศึกษาตอนปลาย - สายอาชีวศึกษา,ชาย,2,ชลบุรี
0,31,2559,มัธยมศึกษาตอนปลาย - สายวิชาการศึกษา,ชาย,2,ชลบุรี
65322,32,2559,อุดมศึกษา - สายวิชาการ,ชาย,2,ชลบุรี
35827,33,2559,อุดมศึกษา - สายวิชาชีพ,ชาย,2,ชลบุรี
6782,34,2559,อุดมศึกษา - สายวิชาการศึกษา,ชาย,2,ชลบุรี
0,35,2559,อื่น ๆ,ชาย,2,ชลบุรี
10530,36,2559,ไม่ทราบ,ชาย,2,ชลบุรี
15606,37,2559,ไม่มีการศึกษา,หญิง,2,ชลบุรี
58085,38,2559,ต่ำกว่าประถมศึกษา,หญิง,2,ชลบุรี
69438,39,2559,ประถมศึกษา,หญิง,2,ชลบุรี
93941,40,2559,มัธยมศึกษาตอนต้น,หญิง,2,ชลบุรี
76845,41,2559,มัธยมศึกษาตอนปลาย - สายสามัญ,หญิง,2,ชลบุรี
25530,42,2559,มัธยมศึกษาตอนปลาย - สายอาชีวศึกษา,หญิง,2,ชลบุรี
0,43,2559,มัธยมศึกษาตอนปลาย - สายวิชาการศึกษา,หญิง,2,ชลบุรี
