จำนวน,_id,ปี,หัวข้อ,เพศ,ไตรมาส,จังหวัด
716067,1,2559,ประชากรอายุ 15 ปีขึ้นไป,ชาย,1,ชลบุรี
574117,2,2559,ผู้มีงานทำ,ชาย,1,ชลบุรี
6814,3,2559,ผู้ว่างงาน,ชาย,1,ชลบุรี
734,4,2559,กำลังแรงงานที่รอฤดูกาล,ชาย,1,ชลบุรี
7575,5,2559,ทำงานบ้าน,ชาย,1,ชลบุรี
44767,6,2559,เรียนหนังสือ,ชาย,1,ชลบุรี
82061,7,2559,อื่น ๆ,ชาย,1,ชลบุรี
723265,8,2559,ประชากรอายุ 15 ปีขึ้นไป,หญิง,1,ชลบุรี
473090,9,2559,ผู้มีงานทำ,หญิง,1,ชลบุรี
400,10,2559,ผู้ว่างงาน,หญิง,1,ชลบุรี
0,11,2559,กำลังแรงงานที่รอฤดูกาล,หญิง,1,ชลบุรี
129275,12,2559,ทำงานบ้าน,หญิง,1,ชลบุรี
48560,13,2559,เรียนหนังสือ,หญิง,1,ชลบุรี
71940,14,2559,อื่น ๆ,หญิง,1,ชลบุรี
718012,15,2559,ประชากรอายุ 15 ปีขึ้นไป,ชาย,2,ชลบุรี
565939,16,2559,ผู้มีงานทำ,ชาย,2,ชลบุรี
3159,17,2559,ผู้ว่างงาน,ชาย,2,ชลบุรี
0,18,2559,กำลังแรงงานที่รอฤดูกาล,ชาย,2,ชลบุรี
11276,19,2559,ทำงานบ้าน,ชาย,2,ชลบุรี
43850,20,2559,เรียนหนังสือ,ชาย,2,ชลบุรี
93788,21,2559,อื่น ๆ,ชาย,2,ชลบุรี
725316,22,2559,ประชากรอายุ 15 ปีขึ้นไป,หญิง,2,ชลบุรี
463996,23,2559,ผู้มีงานทำ,หญิง,2,ชลบุรี
2194,24,2559,ผู้ว่างงาน,หญิง,2,ชลบุรี
0,25,2559,กำลังแรงงานที่รอฤดูกาล,หญิง,2,ชลบุรี
131545,26,2559,ทำงานบ้าน,หญิง,2,ชลบุรี
59112,27,2559,เรียนหนังสือ,หญิง,2,ชลบุรี
68468,28,2559,อื่น ๆ,หญิง,2,ชลบุรี
720018,29,2559,ประชากรอายุ 15 ปีขึ้นไป,ชาย,3,ชลบุรี
562600,30,2559,ผู้มีงานทำ,ชาย,3,ชลบุรี
3741,31,2559,ผู้ว่างงาน,ชาย,3,ชลบุรี
0,32,2559,กำลังแรงงานที่รอฤดูกาล,ชาย,3,ชลบุรี
15256,33,2559,ทำงานบ้าน,ชาย,3,ชลบุรี
47389,34,2559,เรียนหนังสือ,ชาย,3,ชลบุรี
91033,35,2559,อื่น ๆ,ชาย,3,ชลบุรี
727353,36,2559,ประชากรอายุ 15 ปีขึ้นไป,หญิง,3,ชลบุรี
455096,37,2559,ผู้มีงานทำ,หญิง,3,ชลบุรี
5841,38,2559,ผู้ว่างงาน,หญิง,3,ชลบุรี
0,39,2559,กำลังแรงงานที่รอฤดูกาล,หญิง,3,ชลบุรี
130654,40,2559,ทำงานบ้าน,หญิง,3,ชลบุรี
56141,41,2559,เรียนหนังสือ,หญิง,3,ชลบุรี
79621,42,2559,อื่น ๆ,หญิง,3,ชลบุรี
721957,43,2559,ประชากรอายุ 15 ปีขึ้นไป,ชาย,4,ชลบุรี
587355,44,2559,ผู้มีงานทำ,ชาย,4,ชลบุรี
2546,45,2559,ผู้ว่างงาน,ชาย,4,ชลบุรี
0,46,2559,กำลังแรงงานที่รอฤดูกาล,ชาย,4,ชลบุรี
7080,47,2559,ทำงานบ้าน,ชาย,4,ชลบุรี
49945,48,2559,เรียนหนังสือ,ชาย,4,ชลบุรี
75031,49,2559,อื่น ๆ,ชาย,4,ชลบุรี
729364,50,2559,ประชากรอายุ 15 ปีขึ้นไป,หญิง,4,ชลบุรี
453497,51,2559,ผู้มีงานทำ,หญิง,4,ชลบุรี
844,52,2559,ผู้ว่างงาน,หญิง,4,ชลบุรี
0,53,2559,กำลังแรงงานที่รอฤดูกาล,หญิง,4,ชลบุรี
139964,54,2559,ทำงานบ้าน,หญิง,4,ชลบุรี
50475,55,2559,เรียนหนังสือ,หญิง,4,ชลบุรี
84585,56,2559,อื่น ๆ,หญิง,4,ชลบุรี
723839,57,2560,ประชากรอายุ 15 ปีขึ้นไป,ชาย,1,ชลบุรี
589373,58,2560,ผู้มีงานทำ,ชาย,1,ชลบุรี
2994,59,2560,ผู้ว่างงาน,ชาย,1,ชลบุรี
414,60,2560,กำลังแรงงานที่รอฤดูกาล,ชาย,1,ชลบุรี
8338,61,2560,ทำงานบ้าน,ชาย,1,ชลบุรี
43448,62,2560,เรียนหนังสือ,ชาย,1,ชลบุรี
79273,63,2560,อื่น ๆ,ชาย,1,ชลบุรี
731397,64,2560,ประชากรอายุ 15 ปีขึ้นไป,หญิง,1,ชลบุรี
470183,65,2560,ผู้มีงานทำ,หญิง,1,ชลบุรี
4361,66,2560,ผู้ว่างงาน,หญิง,1,ชลบุรี
0,67,2560,กำลังแรงงานที่รอฤดูกาล,หญิง,1,ชลบุรี
120169,68,2560,ทำงานบ้าน,หญิง,1,ชลบุรี
44177,69,2560,เรียนหนังสือ,หญิง,1,ชลบุรี
92507,70,2560,อื่น ๆ,หญิง,1,ชลบุรี
725818,71,2560,ประชากรอายุ 15 ปีขึ้นไป,ชาย,2,ชลบุรี
574539,72,2560,ผู้มีงานทำ,ชาย,2,ชลบุรี
3344,73,2560,ผู้ว่างงาน,ชาย,2,ชลบุรี
0,74,2560,กำลังแรงงานที่รอฤดูกาล,ชาย,2,ชลบุรี
12381,75,2560,ทำงานบ้าน,ชาย,2,ชลบุรี
42161,76,2560,เรียนหนังสือ,ชาย,2,ชลบุรี
93391,77,2560,อื่น ๆ,ชาย,2,ชลบุรี
733376,78,2560,ประชากรอายุ 15 ปีขึ้นไป,หญิง,2,ชลบุรี
479325,79,2560,ผู้มีงานทำ,หญิง,2,ชลบุรี
1782,80,2560,ผู้ว่างงาน,หญิง,2,ชลบุรี
0,81,2560,กำลังแรงงานที่รอฤดูกาล,หญิง,2,ชลบุรี
131911,82,2560,ทำงานบ้าน,หญิง,2,ชลบุรี
39801,83,2560,เรียนหนังสือ,หญิง,2,ชลบุรี
80558,84,2560,อื่น ๆ,หญิง,2,ชลบุรี
727790,85,2560,ประชากรอายุ 15 ปีขึ้นไป,ชาย,3,ชลบุรี
560472,86,2560,ผู้มีงานทำ,ชาย,3,ชลบุรี
5157,87,2560,ผู้ว่างงาน,ชาย,3,ชลบุรี
0,88,2560,กำลังแรงงานที่รอฤดูกาล,ชาย,3,ชลบุรี
11732,89,2560,ทำงานบ้าน,ชาย,3,ชลบุรี
