จำนวน,หมวด,_id,ปี พ.ศ.,เพศ,ไตรมาส,หน่วย
"2,699",ผู้จัดการ ข้าราชการระดับอาวุโสและผู้บัญญัติกฎหมาย,1,2566,ชาย,1,คน
"1,094",ผู้จัดการ ข้าราชการระดับอาวุโสและผู้บัญญัติกฎหมาย,2,2566,หญิง,1,คน
"3,011",ผู้ประกอบวิชาชีพด้านต่าง ๆ,3,2566,ชาย,1,คน
"6,160",ผู้ประกอบวิชาชีพด้านต่าง ๆ,4,2566,หญิง,1,คน
"4,864",เจ้าหน้าที่เทคนิคและผู้ประกอบวิขาชีพที่เกี่ยวข้องกับด้านต่าง,5,2566,ชาย,1,คน
"3,332",เจ้าหน้าที่เทคนิคและผู้ประกอบวิขาชีพที่เกี่ยวข้องกับด้านต่าง,6,2566,หญิง,1,คน
"1,998",เสมียน,7,2566,ชาย,1,คน
"4,168",เสมียน,8,2566,หญิง,1,คน
"13,192",พนักงานบริการและผู้จำหน่ายสินค้า,9,2566,ชาย,1,คน
"23,925",พนักงานบริการและผู้จำหน่ายสินค้า,10,2566,หญิง,1,คน
"39,226",ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้และประมง,11,2566,ชาย,1,คน
"21,524",ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้และประมง,12,2566,หญิง,1,คน
"19,685",ช่างฝีมือ และผู้ปฏิบัติงานที่เกี่ยวข้อง,13,2566,ชาย,1,คน
"13,283",ช่างฝีมือ และผู้ปฏิบัติงานที่เกี่ยวข้อง,14,2566,หญิง,1,คน
"12,728",ผู้ควบคุมเครื่องจักรโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ,15,2566,ชาย,1,คน
"21,061",ผู้ควบคุมเครื่องจักรโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ,16,2566,หญิง,1,คน
"21,652",ผู้ประกอบอาชีพงานพื้นฐาน,17,2566,ชาย,1,คน
"15,701",ผู้ประกอบอาชีพงานพื้นฐาน,18,2566,หญิง,1,คน
