จำนวน,_id,การถือครอง,หน่วย,สถานะ,ปี พ.ศ.,วัตถุประสงค์,อาชีพ
" 30,772 ",1,เจ้าของที่ดิน,บาท,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,2566,ใช้ซื้อ/ใช้เช่าบ้านและ/หรือที่ดิน,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง
 -   ,2,เช่าที่ดิน/ทำฟรี,บาท,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,2566,ใช้ซื้อ/ใช้เช่าบ้านและ/หรือที่ดิน,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง
" 8,838 ",3,-,บาท,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,2566,ใช้ซื้อ/ใช้เช่าบ้านและ/หรือที่ดิน,ประมง ป่าไม้ ล่าสัตว์ หาของป่า บริการทางการเกษตร
" 113,215 ",4,-,บาท,ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร,2566,ใช้ซื้อ/ใช้เช่าบ้านและ/หรือที่ดิน,-
" 443,716 ",5,-,บาท,ลูกจ้าง,2566,ใช้ซื้อ/ใช้เช่าบ้านและ/หรือที่ดิน,ผู้จัดการ นักวิชาการ และผู้ปฏิบัติงานวิชาชีพ
 -   ,6,-,บาท,ลูกจ้าง,2566,ใช้ซื้อ/ใช้เช่าบ้านและ/หรือที่ดิน,คนงานเกษตร ป่าไม้ และประมง
" 19,499 ",7,-,บาท,ลูกจ้าง,2566,ใช้ซื้อ/ใช้เช่าบ้านและ/หรือที่ดิน,คนงานด้านการขนส่ง และงานพื้นฐาน
" 41,105 ",8,-,บาท,ลูกจ้าง,2566,ใช้ซื้อ/ใช้เช่าบ้านและ/หรือที่ดิน,เสมียน พนักงานขาย และให้บริการ
" 189,005 ",9,-,บาท,ลูกจ้าง,2566,ใช้ซื้อ/ใช้เช่าบ้านและ/หรือที่ดิน,ผู้ปฏิบัติงานในกระบวนการผลิตก่อสร้าง และเหมืองแร่
" 121,926 ",10,-,บาท,ผู้ไม่ได้ปฏิบัติงานเชิงเศรษฐกิจ,2566,ใช้ซื้อ/ใช้เช่าบ้านและ/หรือที่ดิน,-
" 1,209 ",11,เจ้าของที่ดิน,บาท,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,2566,ใช้จ่ายอุปโภคบริโภคอื่น ๆ ในครอบครัว,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง
 -   ,12,เช่าที่ดิน/ทำฟรี,บาท,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,2566,ใช้จ่ายอุปโภคบริโภคอื่น ๆ ในครอบครัว,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง
 -   ,13,-,บาท,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,2566,ใช้จ่ายอุปโภคบริโภคอื่น ๆ ในครอบครัว,ประมง ป่าไม้ ล่าสัตว์ หาของป่า บริการทางการเกษตร
 266 ,14,-,บาท,ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร,2566,ใช้จ่ายอุปโภคบริโภคอื่น ๆ ในครอบครัว,-
" 22,442 ",15,-,บาท,ลูกจ้าง,2566,ใช้จ่ายอุปโภคบริโภคอื่น ๆ ในครอบครัว,ผู้จัดการ นักวิชาการ และผู้ปฏิบัติงานวิชาชีพ
 -   ,16,-,บาท,ลูกจ้าง,2566,ใช้จ่ายอุปโภคบริโภคอื่น ๆ ในครอบครัว,คนงานเกษตร ป่าไม้ และประมง
" 8,774 ",17,-,บาท,ลูกจ้าง,2566,ใช้จ่ายอุปโภคบริโภคอื่น ๆ ในครอบครัว,คนงานด้านการขนส่ง และงานพื้นฐาน
" 24,901 ",18,-,บาท,ลูกจ้าง,2566,ใช้จ่ายอุปโภคบริโภคอื่น ๆ ในครอบครัว,เสมียน พนักงานขาย และให้บริการ
" 9,207 ",19,-,บาท,ลูกจ้าง,2566,ใช้จ่ายอุปโภคบริโภคอื่น ๆ ในครอบครัว,ผู้ปฏิบัติงานในกระบวนการผลิตก่อสร้าง และเหมืองแร่
" 1,412 ",20,-,บาท,ผู้ไม่ได้ปฏิบัติงานเชิงเศรษฐกิจ,2566,ใช้จ่ายอุปโภคบริโภคอื่น ๆ ในครอบครัว,-
" 33,664 ",21,เจ้าของที่ดิน,บาท,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,2566,ใช้ในการทำธุรกิจ,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง
" 16,476 ",22,เช่าที่ดิน/ทำฟรี,บาท,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,2566,ใช้ในการทำธุรกิจ,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง
" 41,816 ",23,-,บาท,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,2566,ใช้ในการทำธุรกิจ,ประมง ป่าไม้ ล่าสัตว์ หาของป่า บริการทางการเกษตร
" 106,275 ",24,-,บาท,ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร,2566,ใช้ในการทำธุรกิจ,-
" 442,103 ",25,-,บาท,ลูกจ้าง,2566,ใช้ในการทำธุรกิจ,ผู้จัดการ นักวิชาการ และผู้ปฏิบัติงานวิชาชีพ
 -   ,26,-,บาท,ลูกจ้าง,2566,ใช้ในการทำธุรกิจ,คนงานเกษตร ป่าไม้ และประมง
" 248,400 ",27,-,บาท,ลูกจ้าง,2566,ใช้ในการทำธุรกิจ,คนงานด้านการขนส่ง และงานพื้นฐาน
" 44,598 ",28,-,บาท,ลูกจ้าง,2566,ใช้ในการทำธุรกิจ,เสมียน พนักงานขาย และให้บริการ
" 113,414 ",29,-,บาท,ลูกจ้าง,2566,ใช้ในการทำธุรกิจ,ผู้ปฏิบัติงานในกระบวนการผลิตก่อสร้าง และเหมืองแร่
" 319,332 ",30,-,บาท,ผู้ไม่ได้ปฏิบัติงานเชิงเศรษฐกิจ,2566,ใช้ในการทำธุรกิจ,-
" 4,495 ",31,เจ้าของที่ดิน,บาท,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,2566,ใช้ในการทำเกษตร,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง
 -   ,32,เช่าที่ดิน/ทำฟรี,บาท,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,2566,ใช้ในการทำเกษตร,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง
" 7,677 ",33,-,บาท,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,2566,ใช้ในการทำเกษตร,ประมง ป่าไม้ ล่าสัตว์ หาของป่า บริการทางการเกษตร
" 167,196 ",34,-,บาท,ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร,2566,ใช้ในการทำเกษตร,-
 2 ,35,-,บาท,ลูกจ้าง,2566,ใช้ในการทำเกษตร,ผู้จัดการ นักวิชาการ และผู้ปฏิบัติงานวิชาชีพ
 -   ,36,-,บาท,ลูกจ้าง,2566,ใช้ในการทำเกษตร,คนงานเกษตร ป่าไม้ และประมง
" 25,311 ",37,-,บาท,ลูกจ้าง,2566,ใช้ในการทำเกษตร,คนงานด้านการขนส่ง และงานพื้นฐาน
 -   ,38,-,บาท,ลูกจ้าง,2566,ใช้ในการทำเกษตร,เสมียน พนักงานขาย และให้บริการ
 120 ,39,-,บาท,ลูกจ้าง,2566,ใช้ในการทำเกษตร,ผู้ปฏิบัติงานในกระบวนการผลิตก่อสร้าง และเหมืองแร่
