จำนวนผู้เข้า,_id,มาตรฐานอุตสาหกรรม,จำนวนผู้ผ่าน,จำนวนเป้าหมาย
3886,1,"ศิลปะ ความบันเทิงและนันทนาการ (Arts, entertainment and recreation)",3831,2974
6146,2,ที่พักแรมและบริการด้านอาหาร (Accommodation and food service activities),6199,4858
5043,3,ข้อมูลข่าวสารและการสื่อสาร (Information and communication),5039,4991
7881,4,"กิจกรรมวิชาชีพ วิทยาศาสตร์และกิจกรรมทางวิชาการ (Professional, scientific and technical activities)",7659,7946
3358,5,กิจกรรมทางการเงินและการประกันภัย (Financial and insurance activities),3327,3316
1833,6,กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์ (Human health and social work activities),1833,1730
2473,7,กิจกรรมขององค์การระหว่างประเทศและภาคีสมาชิก (Activities of extraterritorial organizations and bodies),2473,2473
50955,8,กิจกรรมการบริหารและบริการสนับสนุน (Administrative and support service activities),47381,51061
71489,9,กิจกรรมการบริการด้านอื่น ๆ (Other service activities),71795,76299
31109,10,กิจกรรมการจ้างงานในครัวเรือน กิจกรรมการผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือน ซึ่งไม่สามารถจำแนกกิจกรรมได้อย่างชัดเจน (Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use),30900,30009
122,11,กิจกรรมเกี่ยวกับอสังหาริมทรัพย์ (Real estate activities),122,115
26328,12,การศึกษา (Education),25530,25912
63639,13,การผลิต (Manufacturing),63142,66448
853,14,การบริหารราชการ การป้องกันประเทศและการประกันสังคมภาคบังคับ (Public administration and defence; compulsory social security),853,640
524,15,การทำเหมืองแร่และเหมืองหิน (Mining and quarrying),524,386
402,16,"การจัดหาน้ำ การจัดการน้ำเสียและของเสีย รวมถึงกิจกรรมที่เกี่ยวข้อง (Water supply; sewerage, waste management and remediation activities)",402,402
10175,17,การขายส่งและการขายปลีก การซ่อมยานยนต์ และจักรยานยนต์ (Wholesale and retail trade; repair of motor vehicles and motorcycles),10175,10309
7180,18,การขนส่งและสถานที่เก็บสินค้า (Transportation and storage),7133,2936
9195,19,การก่อสร้าง (Construction),9092,9331
1155,20,"ไฟฟ้า ก๊าซ ไอน้ำและระบบการปรับอากาศ (Electricity, gas, steam and air conditioning supply)",1069,1419
191751,21,"เกษตรกรรม การป่าไม้และการประมง (Agriculture, forestry and fishing)",191746,191193
