จำนวนผู้เข้า,_id,มาตรฐานอุตสาหกรรม,จำนวนผู้ผ่าน,จำนวนเป้าหมาย
5873,1,"ศิลปะ ความบันเทิงและนันทนาการ (Arts, entertainment and recreation)",5873,6443
12101,2,ที่พักแรมและบริการด้านอาหาร (Accommodation and food service activities),11921,19685
13275,3,ข้อมูลข่าวสารและการสื่อสาร (Information and communication),13026,16868
9826,4,"กิจกรรมวิชาชีพ วิทยาศาสตร์และกิจกรรมทางวิชาการ (Professional, scientific and technical activities)",9714,11604
6076,5,กิจกรรมทางการเงินและการประกันภัย (Financial and insurance activities),5977,6422
3283,6,กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์ (Human health and social work activities),3282,4731
1137,7,กิจกรรมขององค์การระหว่างประเทศและภาคีสมาชิก (Activities of extraterritorial organizations and bodies),1137,1310
69186,8,กิจกรรมการบริหารและบริการสนับสนุน (Administrative and support service activities),68755,83523
235189,9,กิจกรรมการบริการด้านอื่น ๆ (Other service activities),234529,181027
45981,10,กิจกรรมการจ้างงานในครัวเรือน กิจกรรมการผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือน ซึ่งไม่สามารถจำแนกกิจกรรมได้อย่างชัดเจน (Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use),45381,72838
570,11,กิจกรรมเกี่ยวกับอสังหาริมทรัพย์ (Real estate activities),529,710
140983,12,การศึกษา (Education),140077,160399
113516,13,การผลิต (Manufacturing),112521,172397
2716,14,การบริหารราชการ การป้องกันประเทศและการประกันสังคมภาคบังคับ (Public administration and defence; compulsory social security),2716,3728
168,15,การทำเหมืองแร่และเหมืองหิน (Mining and quarrying),129,153
870,16,"การจัดหาน้ำ การจัดการน้ำเสียและของเสีย รวมถึงกิจกรรมที่เกี่ยวข้อง (Water supply; sewerage, waste management and remediation activities)",870,1318
8040,17,การขายส่งและการขายปลีก การซ่อมยานยนต์ และจักรยานยนต์ (Wholesale and retail trade; repair of motor vehicles and motorcycles),8037,10436
20348,18,การขนส่งและสถานที่เก็บสินค้า (Transportation and storage),19530,34358
4291,19,การก่อสร้าง (Construction),4169,9230
6395,20,"ไฟฟ้า ก๊าซ ไอน้ำและระบบการปรับอากาศ (Electricity, gas, steam and air conditioning supply)",6222,14080
171507,21,"เกษตรกรรม การป่าไม้และการประมง (Agriculture, forestry and fishing)",170293,213502
