ไตรมาส 4,ไตรมาส 1,_id,ปี,ไตรมาส 3,ไตรมาส 2,เพศ,จังหวัด,ชั่วโมงทำงาน/สัปดาห์
" 422,594 "," 414,602 ",1,2565," 431,705 "," 427,216 ",รวม,สระบุรี,ยอดรวม
" 232,578 "," 226,465 ",2,2565," 235,210 "," 234,705 ",ชาย                         ,สระบุรี,ยอดรวม
" 190,016 "," 188,137 ",3,2565," 196,495 "," 192,511 ",หญิง                        ,สระบุรี,ยอดรวม
" 4,521 "," 9,722 ",4,2565," 1,214 "," 3,674 ",รวม,สระบุรี,น้อยกว่า 1 ชั่วโมง
" 2,264 "," 7,440 ",5,2565, 788 ," 2,914 ",ชาย                         ,สระบุรี,น้อยกว่า 1 ชั่วโมง
" 2,257 "," 2,282 ",6,2565, 427 , 760 ,หญิง                        ,สระบุรี,น้อยกว่า 1 ชั่วโมง
 - ," 2,898 ",7,2565, 298 , 838 ,รวม,สระบุรี,1-9 ชั่วโมง
 - ," 1,185 ",8,2565, 298 , 294 ,ชาย                         ,สระบุรี,1-9 ชั่วโมง
 - ," 1,712 ",9,2565, - , 543 ,หญิง                        ,สระบุรี,1-9 ชั่วโมง
" 1,123 "," 12,563 ",10,2565," 1,900 "," 5,553 ",รวม,สระบุรี,10-19 ชั่วโมง
 520 ," 8,477 ",11,2565," 1,013 "," 2,476 ",ชาย                         ,สระบุรี,10-19 ชั่วโมง
 603 ," 4,085 ",12,2565, 887 ," 3,077 ",หญิง                        ,สระบุรี,10-19 ชั่วโมง
" 5,059 "," 38,524 ",13,2565," 21,234 "," 11,265 ",รวม,สระบุรี,20-29 ชั่วโมง
" 2,788 "," 18,487 ",14,2565," 10,584 "," 6,345 ",ชาย                         ,สระบุรี,20-29 ชั่วโมง
" 2,271 "," 20,037 ",15,2565," 10,650 "," 4,919 ",หญิง                        ,สระบุรี,20-29 ชั่วโมง
" 13,828 "," 34,552 ",16,2565," 14,240 "," 22,511 ",รวม,สระบุรี,30-34 ชั่วโมง
" 8,029 "," 19,701 ",17,2565," 8,637 "," 13,266 ",ชาย                         ,สระบุรี,30-34 ชั่วโมง
" 5,799 "," 14,852 ",18,2565," 5,603 "," 9,246 ",หญิง                        ,สระบุรี,30-34 ชั่วโมง
" 52,635 "," 43,919 ",19,2565," 46,710 "," 45,723 ",รวม,สระบุรี,35-39 ชั่วโมง
" 26,730 "," 21,509 ",20,2565," 22,905 "," 23,957 ",ชาย                         ,สระบุรี,35-39 ชั่วโมง
" 25,905 "," 22,410 ",21,2565," 23,804 "," 21,766 ",หญิง                        ,สระบุรี,35-39 ชั่วโมง
" 263,806 "," 216,912 ",22,2565," 268,615 "," 274,894 ",รวม,สระบุรี,40-49 ชั่วโมง
" 145,316 "," 120,175 ",23,2565," 148,575 "," 148,086 ",ชาย                         ,สระบุรี,40-49 ชั่วโมง
" 118,490 "," 96,737 ",24,2565," 120,041 "," 126,807 ",หญิง                        ,สระบุรี,40-49 ชั่วโมง
" 81,622 "," 55,513 ",25,2565," 77,494 "," 62,760 ",รวม,สระบุรี,50 ชั่วโมงขึ้นไป
" 46,931 "," 29,491 ",26,2565," 42,411 "," 37,366 ",ชาย                         ,สระบุรี,50 ชั่วโมงขึ้นไป
" 34,691 "," 26,022 ",27,2565," 35,083 "," 25,393 ",หญิง                        ,สระบุรี,50 ชั่วโมงขึ้นไป
" 419,096 "," 417,998 ",28,2566," 420,184 "," 414,172 ",รวม,สระบุรี,ยอดรวม
" 234,113 "," 231,325 ",29,2566," 235,874 "," 235,907 ",ชาย                         ,สระบุรี,ยอดรวม
" 184,983 "," 186,673 ",30,2566," 184,309 "," 178,265 ",หญิง                        ,สระบุรี,ยอดรวม
" 3,415 "," 6,025 ",31,2566, 922 ," 3,756 ",รวม,สระบุรี,น้อยกว่า 1 ชั่วโมง
" 1,319 "," 2,649 ",32,2566, 840 ," 1,797 ",ชาย                         ,สระบุรี,น้อยกว่า 1 ชั่วโมง
" 2,096 "," 3,376 ",33,2566, 82 ," 1,959 ",หญิง                        ,สระบุรี,น้อยกว่า 1 ชั่วโมง
 482 , 173 ,34,2566," 2,590 ", 444 ,รวม,สระบุรี,1-9 ชั่วโมง
 - , 173 ,35,2566," 1,847 ", 444 ,ชาย                         ,สระบุรี,1-9 ชั่วโมง
 482 , - ,36,2566, 743 , - ,หญิง                        ,สระบุรี,1-9 ชั่วโมง
" 6,834 "," 4,941 ",37,2566," 8,350 "," 3,809 ",รวม,สระบุรี,10-19 ชั่วโมง
