phetchabun,Nonthaburi,Kamphaeng Phet,Chiang Rai,Nakhon Nayok,Phra Nakhon Si Ayutthaya,Prachuap Khiri Khan,Sukhothai,Samut Songkhram,Nakhon Pathom,Sa Kaeo,Bangkok Metropolis,Nong Khai,Phitsanulok,Phuket,Am Nat Charoen,????????,Nakhon Phanom,Khon Kaen,Phayao,Si Sa Ket,Tak,Trang,Ubon Ratchathani,Uthai Thani,Kanchanaburi,Nakhon Sawan,Pathum Thani,Chai Nat,Pattani,Chanthaburi,Mae Hong Son,Phatthalung,Trat,Ang Thong,Yala,Surin,Chumphon,Phrae,Lampang,Nakhon Ratchasima,Uttaradit,Mukdahan,Phangnga,Kalasin,Roi Et,Udon Thani,Phichit,Samut Prakan,Buri Ram,Prachin Buri,Narathiwat,ISCO-08,Rayong,Lamphun,???????????????????,Chachoengsao,Chiang Mai,Chon Buri,Phetchaburi,Bueng Kan,Loei,_id,Saraburi,Chaiyaphum,Surat Thani,Nong Bua Lam Phu,Samut Sakhon,Songkhla,Nan,Nakhon Si Thammarat,Maha Sarakham,Yasothon,Sing Buri,Suphan Buri,Satun,Lop Buri,??,Sakon Nakhon,Krabi,Ranong,Ratchaburi
0,"8,367",535,0,0,612,115,105,102,291,407,"61,618",0,0,911,188,Sales and Marketing Managers,525,0,0,685,0,163,0,0,570,884,"8,799",0,0,380,45,0,67,0,0,0,0,360,0,707,0,0,897,0,196,"1,172",0,"5,357",0,144,0,1221,338,810,Advertisement and marketing,0,"1,063",0,475,55,0,1,513,"1,409",639,400,"1,058",876,0,170,506,272,58,0,103,0,2563,0,432,0,545
0,562,0,0,0,532,0,0,0,0,0,"4,883",0,0,0,0,Advertising and Public Relations Managers,0,0,0,0,0,0,0,0,0,0,"1,612",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1222,0,0,Advertisement and marketing,0,0,333,0,0,0,2,0,0,0,169,0,0,0,0,0,0,0,0,0,0,2563,0,0,0,0
0,584,0,0,0,0,92,0,0,412,0,"15,487",0,0,272,0,Information and Communications Technology Service,0,0,0,0,0,0,0,0,0,0,"1,033",0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,223",0,856,0,1330,0,121,"IT, software and computer services",0,0,"1,529",0,0,0,3,152,0,0,0,0,0,0,0,0,0,0,0,0,0,2563,0,0,0,0
0,"1,616",134,0,65,883,310,74,44,0,0,"7,500",0,257,"1,117",0,Hotel Managers,37,0,0,84,145,87,0,33,857,0,"1,446",0,0,218,57,0,0,0,0,177,0,84,270,"1,010",0,42,318,0,0,448,0,"2,025",244,370,178,1411,"1,091",0,Cultural Tourism,0,594,"2,405",659,126,363,4,0,80,"2,518",0,"1,278",582,38,160,662,0,0,144,0,76,2563,0,362,107,225
130,"4,442",515,"1,000",0,748,642,108,28,676,0,"21,225",616,174,"2,326",831,Restaurant Managers,778,"1,477",395,189,197,41,"1,911",0,352,204,"6,058",0,581,921,94,0,71,160,158,101,0,332,426,"2,998",0,264,342,292,140,0,318,"6,313",301,395,170,1412,"1,637",192,Thai Food,288,0,0,787,343,379,5,175,0,"1,167",752,"1,561",542,0,"2,276",106,53,0,"1,417",200,367,2563,830,34,245,502
0,"1,048",187,188,290,0,215,0,0,0,0,"4,571",0,0,257,0,"Sports, Recreation and Cultural Centre Managers",53,0,0,0,71,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,"1,586",80,0,42,171,0,0,0,"2,279",0,0,112,1431,0,0,Thai Traditional Medicine,250,0,0,0,0,0,6,0,0,0,0,285,0,0,0,0,0,42,0,73,0,2563,0,0,75,0
109,"1,755",637,0,0,0,0,0,0,0,0,"12,427",0,0,"1,717",0,Building Architects,0,0,0,0,0,0,0,0,0,0,493,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,"3,390",283,0,0,2161,0,0,Architecture ,0,"1,439",0,0,0,0,7,0,0,177,0,"1,172",0,0,0,0,0,0,0,0,0,2563,0,0,102,0
0,"2,153",0,0,0,0,105,558,0,"1,061",0,"11,912",0,0,0,0,Product and Garment Designers,0,0,0,0,0,449,0,0,321,0,0,0,0,599,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,"2,490",0,85,65,2163,0,0,"Design: product, graphic and fashion design",0,0,0,0,0,0,8,0,0,0,0,"3,327",0,0,0,0,0,0,0,0,0,2563,0,0,0,187
0,0,0,0,0,0,0,0,0,0,0,"2,276",0,0,0,0,Town and Traffic Planners,0,0,135,0,0,0,0,137,247,0,644,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2164,0,0,Architecture ,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,301,0,0,2563,0,0,0,0
0,"4,511",140,0,0,310,80,0,0,374,126,"19,381",0,292,658,0,Graphic and Multimedia Designers,0,0,112,0,0,0,0,0,0,979,985,0,0,0,0,165,0,0,0,0,0,164,628,0,0,0,65,0,170,610,0,"4,325",0,0,0,2166,390,0,"Design: product, graphic and fashion design",0,0,0,0,0,0,10,0,164,0,0,327,0,77,0,0,0,0,0,0,359,2563,0,0,93,0
85,"16,291",0,273,0,684,364,0,93,405,126,"68,233",0,0,"2,027",0,Advertising and Marketing Professionals,101,0,0,0,183,0,628,122,0,0,"4,465",0,0,169,0,177,267,172,0,176,101,358,990,690,211,230,270,215,0,722,429,"8,445",0,"1,884",0,2431,0,518,Advertisement and marketing,0,"1,584","3,358",104,0,81,11,139,0,0,461,655,0,0,0,0,0,0,0,0,0,2563,0,80,0,233
103,380,0,0,0,877,0,0,62,0,208,"9,885",0,90,0,0,Public Relations Professionals,0,595,111,107,243,76,213,117,0,932,0,0,0,0,0,0,138,0,77,0,0,90,148,0,216,0,0,0,0,0,0,"2,338",584,555,0,2432,0,0,Advertisement and marketing,0,0,"3,207",340,0,277,12,0,0,938,228,595,"1,500",0,0,60,0,98,157,46,0,2563,0,0,168,236
0,671,0,0,47,0,0,0,0,571,0,"4,091",0,0,0,0,Systems Analysts,0,0,0,0,0,0,0,0,0,0,555,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,2511,0,0,"IT, software and computer services",0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,63,0,0,0,0,0,2563,0,0,0,0
