จำนวน,_id,ปี,สถานภาพการทำงาน,เพศ,จังหวัด,ประเภทแรงงาน,หน่วย
3385,1,2561,นายจ้าง,ชาย,เชียงใหม่,แรงงานในระบบ,คน
17055,2,2561,ประกอบธุรกิจส่วนตัว,ชาย,เชียงใหม่,แรงงานในระบบ,คน
4645,3,2561,ช่วยธุรกิจครัวเรือน,ชาย,เชียงใหม่,แรงงานในระบบ,คน
61943,4,2561,ลูกจ้างรัฐบาล,ชาย,เชียงใหม่,แรงงานในระบบ,คน
132032,5,2561,ลูกจ้างเอกชน,ชาย,เชียงใหม่,แรงงานในระบบ,คน
11659,6,2561,ประกอบธุรกิจส่วนตัว,หญิง,เชียงใหม่,แรงงานในระบบ,คน
7851,7,2561,ช่วยธุรกิจครัวเรือน,หญิง,เชียงใหม่,แรงงานในระบบ,คน
43643,8,2561,ลูกจ้างรัฐบาล,หญิง,เชียงใหม่,แรงงานในระบบ,คน
131154,9,2561,ลูกจ้างเอกชน,หญิง,เชียงใหม่,แรงงานในระบบ,คน
17733,10,2561,นายจ้าง,ชาย,เชียงใหม่,แรงงานนอกระบบ,คน
187637,11,2561,ประกอบธุรกิจส่วนตัว,ชาย,เชียงใหม่,แรงงานนอกระบบ,คน
77213,12,2561,ช่วยธุรกิจครัวเรือน,ชาย,เชียงใหม่,แรงงานนอกระบบ,คน
2523,13,2561,ลูกจ้างรัฐบาล,ชาย,เชียงใหม่,แรงงานนอกระบบ,คน
58348,14,2561,ลูกจ้างเอกชน,ชาย,เชียงใหม่,แรงงานนอกระบบ,คน
2471,15,2561,นายจ้าง,หญิง,เชียงใหม่,แรงงานนอกระบบ,คน
98848,16,2561,ประกอบธุรกิจส่วนตัว,หญิง,เชียงใหม่,แรงงานนอกระบบ,คน
130047,17,2561,ช่วยธุรกิจครัวเรือน,หญิง,เชียงใหม่,แรงงานนอกระบบ,คน
326,18,2561,ลูกจ้างรัฐบาล,หญิง,เชียงใหม่,แรงงานนอกระบบ,คน
49471,19,2561,ลูกจ้างเอกชน,หญิง,เชียงใหม่,แรงงานนอกระบบ,คน
511,20,2561,นายจ้าง,ชาย,ลำพูน,แรงงานในระบบ,คน
2199,21,2561,ประกอบธุรกิจส่วนตัว,ชาย,ลำพูน,แรงงานในระบบ,คน
640,22,2561,ช่วยธุรกิจครัวเรือน,ชาย,ลำพูน,แรงงานในระบบ,คน
8915,23,2561,ลูกจ้างรัฐบาล,ชาย,ลำพูน,แรงงานในระบบ,คน
32929,24,2561,ลูกจ้างเอกชน,ชาย,ลำพูน,แรงงานในระบบ,คน
146,25,2561,นายจ้าง,หญิง,ลำพูน,แรงงานในระบบ,คน
1471,26,2561,ประกอบธุรกิจส่วนตัว,หญิง,ลำพูน,แรงงานในระบบ,คน
1093,27,2561,ช่วยธุรกิจครัวเรือน,หญิง,ลำพูน,แรงงานในระบบ,คน
10220,28,2561,ลูกจ้างรัฐบาล,หญิง,ลำพูน,แรงงานในระบบ,คน
36409,29,2561,ลูกจ้างเอกชน,หญิง,ลำพูน,แรงงานในระบบ,คน
3409,30,2561,นายจ้าง,ชาย,ลำพูน,แรงงานนอกระบบ,คน
48041,31,2561,ประกอบธุรกิจส่วนตัว,ชาย,ลำพูน,แรงงานนอกระบบ,คน
14097,32,2561,ช่วยธุรกิจครัวเรือน,ชาย,ลำพูน,แรงงานนอกระบบ,คน
78,33,2561,ลูกจ้างรัฐบาล,ชาย,ลำพูน,แรงงานนอกระบบ,คน
21893,34,2561,ลูกจ้างเอกชน,ชาย,ลำพูน,แรงงานนอกระบบ,คน
700,35,2561,นายจ้าง,หญิง,ลำพูน,แรงงานนอกระบบ,คน
29967,36,2561,ประกอบธุรกิจส่วนตัว,หญิง,ลำพูน,แรงงานนอกระบบ,คน
29137,37,2561,ช่วยธุรกิจครัวเรือน,หญิง,ลำพูน,แรงงานนอกระบบ,คน
13486,38,2561,ลูกจ้างเอกชน,หญิง,ลำพูน,แรงงานนอกระบบ,คน
1361,39,2561,นายจ้าง,ชาย,ลำปาง,แรงงานในระบบ,คน
3862,40,2561,ประกอบธุรกิจส่วนตัว,ชาย,ลำปาง,แรงงานในระบบ,คน
1599,41,2561,ช่วยธุรกิจครัวเรือน,ชาย,ลำปาง,แรงงานในระบบ,คน
23758,42,2561,ลูกจ้างรัฐบาล,ชาย,ลำปาง,แรงงานในระบบ,คน
48743,43,2561,ลูกจ้างเอกชน,ชาย,ลำปาง,แรงงานในระบบ,คน
144,44,2561,นายจ้าง,หญิง,ลำปาง,แรงงานในระบบ,คน
2896,45,2561,ประกอบธุรกิจส่วนตัว,หญิง,ลำปาง,แรงงานในระบบ,คน
2899,46,2561,ช่วยธุรกิจครัวเรือน,หญิง,ลำปาง,แรงงานในระบบ,คน
21252,47,2561,ลูกจ้างรัฐบาล,หญิง,ลำปาง,แรงงานในระบบ,คน
41269,48,2561,ลูกจ้างเอกชน,หญิง,ลำปาง,แรงงานในระบบ,คน
3403,49,2561,นายจ้าง,ชาย,ลำปาง,แรงงานนอกระบบ,คน
90963,50,2561,ประกอบธุรกิจส่วนตัว,ชาย,ลำปาง,แรงงานนอกระบบ,คน
31659,51,2561,ช่วยธุรกิจครัวเรือน,ชาย,ลำปาง,แรงงานนอกระบบ,คน
203,52,2561,ลูกจ้างรัฐบาล,ชาย,ลำปาง,แรงงานนอกระบบ,คน
16258,53,2561,ลูกจ้างเอกชน,ชาย,ลำปาง,แรงงานนอกระบบ,คน
1341,54,2561,นายจ้าง,หญิง,ลำปาง,แรงงานนอกระบบ,คน
50542,55,2561,ประกอบธุรกิจส่วนตัว,หญิง,ลำปาง,แรงงานนอกระบบ,คน
53253,56,2561,ช่วยธุรกิจครัวเรือน,หญิง,ลำปาง,แรงงานนอกระบบ,คน
920,57,2561,ลูกจ้างรัฐบาล,หญิง,ลำปาง,แรงงานนอกระบบ,คน
9044,58,2561,ลูกจ้างเอกชน,หญิง,ลำปาง,แรงงานนอกระบบ,คน
665,59,2561,การรวมกลุ่ม,หญิง,ลำปาง,แรงงานนอกระบบ,คน
1580,60,2561,ประกอบธุรกิจส่วนตัว,ชาย,อุตรดิตถ์,แรงงานในระบบ,คน
126,61,2561,ช่วยธุรกิจครัวเรือน,ชาย,อุตรดิตถ์,แรงงานในระบบ,คน
10972,62,2561,ลูกจ้างรัฐบาล,ชาย,อุตรดิตถ์,แรงงานในระบบ,คน
17266,63,2561,ลูกจ้างเอกชน,ชาย,อุตรดิตถ์,แรงงานในระบบ,คน
1621,64,2561,ประกอบธุรกิจส่วนตัว,หญิง,อุตรดิตถ์,แรงงานในระบบ,คน
745,65,2561,ช่วยธุรกิจครัวเรือน,หญิง,อุตรดิตถ์,แรงงานในระบบ,คน
14789,66,2561,ลูกจ้างรัฐบาล,หญิง,อุตรดิตถ์,แรงงานในระบบ,คน
10815,67,2561,ลูกจ้างเอกชน,หญิง,อุตรดิตถ์,แรงงานในระบบ,คน
2235,68,2561,นายจ้าง,ชาย,อุตรดิตถ์,แรงงานนอกระบบ,คน
55821,69,2561,ประกอบธุรกิจส่วนตัว,ชาย,อุตรดิตถ์,แรงงานนอกระบบ,คน
17768,70,2561,ช่วยธุรกิจครัวเรือน,ชาย,อุตรดิตถ์,แรงงานนอกระบบ,คน
133,71,2561,ลูกจ้างรัฐบาล,ชาย,อุตรดิตถ์,แรงงานนอกระบบ,คน
19272,72,2561,ลูกจ้างเอกชน,ชาย,อุตรดิตถ์,แรงงานนอกระบบ,คน
185,73,2561,การรวมกลุ่ม,ชาย,อุตรดิตถ์,แรงงานนอกระบบ,คน
784,74,2561,นายจ้าง,หญิง,อุตรดิตถ์,แรงงานนอกระบบ,คน
30910,75,2561,ประกอบธุรกิจส่วนตัว,หญิง,อุตรดิตถ์,แรงงานนอกระบบ,คน
26873,76,2561,ช่วยธุรกิจครัวเรือน,หญิง,อุตรดิตถ์,แรงงานนอกระบบ,คน
498,77,2561,ลูกจ้างรัฐบาล,หญิง,อุตรดิตถ์,แรงงานนอกระบบ,คน
11220,78,2561,ลูกจ้างเอกชน,หญิง,อุตรดิตถ์,แรงงานนอกระบบ,คน
207,79,2561,การรวมกลุ่ม,หญิง,อุตรดิตถ์,แรงงานนอกระบบ,คน
1587,80,2561,นายจ้าง,ชาย,แพร่,แรงงานในระบบ,คน
1698,81,2561,ประกอบธุรกิจส่วนตัว,ชาย,แพร่,แรงงานในระบบ,คน
655,82,2561,ช่วยธุรกิจครัวเรือน,ชาย,แพร่,แรงงานในระบบ,คน
16825,83,2561,ลูกจ้างรัฐบาล,ชาย,แพร่,แรงงานในระบบ,คน
19519,84,2561,ลูกจ้างเอกชน,ชาย,แพร่,แรงงานในระบบ,คน
94,85,2561,นายจ้าง,หญิง,แพร่,แรงงานในระบบ,คน
1718,86,2561,ประกอบธุรกิจส่วนตัว,หญิง,แพร่,แรงงานในระบบ,คน
1074,87,2561,ช่วยธุรกิจครัวเรือน,หญิง,แพร่,แรงงานในระบบ,คน
15059,88,2561,ลูกจ้างรัฐบาล,หญิง,แพร่,แรงงานในระบบ,คน
23264,89,2561,ลูกจ้างเอกชน,หญิง,แพร่,แรงงานในระบบ,คน
3635,90,2561,นายจ้าง,ชาย,แพร่,แรงงานนอกระบบ,คน
58956,91,2561,ประกอบธุรกิจส่วนตัว,ชาย,แพร่,แรงงานนอกระบบ,คน
16076,92,2561,ช่วยธุรกิจครัวเรือน,ชาย,แพร่,แรงงานนอกระบบ,คน
1669,93,2561,ลูกจ้างรัฐบาล,ชาย,แพร่,แรงงานนอกระบบ,คน
6106,94,2561,ลูกจ้างเอกชน,ชาย,แพร่,แรงงานนอกระบบ,คน
1663,95,2561,นายจ้าง,หญิง,แพร่,แรงงานนอกระบบ,คน
31669,96,2561,ประกอบธุรกิจส่วนตัว,หญิง,แพร่,แรงงานนอกระบบ,คน
36515,97,2561,ช่วยธุรกิจครัวเรือน,หญิง,แพร่,แรงงานนอกระบบ,คน
853,98,2561,ลูกจ้างรัฐบาล,หญิง,แพร่,แรงงานนอกระบบ,คน
4455,99,2561,ลูกจ้างเอกชน,หญิง,แพร่,แรงงานนอกระบบ,คน
69,100,2561,นายจ้าง,ชาย,น่าน,แรงงานในระบบ,คน
855,101,2561,ประกอบธุรกิจส่วนตัว,ชาย,น่าน,แรงงานในระบบ,คน
420,102,2561,ช่วยธุรกิจครัวเรือน,ชาย,น่าน,แรงงานในระบบ,คน
14675,103,2561,ลูกจ้างรัฐบาล,ชาย,น่าน,แรงงานในระบบ,คน
14523,104,2561,ลูกจ้างเอกชน,ชาย,น่าน,แรงงานในระบบ,คน
51,105,2561,นายจ้าง,หญิง,น่าน,แรงงานในระบบ,คน
158,106,2561,ประกอบธุรกิจส่วนตัว,หญิง,น่าน,แรงงานในระบบ,คน
329,107,2561,ช่วยธุรกิจครัวเรือน,หญิง,น่าน,แรงงานในระบบ,คน
14653,108,2561,ลูกจ้างรัฐบาล,หญิง,น่าน,แรงงานในระบบ,คน
9001,109,2561,ลูกจ้างเอกชน,หญิง,น่าน,แรงงานในระบบ,คน
477,110,2561,นายจ้าง,ชาย,น่าน,แรงงานนอกระบบ,คน
74778,111,2561,ประกอบธุรกิจส่วนตัว,ชาย,น่าน,แรงงานนอกระบบ,คน
18806,112,2561,ช่วยธุรกิจครัวเรือน,ชาย,น่าน,แรงงานนอกระบบ,คน
360,113,2561,ลูกจ้างรัฐบาล,ชาย,น่าน,แรงงานนอกระบบ,คน
13550,114,2561,ลูกจ้างเอกชน,ชาย,น่าน,แรงงานนอกระบบ,คน
821,115,2561,นายจ้าง,หญิง,น่าน,แรงงานนอกระบบ,คน
30401,116,2561,ประกอบธุรกิจส่วนตัว,หญิง,น่าน,แรงงานนอกระบบ,คน
47126,117,2561,ช่วยธุรกิจครัวเรือน,หญิง,น่าน,แรงงานนอกระบบ,คน
