จำนวน,_id,ปี,เพศ,จังหวัด,อุตสาหกรรม,ประเภทแรงงาน,หน่วย
1159,1,2561,ชาย,สมุทรปราการ,เกษตรกรรม,แรงงานในระบบ,คน
295847,2,2561,ชาย,สมุทรปราการ,การผลิต,แรงงานในระบบ,คน
2127,3,2561,ชาย,สมุทรปราการ,ไฟฟ้าก๊าซและประปา,แรงงานในระบบ,คน
4059,4,2561,ชาย,สมุทรปราการ,การจัดหาน้ำการบำบัดน้ำเสีย,แรงงานในระบบ,คน
30484,5,2561,ชาย,สมุทรปราการ,การก่อสร้าง,แรงงานในระบบ,คน
80098,6,2561,ชาย,สมุทรปราการ,การขายส่งการขายปลีก,แรงงานในระบบ,คน
70107,7,2561,ชาย,สมุทรปราการ,การขนส่ง,แรงงานในระบบ,คน
15939,8,2561,ชาย,สมุทรปราการ,ที่พักแรมและบริการด้านอาหาร,แรงงานในระบบ,คน
952,9,2561,ชาย,สมุทรปราการ,ข้อมูลข่าวสารการสื่อสาร,แรงงานในระบบ,คน
1464,10,2561,ชาย,สมุทรปราการ,กิจกรรมด้านการเงิน,แรงงานในระบบ,คน
14241,11,2561,ชาย,สมุทรปราการ,อสังหาริมทรัพย์,แรงงานในระบบ,คน
4211,12,2561,ชาย,สมุทรปราการ,กิจกรรมทางวิชาชีพ,แรงงานในระบบ,คน
15377,13,2561,ชาย,สมุทรปราการ,กิจกรรมการบริหาร,แรงงานในระบบ,คน
26121,14,2561,ชาย,สมุทรปราการ,บริหารราชการและป้องกันประเทศ,แรงงานในระบบ,คน
1390,15,2561,ชาย,สมุทรปราการ,การศึกษา,แรงงานในระบบ,คน
3915,16,2561,ชาย,สมุทรปราการ,ศิลปะบันเทิง,แรงงานในระบบ,คน
3876,17,2561,ชาย,สมุทรปราการ,กิจกรรมบริการอื่นๆ,แรงงานในระบบ,คน
1887,18,2561,ชาย,สมุทรปราการ,การจ้างงานในครัวเรือนส่วนบุคคล,แรงงานในระบบ,คน
1428,19,2561,ชาย,สมุทรปราการ,ไม่ทราบ,แรงงานในระบบ,คน
1531,20,2561,หญิง,สมุทรปราการ,เหมืองแร่เหมืองหิน,แรงงานในระบบ,คน
271617,21,2561,หญิง,สมุทรปราการ,การผลิต,แรงงานในระบบ,คน
1739,22,2561,หญิง,สมุทรปราการ,การจัดหาน้ำการบำบัดน้ำเสีย,แรงงานในระบบ,คน
6064,23,2561,หญิง,สมุทรปราการ,การก่อสร้าง,แรงงานในระบบ,คน
48539,24,2561,หญิง,สมุทรปราการ,การขายส่งการขายปลีก,แรงงานในระบบ,คน
19502,25,2561,หญิง,สมุทรปราการ,การขนส่ง,แรงงานในระบบ,คน
27508,26,2561,หญิง,สมุทรปราการ,ที่พักแรมและบริการด้านอาหาร,แรงงานในระบบ,คน
2979,27,2561,หญิง,สมุทรปราการ,ข้อมูลข่าวสารการสื่อสาร,แรงงานในระบบ,คน
18853,28,2561,หญิง,สมุทรปราการ,กิจกรรมด้านการเงิน,แรงงานในระบบ,คน
3564,29,2561,หญิง,สมุทรปราการ,อสังหาริมทรัพย์,แรงงานในระบบ,คน
8651,30,2561,หญิง,สมุทรปราการ,กิจกรรมทางวิชาชีพ,แรงงานในระบบ,คน
20948,31,2561,หญิง,สมุทรปราการ,กิจกรรมการบริหาร,แรงงานในระบบ,คน
12917,32,2561,หญิง,สมุทรปราการ,บริหารราชการและป้องกันประเทศ,แรงงานในระบบ,คน
17765,33,2561,หญิง,สมุทรปราการ,การศึกษา,แรงงานในระบบ,คน
16040,34,2561,หญิง,สมุทรปราการ,ด้านสุขภาพและสังคมสงเคราะห์,แรงงานในระบบ,คน
6906,35,2561,หญิง,สมุทรปราการ,ศิลปะบันเทิง,แรงงานในระบบ,คน
9854,36,2561,หญิง,สมุทรปราการ,กิจกรรมบริการอื่นๆ,แรงงานในระบบ,คน
1369,37,2561,หญิง,สมุทรปราการ,การจ้างงานในครัวเรือนส่วนบุคคล,แรงงานในระบบ,คน
3610,38,2561,หญิง,สมุทรปราการ,ไม่ทราบ,แรงงานในระบบ,คน
8046,39,2561,ชาย,สมุทรปราการ,เกษตรกรรม,แรงงานนอกระบบ,คน
8431,40,2561,ชาย,สมุทรปราการ,การผลิต,แรงงานนอกระบบ,คน
2148,41,2561,ชาย,สมุทรปราการ,การจัดหาน้ำการบำบัดน้ำเสีย,แรงงานนอกระบบ,คน
6026,42,2561,ชาย,สมุทรปราการ,การก่อสร้าง,แรงงานนอกระบบ,คน
53294,43,2561,ชาย,สมุทรปราการ,การขายส่งการขายปลีก,แรงงานนอกระบบ,คน
27651,44,2561,ชาย,สมุทรปราการ,การขนส่ง,แรงงานนอกระบบ,คน
18210,45,2561,ชาย,สมุทรปราการ,ที่พักแรมและบริการด้านอาหาร,แรงงานนอกระบบ,คน
2255,46,2561,ชาย,สมุทรปราการ,อสังหาริมทรัพย์,แรงงานนอกระบบ,คน
699,47,2561,ชาย,สมุทรปราการ,กิจกรรมการบริหาร,แรงงานนอกระบบ,คน
3183,48,2561,ชาย,สมุทรปราการ,ศิลปะบันเทิง,แรงงานนอกระบบ,คน
3649,49,2561,ชาย,สมุทรปราการ,กิจกรรมบริการอื่นๆ,แรงงานนอกระบบ,คน
2111,50,2561,หญิง,สมุทรปราการ,เกษตรกรรม,แรงงานนอกระบบ,คน
5487,51,2561,หญิง,สมุทรปราการ,การผลิต,แรงงานนอกระบบ,คน
3317,52,2561,หญิง,สมุทรปราการ,การจัดหาน้ำการบำบัดน้ำเสีย,แรงงานนอกระบบ,คน
6142,53,2561,หญิง,สมุทรปราการ,การก่อสร้าง,แรงงานนอกระบบ,คน
60709,54,2561,หญิง,สมุทรปราการ,การขายส่งการขายปลีก,แรงงานนอกระบบ,คน
2004,55,2561,หญิง,สมุทรปราการ,การขนส่ง,แรงงานนอกระบบ,คน
30545,56,2561,หญิง,สมุทรปราการ,ที่พักแรมและบริการด้านอาหาร,แรงงานนอกระบบ,คน
285,57,2561,หญิง,สมุทรปราการ,อสังหาริมทรัพย์,แรงงานนอกระบบ,คน
