สาขา,วันเริ่ม,จังหวัด,วันสิ้นสุด,สถานที่ฝึก,_id,ยุทธศาสตร์,ชั่วโมง(รวม),รุ่นที่,กิจกรรม,รายการ,ตำบล,อำเภอ,ปีงบประมาณ,โครงการ
การใช้โปรแกรม Microsoft Excel,2567-02-11T00:00:00,สุรินทร์,2567-10-11T00:00:00,สถาบันการอาชีวศึกษาภาคตะวันออกเฉียงเหนือ 5 วิทยาลัยอาชีวศึกษาสุรินทร์ อ.เมืองสุรินทร์ จ.สุรินทร์,1,บูรณาการหน่วยงานภาครัฐและเอกชน,32,1,โครงการบูรณาการภาครัฐและเอกชน,โครงการบูรณาการภาครัฐและเอกชน,,เมืองสุรินทร์,2568,บูรณาการหน่วยงานภาครัฐและเอกชน
การใช้โปรแกรม Microsoft Word,2567-02-11T00:00:00,,2567-10-11T00:00:00,สถาบันการอาชีวศึกษาภาคตะวันออกเฉียงเหนือ 5 วิทยาลัยอาชีวศึกษาสุรินทร์,2,บูรณาการหน่วยงานภาครัฐและเอกชน,32,1,โครงการบูรณาการภาครัฐและเอกชน,โครงการบูรณาการภาครัฐและเอกชน,,,2568,บูรณาการหน่วยงานภาครัฐและเอกชน
การใช้โปรแกรม Microsoft Excel,2567-11-16T00:00:00,สุรินทร์,2567-11-24T00:00:00,สถาบันการอาชีวศึกษาภาคตะวันออกเฉียงเหนือ 5 วิทยาลัยอาชีวศึกษา อ.เมืองสุรินทร์ จ.สุรินทร์,3,บูรณาการหน่วยงานภาครัฐและเอกชน,32,2,โครงการบูรณาการภาครัฐและเอกชน,โครงการบูรณาการภาครัฐและเอกชน,,เมืองสุรินทร์,2568,บูรณาการหน่วยงานภาครัฐและเอกชน
การใช้โปรแกรม Microsoft Word,2567-11-16T00:00:00,สุรินทร์,2567-11-24T00:00:00,สถาบันการอาชีวศึกษาภาคตะวันออกเฉียงเหนือ 5 วิทยาลัยอาชีวศึกษาสุรินทร์ ตำบลในเมือง อำเภอเมืองสุรินทร์ จังหวัดสุรินทร์,4,บูรณาการหน่วยงานภาครัฐและเอกชน,32,2,โครงการบูรณาการภาครัฐและเอกชน,โครงการบูรณาการภาครัฐและเอกชน,ในเมือง,เมืองสุรินทร์,2568,บูรณาการหน่วยงานภาครัฐและเอกชน
ช่างปูกระเบื้อง,2567-11-18T00:00:00,สุรินทร์,2567-11-22T00:00:00,วัดบ้านจารพัด หมู่ 1 ตำบลจารพัด อำเภอศีขรภูมิ จังหวัดสุรินทร์,5,ด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,30,1,ฝึกอบรมแรงงานกลุ่มเป้าหมายเฉพาะเพื่อเพิ่มโอกาสในการประกอบอาชีพ,แรงงานนอกระบบ,จารพัด,ศีขรภูมิ,2568,โครงการเพิ่มทักษะแรงงานอิสระและกลุ่มเป้าหมายเฉพาะเพื่อเพิ่มโอกาสในการประกอบอาชีพ
การใช้โปรแกรม Microsoft Excel,2567-11-30T00:00:00,สุรินทร์,2567-08-12T00:00:00,สถาบันการอาชีวศึกษาภาคตะวันออกเฉียงเหนือ 5 วิทยาลัยอาชีวศึกษาสุรินทร์ อ.เมืองสุรินทร์ จ.สุรินทร์,6,บูรณาการหน่วยงานภาครัฐและเอกชน,32,3,โครงการบูรณาการภาครัฐและเอกชน,โครงการบูรณาการภาครัฐและเอกชน,,เมืองสุรินทร์,2568,บูรณาการหน่วยงานภาครัฐและเอกชน
เทคนิคการนวดไทย ตามแนวเส้นสิบ,2567-01-12T00:00:00,สุรินทร์,2567-06-12T00:00:00,สำนักงานพัฒนาฝีมือแรงงานสุรินทร์ แห่งที่ 1 ต.บ้านชบ อ.สังขะ จ.สุรินทร์,7,ด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,30,1,พัฒนาทักษะแรงงานรองรับนโยบาย Soft Power,ฝึกอบรมทักษะฝีมือ หลักสูตรระยะสั้น 30 ชั่วโมง,บ้านชบ,สังขะ,2568,โครงการพัฒนาทักษะแรงงงานรองรับนโยบาย Soft Power
การติดตั้งและบำรุงรักษาระบบเซลล์แสงอาทิตย์,2567-09-12T00:00:00,สุรินทรุ์,2567-12-13T00:00:00,ศาลาประชาคมบ้านตากวนน้อย หมู่ 7 ตำบลลุ่มระวี อำเภอจอมพระ จังหวัดสุรินทรุ์,8,ด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,30,2,พัฒนาทักษะแรงงานนอกระบบให้สอดคล้องกับความสามารถเฉพาะบุคคลเพื่อการประกอบอาชีพ,พัฒนาทักษะแรงงานนอกระบบให้สอดคล้องกับความสามารถเฉพาะบุคคลเพื่อการประกอบอาชีพ,ลุ่มระวี,จอมพระ,2568,โครงการเพิ่มทักษะแรงงานอิสระและกลุ่มเป้าหมายเฉพาะเพื่อเพิ่มโอกาสในการประกอบอาชีพ
ช่างเครื่องปรับอากาศในบ้านและการพาณิชย์ขนาดเล็ก ระดับ 1,2567-09-12T00:00:00,สุรินทร์,2567-12-13T00:00:00,สำนักงานพัฒนาฝีมือแรงงานสุรินทร์ แห่งที่ 1 ต.บ้านชบ อ.สังขะ จ.สุรินทร์,9,ด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,30,1,ยกระดับเพื่อเพิ่มศักยภาพฝีมือและสมรรถนะแรงงานรองรับการเปลี่ยนแปลงเทคโนโลยี,ยกระดับเพื่อเพิ่มศักยภาพฝีมือและสมรรถนะแรงงานรองรับการเปลี่ยนแปลงเทคโนโลยี,บ้านชบ,สังขะ,2568,โครงการพลิกโฉมผลิตภาพแรงงานไทย
การเชื่อมประกอบผลิตภัณฑ์,2567-12-13T00:00:00,สุรินทร์,2567-12-17T00:00:00,อาคารฝึกอบรมองค์การบริหารส่วนตำบลตาวัง ต.ตาวัง อ.บัวเชด จ.สุรินทร์,10,ด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,30,3,พัฒนาทักษะแรงงานนอกระบบให้สอดคล้องกับความสามารถเฉพาะบุคคลเพื่อการประกอบอาชีพ,พัฒนาทักษะแรงงานนอกระบบให้สอดคล้องกับความสามารถเฉพาะบุคคลเพื่อการประกอบอาชีพ,ตาวัง,บัวเชด,2568,โครงการเพิ่มทักษะแรงงานอิสระและกลุ่มเป้าหมายเฉพาะเพื่อเพิ่มโอกาสในการประกอบอาชีพ
