การว่างงาน,_id,ปี,หญิง,รวม,ชาย,ไตรมาส
ผู้ว่างงาน,1,2562,"1,136","2,263","1,127",เฉลี่ย 4 ไตรมาส
ผู้ว่างงาน,2,2562,"1,101","2,117","1,016",ไตรมาสที่ 1
ผู้ว่างงาน,3,2562,"1,501","2,073",572,ไตรมาสที่ 2
ผู้ว่างงาน,4,2562,"1,309","2,958","1,649",ไตรมาสที่ 3
ผู้ว่างงาน,5,2562,634,"1,904","1,270",ไตรมาสที่ 4
อัตราการว่างงาน (%),6,2562,1.4,1.3,1.2,เฉลี่ย 4 ไตรมาส
อัตราการว่างงาน (%),7,2562,1.4,1.2,1.1,ไตรมาสที่ 1
อัตราการว่างงาน (%),8,2562,1.9,1.2,0.6,ไตรมาสที่ 2
อัตราการว่างงาน (%),9,2562,1.6,1.7,1.8,ไตรมาสที่ 3
อัตราการว่างงาน (%),10,2562,0.7,1.1,1.4,ไตรมาสที่ 4
ผู้ว่างงาน,11,2563,"1,883","5,858","3,975",เฉลี่ย 4 ไตรมาส
ผู้ว่างงาน,12,2563,"1,447","5,051","3,604",ไตรมาสที่ 1
ผู้ว่างงาน,13,2563,"2,509","6,130","3,621",ไตรมาสที่ 2
ผู้ว่างงาน,14,2563,"2,175","5,996","3,821",ไตรมาสที่ 3
ผู้ว่างงาน,15,2563,"1,402","6,255","4,853",ไตรมาสที่ 4
อัตราการว่างงาน (%),16,2563,2.3,3.3,4.2,เฉลี่ย 4 ไตรมาส
อัตราการว่างงาน (%),17,2563,1.8,3.0,3.9,ไตรมาสที่ 1
อัตราการว่างงาน (%),18,2563,3.2,3.5,3.8,ไตรมาสที่ 2
อัตราการว่างงาน (%),19,2563,2.4,3.2,4.0,ไตรมาสที่ 3
อัตราการว่างงาน (%),20,2563,1.6,3.4,5.1,ไตรมาสที่ 4
ผู้ว่างงาน,21,2564,"1,738","3,907","2,169",เฉลี่ย 4 ไตรมาส
ผู้ว่างงาน,22,2564,"1,935","3,736","1,801",ไตรมาสที่ 1
ผู้ว่างงาน,23,2564,"1,568","4,184","2,616",ไตรมาสที่ 2
ผู้ว่างงาน,24,2564,"1,890","4,378","2,488",ไตรมาสที่ 3
ผู้ว่างงาน,25,2564,"1,559","3,328","1,769",ไตรมาสที่ 4
อัตราการว่างงาน (%),26,2564,2.0,2.2,2.3,เฉลี่ย 4 ไตรมาส
อัตราการว่างงาน (%),27,2564,2.3,2.1,1.9,ไตรมาสที่ 1
อัตราการว่างงาน (%),28,2564,1.9,2.3,2.7,ไตรมาสที่ 2
