_id,ปี,ใน-ต่าง,จำนวน,เดือน,รายการ
1,2569,หนี้ในประเทศ,487593.42,3,1. องค์กรของรัฐ
2,2569,หนี้ในประเทศ,151393.32,3,องค์การขนส่งมวลชนกรุงเทพ (BMTA)
3,2569,หนี้ในประเทศ,0,3,สถาบันการบินพลเรือน (CATC)
4,2569,หนี้ในประเทศ,332.61,3,องค์การส่งเสริมกิจการโคนมแห่งประเทศไทย (DPO)
5,2569,หนี้ในประเทศ,28000,3,การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย (EGAT)
6,2569,หนี้ในประเทศ,0,3,การทางพิเศษแห่งประเทศไทย (EXAT)
7,2569,หนี้ในประเทศ,0,3,องค์การอุตสาหกรรมป่าไม้ (FIO)
8,2569,หนี้ในประเทศ,0,3,การนิคมอุตสาหกรรมแห่งประเทศไทย (IEAT)
9,2569,หนี้ในประเทศ,0,3,การไฟฟ้านครหลวง (MEA)
10,2569,หนี้ในประเทศ,0,3,องค์การตลาดเพื่อเกษตรกร (MOFF)
11,2569,หนี้ในประเทศ,0,3,การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (MRTA)
12,2569,หนี้ในประเทศ,0,3,การประปานครหลวง (MWA)
13,2569,หนี้ในประเทศ,27050,3,การเคหะแห่งชาติ (NHA)
14,2569,หนี้ในประเทศ,0,3,การท่าเรือแห่งประเทศไทย (PAT)
15,2569,หนี้ในประเทศ,0,3,การไฟฟ้าส่วนภูมิภาค (PEA)
16,2569,หนี้ในประเทศ,0,3,องค์การคลังสินค้า (PWO)
17,2569,หนี้ในประเทศ,4620,3,การประปาส่วนภูมิภาค (PWA)
18,2569,หนี้ในประเทศ,825.31,3,การยางแห่งประเทศไทย (RAOT)
19,2569,หนี้ในประเทศ,275372.18,3,การรถไฟแห่งประเทศไทย (SRT)
20,2569,หนี้ในประเทศ,0,3,องค์การแบตเตอรี่ (TBO)**
21,2569,หนี้ในประเทศ,0,3,องค์การรับส่งสินค้าและพัสดุภัณฑ์ (ETO) **
22,2569,หนี้ในประเทศ,0,3,องค์การฟอกหนัง (TTO)**
23,2569,หนี้ในประเทศ,0,3,สำนักงานธนานุเคราะห์ (PAWN)***
24,2569,หนี้ในประเทศ,0,3,องค์การเภสัชกรรม
25,2569,หนี้ในประเทศ,0,3,2. บริษัทจำกัด และบริษัทมหาชนจำกัด
26,2569,หนี้ในประเทศ,0,3,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด (AERO)
27,2569,หนี้ในประเทศ,0,3,บริษัท บางจากปิโตรเลียม จำกัด (มหาชน) (BPC)*
28,2569,หนี้ในประเทศ,0,3,บริษัท กสท.โทรคมนาคม จำกัด (มหาชน) (CAT)
29,2569,หนี้ในประเทศ,0,3,บริษัท กรุงไทย คอมพิวเตอร์ เซอร์วิสเซส จำกัด (KTBCS)
30,2569,หนี้ในประเทศ,0,3,บริษัท กรุงไทยธุรกิจบริการ จำกัด (KTBGS)
31,2569,หนี้ในประเทศ,0,3,บริษัท ท่าอากาศยานไทย จำกัด (มหาชน) (AOT)
32,2569,หนี้ในประเทศ,0,3,บริษัท ปตท. สำรวจและผลิตปิโตรเลียม จำกัด (มหาชน) (PEPC) *
33,2569,หนี้ในประเทศ,0,3,บริษัท ปตท.สผ. อินเตอร์เนชั่นแนล จำกัด (PEPI)*
34,2569,หนี้ในประเทศ,0,3,บริษัท ปตท. จำกัด (มหาชน) (PTT)
35,2569,หนี้ในประเทศ,0,3,บริษัท การบินไทย จำกัด (มหาชน) (THAI)*
36,2569,หนี้ในประเทศ,0,3,บริษัท ทีโอที จำกัด (มหาชน) (TOT)
37,2569,หนี้ในประเทศ,0,3,บริษัท ไม้อัดไทย จำกัด (TTPC)**
38,2569,หนี้ในประเทศ,0,3,บริษัท อู่กรุงเทพ จำกัด (BDC)
39,2569,หนี้ในประเทศ,0,3,บริษัท โรงแรมท่าอากาศยานสุวรรณภูมิ จำกัด (SAH)
40,2569,หนี้ในประเทศ,0,3,บริษัท ผลิตไฟฟ้าและน้ำเย็น จำกัด (DCAP)
41,2569,หนี้ในประเทศ,0,3,บริษัท ธนารักษ์พัฒนาสินทรัพย์ จำกัด (ธพส.) (DAD)
42,2569,หนี้ในประเทศ,0,3,บริษัท พีอีเอ เอ็นคอม อินเตอร์เนชั่นแนล จำกัด (PEA ENCOM)
43,2569,หนี้ในประเทศ,487593.42,3,รวม
44,2569,หนี้ต่างประเทศ,22065.07,3,1. องค์กรของรัฐ
45,2569,หนี้ต่างประเทศ,0,3,องค์การขนส่งมวลชนกรุงเทพ (BMTA)
46,2569,หนี้ต่างประเทศ,0,3,สถาบันการบินพลเรือน (CATC)
47,2569,หนี้ต่างประเทศ,0,3,องค์การส่งเสริมกิจการโคนมแห่งประเทศไทย (DPO)
