_id,permission,﻿year,unit,source,province,license_type,region,value
1,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2559,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนอาคาร (หลัง),ทั่วประเทศ,238352
2,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2559,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนสิ่งก่อสร้าง ประเภทความยาว (แห่ง),ทั่วประเทศ,18768
3,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2559,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนสิ่งก่อสร้าง ประเภทพื้นที่ (แห่ง),ทั่วประเทศ,5264
4,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2560,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนอาคาร (หลัง),ทั่วประเทศ,234201
5,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2560,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนสิ่งก่อสร้าง ประเภทความยาว (แห่ง),ทั่วประเทศ,19188
6,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2560,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนสิ่งก่อสร้าง ประเภทพื้นที่ (แห่ง),ทั่วประเทศ,5960
7,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2561,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนอาคาร (หลัง),ทั่วประเทศ,253594
8,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2561,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนสิ่งก่อสร้าง ประเภทความยาว (แห่ง),ทั่วประเทศ,22623
9,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2561,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนสิ่งก่อสร้าง ประเภทพื้นที่ (แห่ง),ทั่วประเทศ,6858
10,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2562,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนอาคาร (หลัง),ทั่วประเทศ,262094
11,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2562,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนสิ่งก่อสร้าง ประเภทความยาว (แห่ง),ทั่วประเทศ,20982
12,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2562,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนสิ่งก่อสร้าง ประเภทพื้นที่ (แห่ง),ทั่วประเทศ,5240
13,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2559,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนอาคาร (หลัง),กรุงเทพมหานคร และปริมณฑล,79138
14,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2559,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนสิ่งก่อสร้าง ประเภทความยาว (แห่ง),กรุงเทพมหานคร และปริมณฑล,11870
15,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2559,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนสิ่งก่อสร้าง ประเภทพื้นที่ (แห่ง),กรุงเทพมหานคร และปริมณฑล,1653
16,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2560,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนอาคาร (หลัง),กรุงเทพมหานคร และปริมณฑล,73535
17,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2560,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนสิ่งก่อสร้าง ประเภทความยาว (แห่ง),กรุงเทพมหานคร และปริมณฑล,11347
18,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2560,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนสิ่งก่อสร้าง ประเภทพื้นที่ (แห่ง),กรุงเทพมหานคร และปริมณฑล,2724
19,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2561,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนอาคาร (หลัง),กรุงเทพมหานคร และปริมณฑล,80123
20,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2561,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนสิ่งก่อสร้าง ประเภทความยาว (แห่ง),กรุงเทพมหานคร และปริมณฑล,14134
21,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2561,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนสิ่งก่อสร้าง ประเภทพื้นที่ (แห่ง),กรุงเทพมหานคร และปริมณฑล,2890
22,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2562,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนอาคาร (หลัง),กรุงเทพมหานคร และปริมณฑล,77173
23,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2562,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนสิ่งก่อสร้าง ประเภทความยาว (แห่ง),กรุงเทพมหานคร และปริมณฑล,13388
24,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2562,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนสิ่งก่อสร้าง ประเภทพื้นที่ (แห่ง),กรุงเทพมหานคร และปริมณฑล,1818
25,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2559,ราย,สำนักงานสถิติแห่งชาติ,กรุงเทพมหานคร,จำนวนอาคาร (หลัง),กรุงเทพมหานคร และปริมณฑล,22019
26,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2559,ราย,สำนักงานสถิติแห่งชาติ,กรุงเทพมหานคร,จำนวนสิ่งก่อสร้าง ประเภทความยาว (แห่ง),กรุงเทพมหานคร และปริมณฑล,5574
27,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2559,ราย,สำนักงานสถิติแห่งชาติ,กรุงเทพมหานคร,จำนวนสิ่งก่อสร้าง ประเภทพื้นที่ (แห่ง),กรุงเทพมหานคร และปริมณฑล,498
28,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2560,ราย,สำนักงานสถิติแห่งชาติ,กรุงเทพมหานคร,จำนวนอาคาร (หลัง),กรุงเทพมหานคร และปริมณฑล,23332
29,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2560,ราย,สำนักงานสถิติแห่งชาติ,กรุงเทพมหานคร,จำนวนสิ่งก่อสร้าง ประเภทความยาว (แห่ง),กรุงเทพมหานคร และปริมณฑล,5608
30,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2560,ราย,สำนักงานสถิติแห่งชาติ,กรุงเทพมหานคร,จำนวนสิ่งก่อสร้าง ประเภทพื้นที่ (แห่ง),กรุงเทพมหานคร และปริมณฑล,559
31,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2561,ราย,สำนักงานสถิติแห่งชาติ,กรุงเทพมหานคร,จำนวนอาคาร (หลัง),กรุงเทพมหานคร และปริมณฑล,27334
32,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2561,ราย,สำนักงานสถิติแห่งชาติ,กรุงเทพมหานคร,จำนวนสิ่งก่อสร้าง ประเภทความยาว (แห่ง),กรุงเทพมหานคร และปริมณฑล,6352
33,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2561,ราย,สำนักงานสถิติแห่งชาติ,กรุงเทพมหานคร,จำนวนสิ่งก่อสร้าง ประเภทพื้นที่ (แห่ง),กรุงเทพมหานคร และปริมณฑล,1081
34,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2562,ราย,สำนักงานสถิติแห่งชาติ,กรุงเทพมหานคร,จำนวนอาคาร (หลัง),กรุงเทพมหานคร และปริมณฑล,20014
35,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2562,ราย,สำนักงานสถิติแห่งชาติ,กรุงเทพมหานคร,จำนวนสิ่งก่อสร้าง ประเภทความยาว (แห่ง),กรุงเทพมหานคร และปริมณฑล,5437
36,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2562,ราย,สำนักงานสถิติแห่งชาติ,กรุงเทพมหานคร,จำนวนสิ่งก่อสร้าง ประเภทพื้นที่ (แห่ง),กรุงเทพมหานคร และปริมณฑล,628
37,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2559,ราย,สำนักงานสถิติแห่งชาติ,สมุทรปราการ,จำนวนอาคาร (หลัง),กรุงเทพมหานคร และปริมณฑล,13456
38,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2559,ราย,สำนักงานสถิติแห่งชาติ,สมุทรปราการ,จำนวนสิ่งก่อสร้าง ประเภทความยาว (แห่ง),กรุงเทพมหานคร และปริมณฑล,1386
39,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2559,ราย,สำนักงานสถิติแห่งชาติ,สมุทรปราการ,จำนวนสิ่งก่อสร้าง ประเภทพื้นที่ (แห่ง),กรุงเทพมหานคร และปริมณฑล,420
40,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2560,ราย,สำนักงานสถิติแห่งชาติ,สมุทรปราการ,จำนวนอาคาร (หลัง),กรุงเทพมหานคร และปริมณฑล,10767
41,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2560,ราย,สำนักงานสถิติแห่งชาติ,สมุทรปราการ,จำนวนสิ่งก่อสร้าง ประเภทความยาว (แห่ง),กรุงเทพมหานคร และปริมณฑล,855
42,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2560,ราย,สำนักงานสถิติแห่งชาติ,สมุทรปราการ,จำนวนสิ่งก่อสร้าง ประเภทพื้นที่ (แห่ง),กรุงเทพมหานคร และปริมณฑล,219
43,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2561,ราย,สำนักงานสถิติแห่งชาติ,สมุทรปราการ,จำนวนอาคาร (หลัง),กรุงเทพมหานคร และปริมณฑล,9807
44,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2561,ราย,สำนักงานสถิติแห่งชาติ,สมุทรปราการ,จำนวนสิ่งก่อสร้าง ประเภทความยาว (แห่ง),กรุงเทพมหานคร และปริมณฑล,783
45,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2561,ราย,สำนักงานสถิติแห่งชาติ,สมุทรปราการ,จำนวนสิ่งก่อสร้าง ประเภทพื้นที่ (แห่ง),กรุงเทพมหานคร และปริมณฑล,613
