GPS_lng,ตำบล,ประกอบกิจการ,คนงานรวม,เลขทะเบียนเดิม,ถนน,เลขที่,คนงานชาย,จังหวัด,โทรศัพท์,หมู่,ผู้ประกอบการ,ซอย,ชื่อโรงงาน,ไปรษณีย์,คนงานหญิง,_id,อำเภอ,GPS_lat,เงินทุนรวม
,สนามจันทร์,ถักเสื้อไหมพรมด้วยแรงคน,50,2-24-2/24นฐ,ราชวิถี,เลขที่ 183,25,นครปฐม,,1,ห้างหุ้นส่วน กรีนนิตติ้ง จำกัด,,ห้างหุ้นส่วน กรีนนิตติ้ง จำกัด,73000,25,1,เมืองนครปฐม,,1000000
100.2469833,ท่าข้าม,ผลิตอาหารสำเร็จรูป,210,3-10(1)-1/17นฐ,เพชรเกษม,เลขที่ 13/8,28,นครปฐม,034-321455,4,บริษัท สามมิตรอุตสาหกรรมอาหาร จำกัด,,บริษัท สามมิตรอุตสาหกรรมอาหาร จำกัด,73110,182,2,สามพราน,13.72238333,23100000
100.2759333,ไร่ขิง,ผลิตขนมเวเฟอร์ ขนมปังกรอบ คุ๊กกี้ ข้าวเกรียบและช็อกโกเลต,64,3-10(1)-1/27นฐ,เพชรเกษม,เลขที่ 23,11,นครปฐม,4200716,14,บริษัท สยามโภคภัณฑ์ จำกัด,,บริษัท สยามโภคภัณฑ์ จำกัด,73210,53,3,สามพราน,13.71366667,12000000
100.2718667,อ้อมใหญ่,ทำขนมปังและขนมปังกรอบ,63,3-10(2)-1/18นฐ,เพชรเกษม,เลขที่ 42/2,0,นครปฐม,4201348,2,บริษัท แหลมทองอุตสาหกรรมอาหาร จำกัด,,บริษัท แหลมทองอุตสาหกรรมอาหาร จำกัด,73160,63,4,สามพราน,13.70761667,2000000
100.1973616,สัมปทวน,ข้าวโพดอบกรอบ ขนมอบกรอบ เวเฟอร์,90,3-10(2)-1/54นฐ,นครชัยศรี-ห้วยพลู,เลขที่ 68/1,35,นครปฐม,02-8110040-1,5,บริษัท เคพีฟู้ดส์ จำกัด,,บริษัท เคพีฟู้ดส์ จำกัด,73120,55,5,นครชัยศรี,13.84030975,105000000
100.25065,ยายชา,ผลิตและจำหน่ายแป้งข้าวเจ้า แป้งข้าวเหนียว เส้นหมี่ และเส้นก๋วยเตี๋ยว ทำขนมจีน อูด้ง แป้งแปรสภาพจากข้าวจ้าวและข้าวเหนียว,5404,3-10(3)-1/15นฐ,เพชรเกษม,เลขที่ 19,4828,นครปฐม,0-3432-1661-3,1,บริษัท โรงเส้นหมี่ชอเฮง จำกัด,,บริษัท โรงเส้นหมี่ชอเฮง จำกัด,73110,576,6,สามพราน,13.72791667,76000000
100.27275,อ้อมใหญ่,ทำบะหมี่กึ่งสำเร็จรูป เส้นหมี่กึ่งสำเร็จรูป เกี๊ยวสำเร็จรูป โจ๊กกึ่งสำเร็จรูป อาหารกึ่งสำเร็จรูป วัตถุปรุงแต่งรสและเครื่องปรุงรส อาหารพร้อมปรุง และอาหารสำเร็จรูปที่พร้อมบริโภคทันที,678,3-10(3)-1/16นฐ,เพชรเกษม,เลขที่ 42/1,94,นครปฐม,4201072,2,บริษัท โรงงานผลิตภัณฑ์อาหารไทย จำกัด,-,บริษัท โรงงานผลิตภัณฑ์อาหารไทย จำกัด,73160,584,7,สามพราน,13.70865,94079256
100.2494667,ยายชา,ทำเส้นก๋วยเตี๋ยวแห้ง,70,3-10(3)-1/28นฐ,เพชรเกษม,เลขที่ 45,35,นครปฐม,311245,1,บริษัท ไทยวัฒนาไรซ์โพรดัคท์จำกัด,-,บริษัท ไทยวัฒนาไรซ์โพรดัคท์ จำกัด,73110,35,8,สามพราน,13.72775,90000000
99.981,โพรงมะเดื่อ,"ผลิตอาหารเจจากแป้ง เช่น อาหารโปรตีน, ไส้กรอกเจ,ลูกชิ้นเจ,และอาหารเจอื่น ๆ",34,3-10(3)-1/45นฐ,,เลขที่ 162/3,12,นครปฐม,,10,บริษัท เมตตาอาหารเจ จำกัด,,บริษัท เมตตาอาหารเจ จำกัด,73000,22,9,เมืองนครปฐม,13.83653333,9100000
100.1482667,แหลมบัว,ผลิตขนมไทยหลากหลายชนิด,140,3-10(3)-10/63นฐ,,เลขที่ 89,55,นครปฐม,,2,บริษัท เก้าใหม่ ไทยดิเซิร์ท จำกัด,,บริษัท เก้าใหม่ ไทยดิเซิร์ท จำกัด,73120,85,10,นครชัยศรี,13.8569331,281000000
