จำนวน,ที่มา,_id,ปี,อำเภอ,หน่วย
4370,สำนักงานเกษตรจังหวัดลพบุรี,1,2564,เมืองลพบุรี,ไร่
49118,สำนักงานเกษตรจังหวัดลพบุรี,2,2564,พัฒนานิคม,ไร่
28626,สำนักงานเกษตรจังหวัดลพบุรี,3,2564,โคกสำโรง,ไร่
84080,สำนักงานเกษตรจังหวัดลพบุรี,4,2564,ชัยบาดาล,ไร่
7,สำนักงานเกษตรจังหวัดลพบุรี,5,2564,ท่าวุ้ง,ไร่
10752,สำนักงานเกษตรจังหวัดลพบุรี,6,2564,บ้านหมี่,ไร่
39408,สำนักงานเกษตรจังหวัดลพบุรี,7,2564,ท่าหลวง,ไร่
29549,สำนักงานเกษตรจังหวัดลพบุรี,8,2564,สระโบสถ์,ไร่
57498,สำนักงานเกษตรจังหวัดลพบุรี,9,2564,โคกเจริญ,ไร่
23570,สำนักงานเกษตรจังหวัดลพบุรี,10,2564,ลำสนธิ,ไร่
50875,สำนักงานเกษตรจังหวัดลพบุรี,11,2564,หนองม่วง,ไร่
5285,สำนักงานเกษตรจังหวัดลพบุรี,12,2565,เมืองลพบุรี,ไร่
49062,สำนักงานเกษตรจังหวัดลพบุรี,13,2565,พัฒนานิคม,ไร่
27601,สำนักงานเกษตรจังหวัดลพบุรี,14,2565,โคกสำโรง,ไร่
78685,สำนักงานเกษตรจังหวัดลพบุรี,15,2565,ชัยบาดาล,ไร่
,สำนักงานเกษตรจังหวัดลพบุรี,16,2565,ท่าวุ้ง,ไร่
9303,สำนักงานเกษตรจังหวัดลพบุรี,17,2565,บ้านหมี่,ไร่
22468.5,สำนักงานเกษตรจังหวัดลพบุรี,18,2565,ท่าหลวง,ไร่
36942,สำนักงานเกษตรจังหวัดลพบุรี,19,2565,สระโบสถ์,ไร่
54980,สำนักงานเกษตรจังหวัดลพบุรี,20,2565,โคกเจริญ,ไร่
26036.5,สำนักงานเกษตรจังหวัดลพบุรี,21,2565,ลำสนธิ,ไร่
51454,สำนักงานเกษตรจังหวัดลพบุรี,22,2565,หนองม่วง,ไร่
"4,164",สำนักงานเกษตรจังหวัดลพบุรี,23,2566,เมืองลพบุรี,ไร่
"49,904",สำนักงานเกษตรจังหวัดลพบุรี,24,2566,พัฒนานิคม,ไร่
"21,929",สำนักงานเกษตรจังหวัดลพบุรี,25,2566,โคกสำโรง,ไร่
"73,571",สำนักงานเกษตรจังหวัดลพบุรี,26,2566,ชัยบาดาล,ไร่
,สำนักงานเกษตรจังหวัดลพบุรี,27,2566,ท่าวุ้ง,ไร่
"8,502",สำนักงานเกษตรจังหวัดลพบุรี,28,2566,บ้านหมี่,ไร่
"34,293",สำนักงานเกษตรจังหวัดลพบุรี,29,2566,ท่าหลวง,ไร่
"26,205",สำนักงานเกษตรจังหวัดลพบุรี,30,2566,สระโบสถ์,ไร่
"47,601",สำนักงานเกษตรจังหวัดลพบุรี,31,2566,โคกเจริญ,ไร่
"25,306",สำนักงานเกษตรจังหวัดลพบุรี,32,2566,ลำสนธิ,ไร่
"45,272",สำนักงานเกษตรจังหวัดลพบุรี,33,2566,หนองม่วง,ไร่
"4,660",สำนักงานเกษตรจังหวัดลพบุรี,34,2567,เมืองลพบุรี,ไร่
"49,387",สำนักงานเกษตรจังหวัดลพบุรี,35,2567,พัฒนานิคม,ไร่
"24,690",สำนักงานเกษตรจังหวัดลพบุรี,36,2567,โคกสำโรง,ไร่
"71,835",สำนักงานเกษตรจังหวัดลพบุรี,37,2567,ชัยบาดาล,ไร่
,สำนักงานเกษตรจังหวัดลพบุรี,38,2567,ท่าวุ้ง,ไร่
"7,389",สำนักงานเกษตรจังหวัดลพบุรี,39,2567,บ้านหมี่,ไร่
"27,260",สำนักงานเกษตรจังหวัดลพบุรี,40,2567,ท่าหลวง,ไร่
"25,761",สำนักงานเกษตรจังหวัดลพบุรี,41,2567,สระโบสถ์,ไร่
"41,733",สำนักงานเกษตรจังหวัดลพบุรี,42,2567,โคกเจริญ,ไร่
"28,022",สำนักงานเกษตรจังหวัดลพบุรี,43,2567,ลำสนธิ,ไร่
"31,297",สำนักงานเกษตรจังหวัดลพบุรี,44,2567,หนองม่วง,ไร่
"1,450",สำนักงานเกษตรจังหวัดลพบุรี,45,2568,เมืองลพบุรี,ไร่
"45,310",สำนักงานเกษตรจังหวัดลพบุรี,46,2568,พัฒนานิคม,ไร่
"22,118",สำนักงานเกษตรจังหวัดลพบุรี,47,2568,โคกสำโรง,ไร่
"66,466",สำนักงานเกษตรจังหวัดลพบุรี,48,2568,ชัยบาดาล,ไร่
0,สำนักงานเกษตรจังหวัดลพบุรี,49,2568,ท่าวุ้ง,ไร่
"7,296",สำนักงานเกษตรจังหวัดลพบุรี,50,2568,บ้านหมี่,ไร่
"26,150",สำนักงานเกษตรจังหวัดลพบุรี,51,2568,ท่าหลวง,ไร่
"20,793",สำนักงานเกษตรจังหวัดลพบุรี,52,2568,สระโบสถ์,ไร่
"38,962",สำนักงานเกษตรจังหวัดลพบุรี,53,2568,โคกเจริญ,ไร่
"10,647",สำนักงานเกษตรจังหวัดลพบุรี,54,2568,ลำสนธิ,ไร่
"26,914",สำนักงานเกษตรจังหวัดลพบุรี,55,2568,หนองม่วง,ไร่
