จำนวน,ที่มา,_id,ปี,อำเภอ,หน่วย
6631.2,สำนักงานเกษตรจังหวัดลพบุรี,1,2564,เมืองลพบุรี,ไร่
21435.2,สำนักงานเกษตรจังหวัดลพบุรี,2,2564,พัฒนานิคม,ไร่
22543.2,สำนักงานเกษตรจังหวัดลพบุรี,3,2564,โคกสำโรง,ไร่
82420.6,สำนักงานเกษตรจังหวัดลพบุรี,4,2564,ชัยบาดาล,ไร่
0,สำนักงานเกษตรจังหวัดลพบุรี,5,2564,ท่าวุ้ง,ไร่
17292,สำนักงานเกษตรจังหวัดลพบุรี,6,2564,บ้านหมี่,ไร่
27136.2,สำนักงานเกษตรจังหวัดลพบุรี,7,2564,ท่าหลวง,ไร่
12300,สำนักงานเกษตรจังหวัดลพบุรี,8,2564,สระโบสถ์,ไร่
42158.4,สำนักงานเกษตรจังหวัดลพบุรี,9,2564,โคกเจริญ,ไร่
24992.4,สำนักงานเกษตรจังหวัดลพบุรี,10,2564,ลำสนธิ,ไร่
46450,สำนักงานเกษตรจังหวัดลพบุรี,11,2564,หนองม่วง,ไร่
8838,สำนักงานเกษตรจังหวัดลพบุรี,12,2565,เมืองลพบุรี,ไร่
18967,สำนักงานเกษตรจังหวัดลพบุรี,13,2565,พัฒนานิคม,ไร่
28093,สำนักงานเกษตรจังหวัดลพบุรี,14,2565,โคกสำโรง,ไร่
113232,สำนักงานเกษตรจังหวัดลพบุรี,15,2565,ชัยบาดาล,ไร่
0,สำนักงานเกษตรจังหวัดลพบุรี,16,2565,ท่าวุ้ง,ไร่
28760,สำนักงานเกษตรจังหวัดลพบุรี,17,2565,บ้านหมี่,ไร่
23932,สำนักงานเกษตรจังหวัดลพบุรี,18,2565,ท่าหลวง,ไร่
13649,สำนักงานเกษตรจังหวัดลพบุรี,19,2565,สระโบสถ์,ไร่
49507,สำนักงานเกษตรจังหวัดลพบุรี,20,2565,โคกเจริญ,ไร่
31119,สำนักงานเกษตรจังหวัดลพบุรี,21,2565,ลำสนธิ,ไร่
46459.25,สำนักงานเกษตรจังหวัดลพบุรี,22,2565,หนองม่วง,ไร่
8382,สำนักงานเกษตรจังหวัดลพบุรี,23,2566,เมืองลพบุรี,ไร่
23426.64,สำนักงานเกษตรจังหวัดลพบุรี,24,2566,พัฒนานิคม,ไร่
22476,สำนักงานเกษตรจังหวัดลพบุรี,25,2566,โคกสำโรง,ไร่
106606,สำนักงานเกษตรจังหวัดลพบุรี,26,2566,ชัยบาดาล,ไร่
0,สำนักงานเกษตรจังหวัดลพบุรี,27,2566,ท่าวุ้ง,ไร่
25124,สำนักงานเกษตรจังหวัดลพบุรี,28,2566,บ้านหมี่,ไร่
28145,สำนักงานเกษตรจังหวัดลพบุรี,29,2566,ท่าหลวง,ไร่
13730,สำนักงานเกษตรจังหวัดลพบุรี,30,2566,สระโบสถ์,ไร่
56290.8,สำนักงานเกษตรจังหวัดลพบุรี,31,2566,โคกเจริญ,ไร่
45196.8,สำนักงานเกษตรจังหวัดลพบุรี,32,2566,ลำสนธิ,ไร่
46423.48,สำนักงานเกษตรจังหวัดลพบุรี,33,2566,หนองม่วง,ไร่
13526,สำนักงานเกษตรจังหวัดลพบุรี,34,2567,เมืองลพบุรี,ไร่
58520,สำนักงานเกษตรจังหวัดลพบุรี,35,2567,พัฒนานิคม,ไร่
36126,สำนักงานเกษตรจังหวัดลพบุรี,36,2567,โคกสำโรง,ไร่
112520,สำนักงานเกษตรจังหวัดลพบุรี,37,2567,ชัยบาดาล,ไร่
0,สำนักงานเกษตรจังหวัดลพบุรี,38,2567,ท่าวุ้ง,ไร่
16011,สำนักงานเกษตรจังหวัดลพบุรี,39,2567,บ้านหมี่,ไร่
75804,สำนักงานเกษตรจังหวัดลพบุรี,40,2567,ท่าหลวง,ไร่
15624,สำนักงานเกษตรจังหวัดลพบุรี,41,2567,สระโบสถ์,ไร่
65232,สำนักงานเกษตรจังหวัดลพบุรี,42,2567,โคกเจริญ,ไร่
45598,สำนักงานเกษตรจังหวัดลพบุรี,43,2567,ลำสนธิ,ไร่
61236,สำนักงานเกษตรจังหวัดลพบุรี,44,2567,หนองม่วง,ไร่
22370,สำนักงานเกษตรจังหวัดลพบุรี,45,2568,เมืองลพบุรี,ไร่
59070,สำนักงานเกษตรจังหวัดลพบุรี,46,2568,พัฒนานิคม,ไร่
38805,สำนักงานเกษตรจังหวัดลพบุรี,47,2568,โคกสำโรง,ไร่
114986,สำนักงานเกษตรจังหวัดลพบุรี,48,2568,ชัยบาดาล,ไร่
15,สำนักงานเกษตรจังหวัดลพบุรี,49,2568,ท่าวุ้ง,ไร่
15863,สำนักงานเกษตรจังหวัดลพบุรี,50,2568,บ้านหมี่,ไร่
75860,สำนักงานเกษตรจังหวัดลพบุรี,51,2568,ท่าหลวง,ไร่
15654,สำนักงานเกษตรจังหวัดลพบุรี,52,2568,สระโบสถ์,ไร่
68029,สำนักงานเกษตรจังหวัดลพบุรี,53,2568,โคกเจริญ,ไร่
49603,สำนักงานเกษตรจังหวัดลพบุรี,54,2568,ลำสนธิ,ไร่
66786,สำนักงานเกษตรจังหวัดลพบุรี,55,2568,หนองม่วง,ไร่
