จำนวน,ที่มา,_id,ปี,อำเภอ,หน่วย
11441.89478,สำนักงานเกษตรจังหวัดลพบุรี,1,2564,เมืองลพบุรี,ตัน
235210.9143,สำนักงานเกษตรจังหวัดลพบุรี,2,2564,พัฒนานิคม,ตัน
106963.7464,สำนักงานเกษตรจังหวัดลพบุรี,3,2564,โคกสำโรง,ตัน
283938.8202,สำนักงานเกษตรจังหวัดลพบุรี,4,2564,ชัยบาดาล,ตัน
28,สำนักงานเกษตรจังหวัดลพบุรี,5,2564,ท่าวุ้ง,ตัน
42093.80988,สำนักงานเกษตรจังหวัดลพบุรี,6,2564,บ้านหมี่,ตัน
197383.317,สำนักงานเกษตรจังหวัดลพบุรี,7,2564,ท่าหลวง,ตัน
95691.94209,สำนักงานเกษตรจังหวัดลพบุรี,8,2564,สระโบสถ์,ตัน
143044.2542,สำนักงานเกษตรจังหวัดลพบุรี,9,2564,โคกเจริญ,ตัน
86218.6402,สำนักงานเกษตรจังหวัดลพบุรี,10,2564,ลำสนธิ,ตัน
200249.2978,สำนักงานเกษตรจังหวัดลพบุรี,11,2564,หนองม่วง,ตัน
21323.225,สำนักงานเกษตรจังหวัดลพบุรี,12,2565,เมืองลพบุรี,ตัน
222884.8658,สำนักงานเกษตรจังหวัดลพบุรี,13,2565,พัฒนานิคม,ตัน
108899.1458,สำนักงานเกษตรจังหวัดลพบุรี,14,2565,โคกสำโรง,ตัน
266391.3175,สำนักงานเกษตรจังหวัดลพบุรี,15,2565,ชัยบาดาล,ตัน
,สำนักงานเกษตรจังหวัดลพบุรี,16,2565,ท่าวุ้ง,ตัน
28067.37,สำนักงานเกษตรจังหวัดลพบุรี,17,2565,บ้านหมี่,ตัน
103987.5,สำนักงานเกษตรจังหวัดลพบุรี,18,2565,ท่าหลวง,ตัน
110805.5649,สำนักงานเกษตรจังหวัดลพบุรี,19,2565,สระโบสถ์,ตัน
106826.3502,สำนักงานเกษตรจังหวัดลพบุรี,20,2565,โคกเจริญ,ตัน
97791.01563,สำนักงานเกษตรจังหวัดลพบุรี,21,2565,ลำสนธิ,ตัน
195525.2,สำนักงานเกษตรจังหวัดลพบุรี,22,2565,หนองม่วง,ตัน
16510.3332,สำนักงานเกษตรจังหวัดลพบุรี,23,2566,เมืองลพบุรี,ตัน
246972.3236,สำนักงานเกษตรจังหวัดลพบุรี,24,2566,พัฒนานิคม,ตัน
85948.8097,สำนักงานเกษตรจังหวัดลพบุรี,25,2566,โคกสำโรง,ตัน
291245.6505,สำนักงานเกษตรจังหวัดลพบุรี,26,2566,ชัยบาดาล,ตัน
,สำนักงานเกษตรจังหวัดลพบุรี,27,2566,ท่าวุ้ง,ตัน
34987.88261,สำนักงานเกษตรจังหวัดลพบุรี,28,2566,บ้านหมี่,ตัน
168782.7923,สำนักงานเกษตรจังหวัดลพบุรี,29,2566,ท่าหลวง,ตัน
82151.21407,สำนักงานเกษตรจังหวัดลพบุรี,30,2566,สระโบสถ์,ตัน
126560.7664,สำนักงานเกษตรจังหวัดลพบุรี,31,2566,โคกเจริญ,ตัน
97537.76227,สำนักงานเกษตรจังหวัดลพบุรี,32,2566,ลำสนธิ,ตัน
148517.8246,สำนักงานเกษตรจังหวัดลพบุรี,33,2566,หนองม่วง,ตัน
54038,สำนักงานเกษตรจังหวัดลพบุรี,34,2567,เมืองลพบุรี,ตัน
43279,สำนักงานเกษตรจังหวัดลพบุรี,35,2567,พัฒนานิคม,ตัน
51006,สำนักงานเกษตรจังหวัดลพบุรี,36,2567,โคกสำโรง,ตัน
82184,สำนักงานเกษตรจังหวัดลพบุรี,37,2567,ชัยบาดาล,ตัน
0,สำนักงานเกษตรจังหวัดลพบุรี,38,2567,ท่าวุ้ง,ตัน
16597,สำนักงานเกษตรจังหวัดลพบุรี,39,2567,บ้านหมี่,ตัน
45356,สำนักงานเกษตรจังหวัดลพบุรี,40,2567,ท่าหลวง,ตัน
5691,สำนักงานเกษตรจังหวัดลพบุรี,41,2567,สระโบสถ์,ตัน
8126,สำนักงานเกษตรจังหวัดลพบุรี,42,2567,โคกเจริญ,ตัน
14209,สำนักงานเกษตรจังหวัดลพบุรี,43,2567,ลำสนธิ,ตัน
47098,สำนักงานเกษตรจังหวัดลพบุรี,44,2567,หนองม่วง,ตัน
4695.1,สำนักงานเกษตรจังหวัดลพบุรี,45,2568,เมืองลพบุรี,ตัน
188580.22,สำนักงานเกษตรจังหวัดลพบุรี,46,2568,พัฒนานิคม,ตัน
79646.918,สำนักงานเกษตรจังหวัดลพบุรี,47,2568,โคกสำโรง,ตัน
251573.81,สำนักงานเกษตรจังหวัดลพบุรี,48,2568,ชัยบาดาล,ตัน
0,สำนักงานเกษตรจังหวัดลพบุรี,49,2568,ท่าวุ้ง,ตัน
27002.496,สำนักงานเกษตรจังหวัดลพบุรี,50,2568,บ้านหมี่,ตัน
128004.25,สำนักงานเกษตรจังหวัดลพบุรี,51,2568,ท่าหลวง,ตัน
73191.36,สำนักงานเกษตรจังหวัดลพบุรี,52,2568,สระโบสถ์,ตัน
155458.38,สำนักงานเกษตรจังหวัดลพบุรี,53,2568,โคกเจริญ,ตัน
45728.865,สำนักงานเกษตรจังหวัดลพบุรี,54,2568,ลำสนธิ,ตัน
128891.146,สำนักงานเกษตรจังหวัดลพบุรี,55,2568,หนองม่วง,ตัน
