วันที่หมดอายุ,_id,ลำดับ,เลขทะเบียน,วันที่อนุมัติ,ระดับ GI,ชื่อโรงงาน
2570-03-20T00:00:00,1,1,200000125308,2567-03-21T00:00:00,2,บริษัท ราชาอูชิโน จำกัด
2570-05-28T00:00:00,2,2,200000225355,2567-05-29T00:00:00,2,บริษัท โกศล-อัมพา จำกัด
2567-12-20T00:00:00,3,3,200100125372,2564-12-21T00:00:00,2,บริษัท จิ้วฮวด จำกัด
2567-12-12T00:00:00,4,4,200000125316,2564-12-13T00:00:00,2,บริษัท แน็ชเชอรัลรับเบอร์เธร็ด จำกัด
2570-02-20T00:00:00,5,5,200400125346,2567-02-21T00:00:00,2,บริษัท โอสถ อินเตอร์ แลบบอราทอรีส์ จำกัด
2570-03-29T00:00:00,6,6,10200000125330,2567-03-30T00:00:00,2,บริษัท ไทยโคบาชิ จำกัด
2569-03-07T00:00:00,7,7,10200000125371,2566-04-07T00:00:00,2,บริษัท อ่าวไทยคลังสินค้า จำกัด
2569-10-23T00:00:00,8,8,10200000625321,2566-10-24T00:00:00,2,โรงงานคอนกรีตผสมเสร็จพานทอง
2570-04-21T00:00:00,9,9,10200000225213,2567-04-22T00:00:00,2,บริษัท น้ำปลาพิไชย จำกัด
2569-03-23T00:00:00,10,10,10200000125157,2566-03-24T00:00:00,2,บริษัท ฟู้ดแอนด์ดริ๊งส์ จำกัด (มหาชน)
2570-06-18T00:00:00,11,11,10200000125512,2567-06-19T00:00:00,2,บริษัท พี.เอส.ซี.สตาร์ช โปรดักส์ จำกัด (มหาชน)
2567-12-12T00:00:00,12,12,10200000225577,2564-12-13T00:00:00,2,บริษัท โซโนโค (ประเทศไทย) จำกัด
2568-06-30T00:00:00,13,13,10200000125454,2565-01-07T00:00:00,2,โรงงานดูดทราย บ้านบึง
2570-06-02T00:00:00,14,14,10200000225593,2567-07-02T00:00:00,2,บริษัท ซี ไอ ที ซี เอ็นเตอร์ไพร้ซ์ (ไทย) จำกัด
2567-12-20T00:00:00,15,15,10200000425227,2564-12-21T00:00:00,2,บริษัท จิ้วฮวด จำกัด
2569-03-10T00:00:00,16,16,10200000725352,2566-04-10T00:00:00,2,โรงงานคอนกรีตผสมเสร็จเทพประสิทธิ์ 2
2569-09-26T00:00:00,17,17,10200000325559,2566-09-27T00:00:00,2,บริษัท ทรี ซีซั่น ฟรุ๊ตส์ อินดัสตรี้ จำกัด
2569-09-10T00:00:00,18,18,10200000425359,2566-10-10T00:00:00,2,โรงงานคอนกรีตผสมเสร็จซีแพคแหลมฉบัง
2569-08-10T00:00:00,19,19,10200000425243,2566-09-10T00:00:00,2,โรงงานคอนกรีตผสมเสร็จพัทยา
2569-12-14T00:00:00,20,20,10200000625487,2566-12-15T00:00:00,2,บริษัท ปตท. จำกัด (มหาชน)
2570-01-29T00:00:00,21,21,10200000825525,2567-01-30T00:00:00,2,บริษัท ไพศาลสตีล จำกัด
2569-11-05T00:00:00,22,22,10200000425334,2566-12-05T00:00:00,2,บริษัท ไทยรับเบอร์โกลฟส์ จำกัด
2567-11-16T00:00:00,23,23,10200000725493,2564-11-17T00:00:00,2,บริษัท เอ.พี.รีไซเคิล อินดัสเตรียล จำกัด
2569-11-19T00:00:00,24,24,10200043525660,2566-11-20T00:00:00,2,บริษัท ธัญณ์ พลาสติก รีไซเคิล จำกัด
2569-10-18T00:00:00,25,25,10200100125263,2566-10-19T00:00:00,2,บริษัท จิ้วฮวด จำกัด
