จำนวนเงินทุน ล้านบาท,โทร,_id,ปี,ชื่อโรงงาน,ประกอบกิจการ,อันดับ,ที่อยู่
"2,952,000,000",043-981449-50,1,2566,โรงงานน้ำตาลวังขนาย ,"ทำน้ำตาลทรายดิบ น้ำตาลทรายขาว และน้ำตาลทรายขาวให้บริสุทธิ์ กำลังการผลิต 15,453 ตันอ้อยต่อวัน ",1,222 ม.9 ถ.สารคาม-โกสุมพิสัย ต.แก้งแก อ.โกสุมพิสัย
"1,480,000,000",043-748900-999,2,2566,บริษัท มหาสารคาม เบเวอเรช จำกัด ,ผลิตโซดา น้ำดื่ม น้ำอัดลม และน้ำแร่ ,2,111 ม.18 ต.นาโพธิ์ อ.กุดรัง
"764,305,000",043-770090-92,3,2566,บริษัท คาร์กิลล์สยาม จำกัด ,ผลิตแป้งมันสำปะหลังแปรรูป ,3,82/1 ม.7 ซ.บ้านฮ่องน้อย ต.กำพี้ อ.บรบือ
"489,830,296",043-7700912,4,2566,บริษัท เจริญ อินเตอร์ สตาร์ช จำกัด ,ผลิตแป้งมันสำปะหลัง  ,4,82 ม.7 ซ.บ้านฮ่องน้อย ต.กำพี้ อ.บรบือ
"298,500,000",043-023222,5,2566,บริษัท สกาย ฮอนด้า ออโตโมบิล จำกัด ,ซ่อมและเคาะ พ่นสีรถยนต์ ,5,363 ม.1 ต.ท่าสองคอน อ.เมืองมหาสารคาม
"202,700,000",043-777668,6,2566,บริษัท ขวัญข้าว อินเตอร์เทรด จำกัด ,สีข้าว กำลังผลิตเพิ่มขึ้น 500 เกวียน/วัน รวมเป็น 750 เกวียน/วัน ,6,202 ม.13 ถ.สายเลี่ยงเมือง ต.แก่งเลิงจาน อ.เมืองมหาสารคาม
"180,000,000",095-9794462,7,2566,บริษัท ยิ่งเจริญค้าข้าวสารคาม จำกัด ,สีข้าวชนิดแยกแกลยแยกรำ กำลังสีสูงสุดของร้านสีข้าว 300 เกวียน/วัน ,7,12 ม.15 ซ.บ้านเมืองเก่า ถ.พยัคฆภูมิพิสัย-นาเชือก ต.ปะหลาน อ.พยัคฆภูมิพิสัย
"178,000,000","043-752102, 086-0293441",8,2566,บริษัท เอเบิ้ล เมดิคอล จำกัด ,ผลิตยา เครื่องมือแพทย์ เครื่องสำอาง ผลิตภัณฑ์เคมี (ยาฆ่าเชื้อโรค) ,8,111 ม.9 ต.หนองซอน อ.เชียงยืน
"167,300,000",089-3915363,9,2566,บริษัท โรงสีข้าวเจริญธัญญะชาติ จำกัด ,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 500 ตัน/วัน และอบข้าวเปลือก เก็บรักษาลำเลียงในไซโลและโกดัง ,9,ม.15 ถ.ถีนานนท์ ต.โคกพระ อ.กันทรวิชัย
"145,512,020",,10,2566,บริษัท เจริญ อินเตอร์ สตาร์ช จำกัด ,บำบัดน้ำเสียรวม ,10,82 ม.7 ซ.บ้านช่องน้อย ต.กำพี้ อ.บรบือ
