_id,ลำดับ,จำนวน,ตำบล,ประกอบกิจการ,อำเภอ,ผู้ประกอบการ
1,1,1,บ้านเป็ด,ทำข้าวเกรียบ,เมืองขอนแก่น,ห้างหุ้นส่วนจำกัด ข้าวเกรียบกุ้ง เสรีพาณิชย์
2,2,1,พระลับ,ทำเส้นก๋วยเตี๋ยว,เมืองขอนแก่น,นายงามพล ศรีวรารักษ์
3,3,1,เมืองเก่า,ทำเส้นหมี่และเส้นก๋วยเตี๋ยว,เมืองขอนแก่น,ห้างหุ้นส่วนจำกัด ขอนแก่นเลี้ยงเซ้งอุตสาหกรรม
4,4,1,หนองกุง,ทำน้ำตาลทรายแดง,น้ำพอง,บริษัท วิสดอม อินดัสทรี จำกัด
5,5,1,น้ำพอง,"ทำน้ำตาลทรายดิบและน้ำตาลทรายขาว กำลังการผลิตไม่เกิน 20,400 ตันอ้อยต่อวัน",น้ำพอง,บริษัท น้ำตาลขอนแก่น จำกัด (มหาชน)
6,6,1,หนองเรือ,"ทำน้ำตาลทรายดิบ น้ำตาลทรายขาว น้ำตาลทรายขาวบริสุทธิ์ กำลังการผลิต 15,162 ตันอ้อย/วัน",หนองเรือ,บริษัท รวมเกษตรกรอุตสาหกรรม จำกัด
7,7,1,พระยืน,ผลิตน้ำจิ้มสุกี้,พระยืน,บริษัท อำนวยฟู้ด จำกัด
8,8,1,บ้านไผ่,ทำน้ำแข็ง,บ้านไผ่,นายนพดล โฆษิตวัฒนาพานิชย์
9,9,1,ในเมือง,"ทำน้ำแข็งซองเพิ่มขึ้นอีก 812 ซอง/วัน รวมเป็น 1,072 ซอง/วัน และทำน้ำแข็งก้อนเล็ก ได้ 147 ตัน/วัน",เมืองขอนแก่น,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งมิตรภาพขอนแก่น 2002
10,10,1,ในเมือง,ทำน้ำแข็งก้อนเล็ก ได้วันละ 123.4ตัน,เมืองขอนแก่น,บริษัท น้ำแข็งโคโรลิส จำกัด
11,11,1,ท่าพระ,ผลิตและจําหน่ายน้ำแข็งหลอด,เมืองขอนแก่น,บริษัท วารีเทพ ขอนแก่น จำกัด
12,12,1,หินตั้ง,ผลิตน้ำแข็งหลอดเล็ก และน้ำแข็งหลอดใหญ่,บ้านไผ่,บริษัท ธัชกร บ้านไผ่ จำกัด
13,13,1,ศิลา,ผลิตน้ำแข็งก้อนเล็ก (กำลังการผลิต 350 เมตริกตัน/วัน),เมืองขอนแก่น,บริษัท วารินทิพย์ ขอนแก่น จำกัด
14,14,1,ชุมแพ,ผลิตน้ำแข็งก้อนเล็ก (กำลังการผลิต 250เมตริกตัน/วัน),ชุมแพ,บริษัท ตะวันโต ยิ่งเจริญ พลัส จำกัด
15,15,1,หนองไผ่ล้อม,ทำน้ำแข็ง หรือ ตัด ซอย บด หรือย่อยน้ำแข็ง กำลังการผลิต 130 ตันต่อวัน,หนองสองห้อง,บริษัท กิมชุนไอซ์ หนองสองห้อง จำกัด
16,16,1,พระลับ,ผลิตน้ำแข็งก้อนเล็ก (กำลังการผลิต 250 เมตริกตัน/วัน),เมืองขอนแก่น,บริษัท พิมลพงศ์ ไอซ์ 2021 จำกัด
17,17,1,สาวะถี,ผลิตน้ำแข็งก้อนเล็ก (กำลังการผลิต 190 เมตริกตัน/วัน),เมืองขอนแก่น,นางนวรัตน์ ศรีสมุดคำ
18,18,1,เมืองเก่า,ผลิตและจำหน่ายน้ำแข็งหลอด,เมืองขอนแก่น,บริษัท ซันนี่ 10 ขอนแก่น จำกัด
19,19,1,ก้านเหลือง,ทำน้ำแข็งก้อนเล็ก,แวงน้อย,นายณรงค์ ภูหลาบ
20,20,1,หินตั้ง,ผลิตน้ำแข็งก้อนเล็ก,บ้านไผ่,บริษัท ธาราทิพย์ บ้านไผ่ จำกัด
21,21,1,บ้านโต้น,ทำน้ำแข็งก้อนเล็ก,พระยืน,ห้างหุ้นส่วนจำกัด ประสงค์ทรัพย์ ขอนแก่น
