ถนน,เลขที่,ซอย,FID,เงินทุน,แรงม้า,_id,เลขทะเบียนเดิม,ลำดับ,ชื่อโรงงาน,โทรศัพท์,ประกอบกิจการ,คนงาน,ไปรษณีย์,ตำบล,อำเภอ,จังหวัด,หมู่
ฉลองกรุง,37,ฉลองกรุง31,82030400000000,871171500,7482.62,1,น.46(1)-1/2553-นนล.,1,บริษัท ไทยเมจิฟาร์มาซิวติคัล จำกัด,,"ผลิตยาปฏิชีวนะ,ผลิตแป้งเชื้อ(Yeast)ขยายโดยเพิ่มยาปฏิชีวนะ",393,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,
ฉลองกรุง,106 นิคมฯลาดกระบัง,,82030000000000,374553000,2586.11,2,น.40(2)-1/2528-นนล.,2,บริษัท จอห์นสัน แอนด์ จอห์นสัน (ไทย) จำกัด,,ผลิตสินค้าอุปโภค เช่นผ้าอนามัย ผ้าอ้อมเด็ก แชมภู ครีมบำรุง,226,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,4
-,107,,72030000000000,0,0,3,น.53(4)-1/2530-ญนล.,3,บริษัท เหรียญทอง ลามิทิวบ์ จำกัด,,ผลิตผลิตภัณฑ์พลาสติก (หลอดลามิทิวบ์สำหรับบรรจุยาสีฟัน),0,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,
ฉลองกรุง,63 นิคมอุตสาหกรรมลาดกระบัง,,72030100000000,1240739000,9.06,4,น.47(1)-1/2525-ญนล.,4,บริษัท ยูนิลีเวอร์ ไทย โฮลดิ้งส์ จำกัด,3269069,ผลิตแชมพู น้ำยาล้างภาชนะ น้ำยาปรับผ้านุ่น,200,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,4
สุขาภิบาล 2,94/6 นิคมฯบางชัน,,72010000000000,73875000,0,5,น.72-5/2534-ญนช.,5,บริษัท จินซาน อีเลคโทรนิก อินดัสเทรียล (ไทยแลนด์) จำกัด,,ผลิตผลิตภัณฑ์อีเล็คทรอนิคส์,328,10230,คันนายาว,คันนายาว,กรุงเทพมหานคร,4
,22,สุขาภิบาล 2 ซอย 31 ,72160000000000,53000000,247.42,6,น.60-2/2540-ญอธ.,6,บริษัท ยูมิคอร์ พรีเชียส เมทัลส์ (ไทยแลนด์) จำกัด,,แยกสกัด ทองคำและเงินให้บริสุทธิ์ และผลิตทองคำผสม โลหะผสมอื่นๆ,6,10250,ดอกไม้,ประเวศ,กรุงเทพมหานคร,
ฉลองกรุง,70,ฉลองกรุง 31,72030000000000,210000000,3456.6,7,น.72-6/2538-ญนล.,7,บริษัท ไทยลามิเนต แมนูแฟคเจอเรอร์ จำกัด,,ผลิตPREPREC และLAMINATE,100,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,
ฉลองกรุง,142,ฉลองกรุง31,72030000000000,90000000,928,8,น.4(3)-1/2538-ญนล.,8,บริษัท ฟู้ดแลนด์ซุปเปอร์มาร์เก็ต จำกัด,23261134,ผลิตไส้กรอกแฮมเนื้อและปลารมควันต่างๆ,86,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,
ฉลองกรุง,366,,72030600000000,133510000,89.7,9,น.84(1)-1/2534-ญนล.,9,บริษัท แอดวานซ์ แมนูแฟคเจอเรอส์ จำกัด,02 3260985-7,-ผลิตเครื่องประดับทองคำและเงิน ประกอบและไม่ประกอบอัญมณี-,390,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,
ฉลองกรุง,38,คลองกรุง31,72030000000000,0,11491.55,10,น.12(11)-1/2535-ญนล.,10,บริษัท ยูนิลีเวอร์ ไทย โฮลดิ้งส์ จำกัด,02-1705257,ผลิตไอศครีม,0,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,
