_id,ปี,รายได้คนไทย,รายได้ทั้งหมด,รายได้ต่างชาติ,จังหวัด
1,2567,106609.7,316811.02,210201.32,ชลบุรี
2,2567,18282.91,18452.36,169.45,จันทบุรี
3,2567,12415.04,18256.43,5841.39,ตราด
4,2567,6908.08,6979.19,71.11,นครนายก
5,2567,4282.87,4416.82,133.95,ปราจีนบุรี
6,2567,20016.95,29069.55,9052.6,ระยอง
7,2567,4681.09,4834.72,153.63,สระแก้ว
8,2566,88603.71,297971.18,209367.47,ชลบุรี
9,2566,14778.58,14907.2,128.62,จันทบุรี
10,2566,11117.83,15135.26,4017.43,ตราด
11,2566,5518.1,5566.01,47.91,นครนายก
12,2566,3751.64,3776.71,25.07,ปราจีนบุรี
13,2566,18911.77,23730.89,4819.12,ระยอง
14,2566,4249.06,4675.02,425.96,สระแก้ว
15,2565,74199.54,99470.56,25271.02,ชลบุรี
16,2565,4553.2,4574.22,21.02,จันทบุรี
17,2565,8510.48,8804.47,293.99,ตราด
18,2565,3426.38,3431.87,5.49,นครนายก
19,2565,2786.47,2795.85,9.38,ปราจีนบุรี
20,2565,9365.89,9681.36,315.47,ระยอง
21,2565,3548.46,3568.83,20.37,สระแก้ว
22,2564,11658.28,11928.47,270.19,ชลบุรี
23,2564,2042.68,2045.67,2.99,จันทบุรี
24,2564,3518.13,3601.58,83.45,ตราด
25,2564,1200.05,1200.43,0.38,นครนายก
26,2564,1140.19,1140.76,0.57,ปราจีนบุรี
27,2564,3900.21,3924.13,23.92,ระยอง
28,2564,849.05,852.91,3.86,สระแก้ว
29,2563,27988.92,62499.43,34510.51,ชลบุรี
30,2563,4319.98,4410.67,90.69,จันทบุรี
31,2563,5849.84,8125.76,2275.92,ตราด
32,2563,4049.11,4064.63,15.52,นครนายก
33,2563,2504.56,2566.97,62.41,ปราจีนบุรี
34,2563,11757.32,12563.29,805.97,ระยอง
35,2563,2901.85,3007.78,105.93,สระแก้ว
36,2562,55499.48,276328.34,220828.86,ชลบุรี
37,2562,8171.84,8713.84,542,จันทบุรี
38,2562,11511.72,19713.73,8202.01,ตราด
39,2562,7556.32,7658.97,102.65,นครนายก
40,2562,4807.24,5299.25,492.01,ปราจีนบุรี
41,2562,32004.44,37081.19,5076.75,ระยอง
42,2562,6042.43,6761.14,718.71,สระแก้ว
43,2561,53734.41,264543.05,210808.64,ชลบุรี
44,2561,7984.6,8520.18,535.58,จันทบุรี
45,2561,11311.57,19295.58,7984.01,ตราด
46,2561,7356.86,7461.55,104.69,นครนายก
47,2561,4584.33,5058.21,473.88,ปราจีนบุรี
48,2561,31807.5,36858.05,5050.55,ระยอง
49,2561,6121.91,6833.06,711.15,สระแก้ว
