_id,ปี,ประเภทแรงงาน,Value
1,2560,กำลังแรงงานรวม,"1,019,822"
2,2560,แรงงานในระบบ,"697,517"
3,2560,แรงงานนอกระบบ,"322,305"
4,2560,ผู้ว่างงาน,"7,324"
5,2560,อัตราการว่างงาน,1
6,2561,กำลังแรงงานรวม,"1,045,522"
7,2561,แรงงานในระบบ,"717,704"
8,2561,แรงงานนอกระบบ,"327,818"
9,2561,ผู้ว่างงาน,"6,716"
10,2561,อัตราการว่างงาน,1
11,2562,กำลังแรงงานรวม,"1,042,923"
12,2562,แรงงานในระบบ,"723,336"
13,2562,แรงงานนอกระบบ,"319,587"
14,2562,ผู้ว่างงาน,"3,467"
15,2562,อัตราการว่างงาน,0
16,2563,กำลังแรงงานรวม,"1,019,514"
17,2563,แรงงานในระบบ,"686,305"
18,2563,แรงงานนอกระบบ,"333,209"
19,2563,ผู้ว่างงาน,"12,303"
20,2563,อัตราการว่างงาน,1
21,2564,กำลังแรงงานรวม,"1,059,518"
22,2564,แรงงานในระบบ,"770,499"
23,2564,แรงงานนอกระบบ,"289,019"
24,2564,ผู้ว่างงาน,"15,616"
25,2564,อัตราการว่างงาน,1
26,2565,กำลังแรงงานรวม,"1,098,136"
27,2565,แรงงานในระบบ,"809,461"
28,2565,แรงงานนอกระบบ,"288,675"
29,2565,ผู้ว่างงาน,"20,462"
30,2565,อัตราการว่างงาน,2
31,2566,กำลังแรงงานรวม,"1,187,709"
32,2566,แรงงานในระบบ,"860,667"
33,2566,แรงงานนอกระบบ,"327,042"
34,2566,ผู้ว่างงาน,"7,705"
35,2566,อัตราการว่างงาน,0.6
36,2567,กำลังแรงงานรวม,"1,207,298"
37,2567,แรงงานในระบบ,"844,823"
38,2567,แรงงานนอกระบบ,"362,475"
39,2567,ผู้ว่างงาน,6678
40,2567,อัตราการว่างงาน,0.6
