เดือน,_id,ปี,อัตราส่วน
ม.ค.,1,2567,1.12
ก.พ.,2,2567,0.95
มี.ค.,3,2567,1.18
เม.ย.,4,2567,1.64
พ.ค.,5,2567,1.72
มิ.ย.,6,2567,1.54
ก.ค.,7,2567,1.4
ส.ค.,8,2567,1.19
ก.ย.,9,2567,1.31
ต.ค.,10,2567,1.62
พ.ย.,11,2567,1.7
ธ.ค.,12,2567,1.75
ม.ค.,13,2566,1.86
ก.พ.,14,2566,1.46
มี.ค.,15,2566,1.36
เม.ย.,16,2566,1.42
พ.ค.,17,2566,1.55
มิ.ย.,18,2566,1.47
ก.ค.,19,2566,0.87
ส.ค.,20,2566,1.04
ก.ย.,21,2566,1.56
ต.ค.,22,2566,1.56
พ.ย.,23,2566,1.67
ธ.ค.,24,2566,1.67
ม.ค.,25,2565,14.43
ก.พ.,26,2565,18.18
มี.ค.,27,2565,27.22
เม.ย.,28,2565,27.47
พ.ค.,29,2565,16.96
มิ.ย.,30,2565,10.79
ก.ค.,31,2565,8.48
ส.ค.,32,2565,6.75
ก.ย.,33,2565,6.47
ต.ค.,34,2565,4.87
พ.ย.,35,2565,3.57
ธ.ค.,36,2565,3.28
ม.ค.,37,2564,17.39
ก.พ.,38,2564,58.24
มี.ค.,39,2564,114.02
เม.ย.,40,2564,149.09
พ.ค.,41,2564,41.23
มิ.ย.,42,2564,56.4
ก.ค.,43,2564,56.89
ส.ค.,44,2564,51.64
ก.ย.,45,2564,146.81
ต.ค.,46,2564,251.65
พ.ย.,47,2564,110.19
ธ.ค.,48,2564,86.27
ม.ค.,49,2563,0.64
ก.พ.,50,2563,1.07
มี.ค.,51,2563,4.76
เม.ย.,52,2563,0
พ.ค.,53,2563,0.8
มิ.ย.,54,2563,11.37
ก.ค.,55,2563,35.57
ส.ค.,56,2563,54.17
ก.ย.,57,2563,52.78
ต.ค.,58,2563,60.15
พ.ย.,59,2563,56.38
ธ.ค.,60,2563,115.4
