province,No.,item,vale,_id,type,year,unit,sourse
จังหวัดสิงห์บุรี,1,มูลค่าการตลาดจากสินค้าเกษตรที่สำคัญ," 2,117,870,400 ",1,ข้าว,2565,บาท,สำนักงานเกษตรและสหกรณ์จังหวัดสิงห์บุรี
จังหวัดสิงห์บุรี,2,มูลค่าการตลาดจากสินค้าเกษตรที่สำคัญ," 377,152,263 ",2,อ้อยโรงงาน,2565,บาท,สำนักงานเกษตรและสหกรณ์จังหวัดสิงห์บุรี
จังหวัดสิงห์บุรี,3,มูลค่าการตลาดจากสินค้าเกษตรที่สำคัญ," 6,750,000 ",3,ปลาดุก,2565,บาท,สำนักงานเกษตรและสหกรณ์จังหวัดสิงห์บุรี
จังหวัดสิงห์บุรี,4,มูลค่าการตลาดจากสินค้าเกษตรที่สำคัญ," 2,000,000 ",4,ปลาช่อน,2565,บาท,สำนักงานเกษตรและสหกรณ์จังหวัดสิงห์บุรี
จังหวัดสิงห์บุรี,5,มูลค่าการตลาดจากสินค้าเกษตรที่สำคัญ," 73,437,840 ",5,แพะ,2565,บาท,สำนักงานเกษตรและสหกรณ์จังหวัดสิงห์บุรี
จังหวัดสิงห์บุรี,6,มูลค่าการตลาดจากสินค้าเกษตรที่สำคัญ," 756,891,029 ",6,ไก่เนื้อ,2565,บาท,สำนักงานเกษตรและสหกรณ์จังหวัดสิงห์บุรี
จังหวัดสิงห์บุรี,1,มูลค่าการตลาดจากสินค้าเกษตรที่สำคัญ," 4,639,834,039 ",7,ข้าว,2566,บาท,สำนักงานเกษตรและสหกรณ์จังหวัดสิงห์บุรี
จังหวัดสิงห์บุรี,2,มูลค่าการตลาดจากสินค้าเกษตรที่สำคัญ," 422,474,187 ",8,อ้อยโรงงาน,2566,บาท,สำนักงานเกษตรและสหกรณ์จังหวัดสิงห์บุรี
จังหวัดสิงห์บุรี,3,มูลค่าการตลาดจากสินค้าเกษตรที่สำคัญ," 18,000,000 ",9,ปลาดุก,2566,บาท,สำนักงานเกษตรและสหกรณ์จังหวัดสิงห์บุรี
จังหวัดสิงห์บุรี,4,มูลค่าการตลาดจากสินค้าเกษตรที่สำคัญ," 1,280,000 ",10,ปลาช่อน,2566,บาท,สำนักงานเกษตรและสหกรณ์จังหวัดสิงห์บุรี
จังหวัดสิงห์บุรี,5,มูลค่าการตลาดจากสินค้าเกษตรที่สำคัญ," 44,725,800 ",11,แพะ,2566,บาท,สำนักงานเกษตรและสหกรณ์จังหวัดสิงห์บุรี
จังหวัดสิงห์บุรี,6,มูลค่าการตลาดจากสินค้าเกษตรที่สำคัญ," 958,711,250 ",12,ไก่เนื้อ,2566,บาท,สำนักงานเกษตรและสหกรณ์จังหวัดสิงห์บุรี
จังหวัดสิงห์บุรี,1,มูลค่าการตลาดจากสินค้าเกษตรที่สำคัญ," 3,659,535,000 ",13,ข้าว,2567,บาท,สำนักงานเกษตรและสหกรณ์จังหวัดสิงห์บุรี
จังหวัดสิงห์บุรี,2,มูลค่าการตลาดจากสินค้าเกษตรที่สำคัญ," 427,238,800 ",14,อ้อยโรงงาน,2567,บาท,สำนักงานเกษตรและสหกรณ์จังหวัดสิงห์บุรี
จังหวัดสิงห์บุรี,3,มูลค่าการตลาดจากสินค้าเกษตรที่สำคัญ," 18,000,000 ",15,ปลาดุก,2567,บาท,สำนักงานเกษตรและสหกรณ์จังหวัดสิงห์บุรี
จังหวัดสิงห์บุรี,4,มูลค่าการตลาดจากสินค้าเกษตรที่สำคัญ," 1,280,000 ",16,ปลาช่อน,2567,บาท,สำนักงานเกษตรและสหกรณ์จังหวัดสิงห์บุรี
จังหวัดสิงห์บุรี,5,มูลค่าการตลาดจากสินค้าเกษตรที่สำคัญ," 38,472,284 ",17,แพะ,2567,บาท,สำนักงานเกษตรและสหกรณ์จังหวัดสิงห์บุรี
จังหวัดสิงห์บุรี,6,มูลค่าการตลาดจากสินค้าเกษตรที่สำคัญ," 920,657,700 ",18,ไก่เนื้อ,2567,บาท,สำนักงานเกษตรและสหกรณ์จังหวัดสิงห์บุรี
จังหวัดสิงห์บุรี,1,มูลค่าการตลาดจากสินค้าเกษตรที่สำคัญ," 2,779,888,803 ",19,ข้าว,2568,บาท,สำนักงานเกษตรและสหกรณ์จังหวัดสิงห์บุรี
จังหวัดสิงห์บุรี,2,มูลค่าการตลาดจากสินค้าเกษตรที่สำคัญ," 100,393,780 ",20,อ้อยโรงงาน,2568,บาท,สำนักงานเกษตรและสหกรณ์จังหวัดสิงห์บุรี
จังหวัดสิงห์บุรี,3,มูลค่าการตลาดจากสินค้าเกษตรที่สำคัญ," 18,000,000 ",21,ปลาดุก,2568,บาท,สำนักงานเกษตรและสหกรณ์จังหวัดสิงห์บุรี
จังหวัดสิงห์บุรี,4,มูลค่าการตลาดจากสินค้าเกษตรที่สำคัญ," 1,280,000 ",22,ปลาช่อน,2568,บาท,สำนักงานเกษตรและสหกรณ์จังหวัดสิงห์บุรี
จังหวัดสิงห์บุรี,5,มูลค่าการตลาดจากสินค้าเกษตรที่สำคัญ, -   ,23,แพะ,2568,บาท,สำนักงานเกษตรและสหกรณ์จังหวัดสิงห์บุรี
จังหวัดสิงห์บุรี,6,มูลค่าการตลาดจากสินค้าเกษตรที่สำคัญ," 846,055,353 ",24,ไก่เนื้อ,2568,บาท,สำนักงานเกษตรและสหกรณ์จังหวัดสิงห์บุรี
