พื้นที่เก็บเกี่ยว,ราคาหน้าฟาร์ม,หน่วย(บาท_ตัน),ครัวเรือนเกษตรกร,หน่วย(บาท),ปริมาณผลผลิต,_id,ปี,หน่วย(ไร่),หน่วย(ตัน),อำเภอ,มูลค่า,พืชเศรษฐกิจ,หน่วย(ครัวเรือน)
9058,6230,บาท_ตัน,600,ล้านบาท,7156,1,2568,ไร่,ตัน,เมืองนครปฐม,44.58,ข้าว,ครัวเรือน
22536,1200,บาท_ตัน,712,ล้านบาท,305588,2,2568,ไร่,ตัน,เมืองนครปฐม,366.71,อ้อยโรงงาน,ครัวเรือน
52,65690,บาท_ตัน,20,ล้านบาท,123,3,2568,ไร่,ตัน,เมืองนครปฐม,8.08,ส้มโอ,ครัวเรือน
612.75,18420,บาท_ตัน,144,ล้านบาท,2941.2,4,2568,ไร่,ตัน,เมืองนครปฐม,54.18,ฝรั่ง,ครัวเรือน
1871,10250,บาท_ตัน,313,ล้านบาท,5257.71,5,2568,ไร่,ตัน,เมืองนครปฐม,53.89,มะพร้าวอ่อน,ครัวเรือน
1574,16430,บาท_ตัน,150,ล้านบาท,2526.32,6,2568,ไร่,ตัน,เมืองนครปฐม,41.51,คะน้า,ครัวเรือน
1066.75,45200,บาท_ตัน,45,ล้านบาท,1493.45,7,2568,ไร่,ตัน,เมืองนครปฐม,6.75,กล้วยไม้ตัดดอก,ครัวเรือน
39,20000,บาท_ตัน,15,ล้านบาท,97.5,8,2568,ไร่,ตัน,เมืองนครปฐม,1.95,ขมิ้นชัน,ครัวเรือน
0,0,บาท_ตัน,0,ล้านบาท,0,9,2568,ไร่,ตัน,เมืองนครปฐม,0,บัวบก,ครัวเรือน
22378,6790,บาท_ตัน,1944,ล้านบาท,17902,10,2568,ไร่,ตัน,กำแพงแสน,121.55,ข้าว,ครัวเรือน
102630,1380,บาท_ตัน,2161,ล้านบาท,1299296,11,2568,ไร่,ตัน,กำแพงแสน,1793.03,อ้อยโรงงาน,ครัวเรือน
22.5,64460,บาท_ตัน,21,ล้านบาท,29,12,2568,ไร่,ตัน,กำแพงแสน,1.87,ส้มโอ,ครัวเรือน
