จำนวน,ภาค,_id,ปี,แหล่งที่มา,หมายเหตุ,รายการ,จังหวัด,หน่วย
292533,ตะวันออกเฉียงเหนือ,1,2563.0,สำนักงานเศรษฐกิจการเกษตร,สถิติการเกษตรของประเทศไทย ปี 2566,เนื้อที่เก็บเกี่ยว,หนองบัวลำภู,ไร่
262260,ตะวันออกเฉียงเหนือ,2,2564.0,สำนักงานเศรษฐกิจการเกษตร,สถิติการเกษตรของประเทศไทย ปี 2566,เนื้อที่เก็บเกี่ยว,หนองบัวลำภู,ไร่
297824,ตะวันออกเฉียงเหนือ,3,2565.0,สำนักงานเศรษฐกิจการเกษตร,สถิติการเกษตรของประเทศไทย ปี 2566,เนื้อที่เก็บเกี่ยว,หนองบัวลำภู,ไร่
294381,ตะวันออกเฉียงเหนือ,4,2566.0,สำนักงานเศรษฐกิจการเกษตร,สถิติการเกษตรของประเทศไทย ปี 2566,เนื้อที่เก็บเกี่ยว,หนองบัวลำภู,ไร่
300275,ตะวันออกเฉียงเหนือ,5,2567f,สำนักงานเศรษฐกิจการเกษตร,สถิติการเกษตรของประเทศไทย ปี 2566,เนื้อที่เก็บเกี่ยว,หนองบัวลำภู,ไร่
2318236,ตะวันออกเฉียงเหนือ,6,2563.0,สำนักงานเศรษฐกิจการเกษตร,สถิติการเกษตรของประเทศไทย ปี 2566,ผลผลิต,หนองบัวลำภู,ตัน
2229036,ตะวันออกเฉียงเหนือ,7,2564.0,สำนักงานเศรษฐกิจการเกษตร,สถิติการเกษตรของประเทศไทย ปี 2566,ผลผลิต,หนองบัวลำภู,ตัน
3249260,ตะวันออกเฉียงเหนือ,8,2565.0,สำนักงานเศรษฐกิจการเกษตร,สถิติการเกษตรของประเทศไทย ปี 2566,ผลผลิต,หนองบัวลำภู,ตัน
3179320,ตะวันออกเฉียงเหนือ,9,2566.0,สำนักงานเศรษฐกิจการเกษตร,สถิติการเกษตรของประเทศไทย ปี 2566,ผลผลิต,หนองบัวลำภู,ตัน
3002746,ตะวันออกเฉียงเหนือ,10,2567f,สำนักงานเศรษฐกิจการเกษตร,สถิติการเกษตรของประเทศไทย ปี 2566,ผลผลิต,หนองบัวลำภู,ตัน
7925,ตะวันออกเฉียงเหนือ,11,2563.0,สำนักงานเศรษฐกิจการเกษตร,สถิติการเกษตรของประเทศไทย ปี 2566,ผลผลิตต่อไร่,หนองบัวลำภู,กิโลกรัม ต่อ ไร่
8499,ตะวันออกเฉียงเหนือ,12,2564.0,สำนักงานเศรษฐกิจการเกษตร,สถิติการเกษตรของประเทศไทย ปี 2566,ผลผลิตต่อไร่,หนองบัวลำภู,กิโลกรัม ต่อ ไร่
10910,ตะวันออกเฉียงเหนือ,13,2565.0,สำนักงานเศรษฐกิจการเกษตร,สถิติการเกษตรของประเทศไทย ปี 2566,ผลผลิตต่อไร่,หนองบัวลำภู,กิโลกรัม ต่อ ไร่
10800,ตะวันออกเฉียงเหนือ,14,2566.0,สำนักงานเศรษฐกิจการเกษตร,สถิติการเกษตรของประเทศไทย ปี 2566,ผลผลิตต่อไร่,หนองบัวลำภู,กิโลกรัม ต่อ ไร่
10000,ตะวันออกเฉียงเหนือ,15,2567f,สำนักงานเศรษฐกิจการเกษตร,สถิติการเกษตรของประเทศไทย ปี 2566,ผลผลิตต่อไร่,หนองบัวลำภู,กิโลกรัม ต่อ ไร่
