อุตสาหกรรมไม้,_id,ปี,ตำบล
123,1,2564,พระนครศรีอยุธยา
84,2,2564,บางบาล
56,3,2564,นครหลวง
73,4,2564,บางปะหัน
55,5,2564,บางปะอิน
38,6,2564,เสนา
25,7,2564,ลาดบัวหลวง
28,8,2564,บางไทร
18,9,2564,วังน้อย
19,10,2564,มหาราช
17,11,2564,ผักไห่
19,12,2564,ท่าเรือ
16,13,2564,บางซ้าย
15,14,2564,ภาชี
17,15,2564,อุทัย
3,16,2564,บ้านแพรก
120,17,2565,พระนครศรีอยุธยา
80,18,2565,บางบาล
52,19,2565,นครหลวง
68,20,2565,บางปะหัน
53,21,2565,บางปะอิน
34,22,2565,เสนา
25,23,2565,ลาดบัวหลวง
27,24,2565,บางไทร
22,25,2565,วังน้อย
11,26,2565,มหาราช
15,27,2565,ผักไห่
19,28,2565,ท่าเรือ
16,29,2565,บางซ้าย
15,30,2565,ภาชี
14,31,2565,อุทัย
3,32,2565,บ้านแพรก
93,33,2566,พระนครศรีอยุธยา
43,34,2566,บางบาล
24,35,2566,นครหลวง
51,36,2566,บางปะหัน
40,37,2566,บางปะอิน
26,38,2566,เสนา
20,39,2566,ลาดบัวหลวง
20,40,2566,บางไทร
19,41,2566,วังน้อย
11,42,2566,มหาราช
13,43,2566,ผักไห่
16,44,2566,ท่าเรือ
16,45,2566,บางซ้าย
11,46,2566,ภาชี
10,47,2566,อุทัย
3,48,2566,บ้านแพรก
118,49,2567,พระนครศรีอยุธยา
73,50,2567,บางบาล
49,51,2567,นครหลวง
62,52,2567,บางปะหัน
45,53,2567,บางปะอิน
31,54,2567,เสนา
25,55,2567,ลาดบัวหลวง
25,56,2567,บางไทร
22,57,2567,วังน้อย
11,58,2567,มหาราช
13,59,2567,ผักไห่
16,60,2567,ท่าเรือ
16,61,2567,บางซ้าย
11,62,2567,ภาชี
14,63,2567,อุทัย
3,64,2567,บ้านแพรก
205,65,2568,พระนครศรีอยุธยา
144,66,2568,บางบาล
36,67,2568,นครหลวง
112,68,2568,บางปะหัน
70,69,2568,บางปะอิน
58,70,2568,เสนา
46,71,2568,ลาดบัวหลวง
50,72,2568,บางไทร
44,73,2568,วังน้อย
22,74,2568,มหาราช
20,75,2568,ผักไห่
30,76,2568,ท่าเรือ
28,77,2568,บางซ้าย
22,78,2568,ภาชี
10,79,2568,อุทัย
6,80,2568,บ้านแพรก
