จำนวน,ที่มา,_id,ปี,อำเภอ,จังหวัด,หน่วย
895,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,1,2565,เมืองสมุทรปราการ,สมุมทรปรากร,แห่ง
199,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,2,2565,บางบ่อ,สมุมทรปรากร,แห่ง
"1,129",สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,3,2565,บางพลี,สมุมทรปรากร,แห่ง
615,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,4,2565,พระประแดง,สมุมทรปรากร,แห่ง
422,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,5,2565,พระสมุทรเจดีย์,สมุมทรปรากร,แห่ง
470,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,6,2565,บางเสาธง,สมุมทรปรากร,แห่ง
"3,730",สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,7,2565,รวมยอด,สมุมทรปรากร,แห่ง
"1,179",สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,8,2566,เมืองสมุทรปราการ,สมุมทรปรากร,แห่ง
242,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,9,2566,บางบ่อ,สมุมทรปรากร,แห่ง
"1,407",สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,10,2566,บางพลี,สมุมทรปรากร,แห่ง
770,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,11,2566,พระประแดง,สมุมทรปรากร,แห่ง
524,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,12,2566,พระสมุทรเจดีย์,สมุมทรปรากร,แห่ง
601,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,13,2566,บางเสาธง,สมุมทรปรากร,แห่ง
"4,723",สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,14,2566,รวมยอด,สมุมทรปรากร,แห่ง
"2,062",สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,15,2567,เมืองสมุทรปราการ,สมุมทรปรากร,แห่ง
400,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,16,2567,บางบ่อ,สมุมทรปรากร,แห่ง
"1,987",สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,17,2567,บางพลี,สมุมทรปรากร,แห่ง
939,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,18,2567,พระประแดง,สมุมทรปรากร,แห่ง
686,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,19,2567,พระสมุทรเจดีย์,สมุมทรปรากร,แห่ง
951,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,20,2567,บางเสาธง,สมุมทรปรากร,แห่ง
"7,025",สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,21,2567,รวมยอด,สมุมทรปรากร,แห่ง
"2,186",สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,22,2568,เมืองสมุทรปราการ,สมุมทรปรากร,แห่ง
471,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,23,2568,บางบ่อ,สมุมทรปรากร,แห่ง
"2,075",สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,24,2568,บางพลี,สมุมทรปรากร,แห่ง
943,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,25,2568,พระประแดง,สมุมทรปรากร,แห่ง
706,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,26,2568,พระสมุทรเจดีย์,สมุมทรปรากร,แห่ง
903,สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,27,2568,บางเสาธง,สมุมทรปรากร,แห่ง
"7,284",สำนักงานอุตสาหกรรมจังหวัดสมุทรปราการ,28,2568,รวมยอด,สมุมทรปรากร,แห่ง
