_id,ชื่อโรงงาน,โทรศัพท์,ประกอบกิจการ,ปีที่ได้รับอนุญาต,ตำบล,อำเภอ,ที่อยู่,จังหวัด,TSIC,รหัสประเภท
1,บริษัท สหเรือง จำกัด,0 4261 1280,ผลิตน้ำตาลทรายดิบและน้ำตาลทรายขาว กำลังผลิต 5992 ตันอ้อย/วัน,2536,บางทรายใหญ่,เมืองมุกดาหาร,เลขที่ 76 หมู่ 8,มุกดาหาร,10721,1103
2,พาวเวอร์พี แอนด์รีไซเคิล,,ทำถุงพลาสติก,2536,คำอาฮวน,เมืองมุกดาหาร,เลขที่ 152 หมู่ 2 บ้านเหมืองบ่า ถนนชยางกูร,มุกดาหาร,22220,5304
3,สนิทภัณฑ์อุตสาหกรรมห้องเย็น,,โรงงานห้องเย็น,2536,มุกดาหาร,เมืองมุกดาหาร,เลขที่ 2/2 ถนนประคองพันธ์,มุกดาหาร,52101,9200
4,ห้างหุ้นส่วนจำกัด โรงสีกิมเจ็กซินมุกดาหาร,06 11595,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 25 เกวียน/วัน,2536,มุกดาหาร,เมืองมุกดาหาร,เลขที่ 36/1,มุกดาหาร,10611,901
5,โรงกลึงเทคนิคยนต์,06 11325,กลึง เชื่อมโลหะ และซ่อมเครื่องยนต์,2536,มุกดาหาร,เมืองมุกดาหาร,เลขที่ 10 หมู่ 12,มุกดาหาร,25922,6413
6,ห้างหุ้นส่วนจำกัด ภาคอีสาณอุบล (ตังปัก) สาขามุกดาหาร,0 4261 1038,การซ่อมแซมยานที่ขับเคลื่อนด้วยเครื่องยนต์หรือส่วนประกอบของยานดังกล่าว,2537,มุกดาหาร,เมืองมุกดาหาร,เลขที่ 66/1 ถนนชยางกูร ข,มุกดาหาร,33121,9501
7,โรงน้ำแข็งเกียรติมุกดา,04 261 1723,ผลิตน้ำแข็งก้อนเล็ก,2537,มุกดาหาร,เมืองมุกดาหาร,เลขที่ 88,มุกดาหาร,10795,1400
8,บริษัท มุกดาธัญญทิพย์ จำกัด,042-611868,สีข้าว (รวมกำลังสีสูงสุดของร้านสีข้าวได้ 210 เกวียนต่อวัน เท่าสิทธิเดิม) และอบข้าวเปลือก,2538,มุกดาหาร,เมืองมุกดาหาร,เลขที่ 237,มุกดาหาร,10611,901
9,บริษัท ริมโขง คอนกรีต จำกัด,01 954 0582,"ผลิตคอนกรีตผสมเสร็จ,ซีเมนต์บล๊อก และผลิตภัณฑ์จากคอนกรีตอื่นๆ",2539,บางทรายใหญ่,เมืองมุกดาหาร,เลขที่ 189 หมู่ 3 บ้านดอนม่วย ถนนชยางกูร-ข (กม.ที่ 172),มุกดาหาร,23953,5801
10,บริษัท สยามนิสสันมุกดาหาร จำกัด,,"ซ่อมเครื่องยนต์,รถยนต์ และซ่อมสีรถยนต์",2539,มุกดาหาร,เมืองมุกดาหาร,เลขที่ 115/1 หมู่ 18 ถนนชยางกูร,มุกดาหาร,33121,9501
11,สหกิจคาร์แคร์,0 4261 2461,ซ่อมรถยนต์-เคาะพ่นสีรถยนต์,2539,มุกดาหาร,เมืองมุกดาหาร,เลขที่ 55 ถนนชยางกูร ข,มุกดาหาร,33121,9503
12,มุกดาหารคว้านเจียร์,,ซ่อมแซมส่วนประกอบหรืออุปกรณ์ของเครื่องยนต์และเครื่องยนต์,2541,มุกดาหาร,เมืองมุกดาหาร,เลขที่ 14/4 ถนนชยางกูร ก.,มุกดาหาร,28110,6500
13,บริษัท ชัยวัฒนาธร จำกัด,0 4261 1161,ซอยไม้แปรรูป,2542,มุกดาหาร,เมืองมุกดาหาร,เลขที่ 110 ถนนสองนางสถิตย์,มุกดาหาร,16101,3401
14,ห้างหุ้นส่วนจำกัด ซี เอ็ม เค เอ็นจิเนียริ่ง กรุ๊ป,,ผลิตผลิตภัณฑ์คอนกรีต เช่น เสา คานสำเร็จรูป แผ่นพื้นสำเร็จรูป ท่อ และท่อคอนกรีตอัดแรง ฯลฯ,2543,ศรีบุญเรือง,เมืองมุกดาหาร,เลขที่ 140 ถนนมุกดาหาร-คอนตาล,มุกดาหาร,23953,5801
15,ห้างหุ้นส่วนจำกัด ชื่นชนก,0 4261 4555,ผลิตน้ำแข็งก้อนเล็ก ได้วันละ 37 ตัน,2545,บางทรายใหญ่,เมืองมุกดาหาร,เลขที่ 91 หมู่ 7 บ้านคำผักหนอก ถนนชยางกูร-ข,มุกดาหาร,10795,1400
16,โรงงานคอนกรีตผสมเสร็จมุกดาหาร,,ผลิตคอนกรีตผสมเสร็จ,2545,บางทรายใหญ่,เมืองมุกดาหาร,เลขที่ 107/4 หมู่ 4 ถนนชยางกูร,มุกดาหาร,23953,5801
17,ห้างหุ้นส่วนจำกัด ป.มุกดาหาร,,ต่อเรือและซ่อมเรือ,2545,บางทรายใหญ่,เมืองมุกดาหาร,เลขที่ 70 หมู่ 9 บ้านสงเปลือย ถนนสำราญชายโขงเหนือ,มุกดาหาร,33151,7501
18,สุริยาการค้า,,สีข้าว ชนิดแยกแกลบแยกรำกำลังสูงสุด 15 เกวียน/วัน,2546,น้ำเที่ยง,คำชะอี,เลขที่ 57 หมู่ 8 บ้านหนองเอียนดง,มุกดาหาร,10611,901
19,ไทยปราณี,09 0273 4420,สีข้าวชนิดแยกแกลบแยกรำ ,2546,บ้านเป้า,หนองสูง,เลขที่ 97 หมู่ 2,มุกดาหาร,10611,901
20,ห้างหุ้นส่วนจำกัด วิบูลย์เอ็นจิเนียริ่ง,,ผลิตคอนกรีตผสมเสร็จ,2547,มุกดาหาร,เมืองมุกดาหาร,เลขที่ 72/7 ถนนตาดแคน,มุกดาหาร,23953,5801
21,อู่ทศพลเซอร์วิส,0 4261 3250,ซ่อมรถยนต์ เครื่องยนต์,2547,มุกดาหาร,เมืองมุกดาหาร,เลขที่ 17/2 ถนนพลธิราชเมืองใหม่,มุกดาหาร,33121,9501
22,,0 4261 5403,ซ่อมรถยนต์และเคาะพ่นสีรถยนต์,2547,มุกดาหาร,เมืองมุกดาหาร,เลขที่ 69/19,มุกดาหาร,33121,9501
23,ห้างหุ้นส่วนจำกัด ประทุมมาประดิษฐกรรมเฟอร์นิเจอร์,,ผลิตและจำหน่ายวงกบ ประตู หน้าต่าง,2548,นาสีนวน,เมืองมุกดาหาร,เลขที่ 86 ถนนมุกดาหาร-ดอตตาล,มุกดาหาร,16220,3402
24,อู่ต่อเรือศรีเผย,,ต่อเรือและซ่อมเรือ,2548,บางทรายใหญ่,เมืองมุกดาหาร,เลขที่ 38 หมู่ 2 ถนนสำราญชายโขงเหนือ,มุกดาหาร,33151,7501
25,ห้างหุ้นส่วนจำกัดชัยมงคลมุกดาหาร,,ผสมผลิตภัณฑ์จากปิโตรเลี่ยมกับหินเพื่อใช้ในงานก่อสร้างผิวถนน,2549,ศรีบุญเรือง,เมืองมุกดาหาร,เลขที่ 140 ถนนมุกดาหาร-ดอนตาล,มุกดาหาร,19209,5004
26,โรงฆ่าสัตว์สหกรณ์การเกษตรหนองสูง จำกัด,0 4267 4698-9,ฆ่าและชำแหละโคขุน,2550,หนองสูงเหนือ,หนองสูง,เลขที่ 68 หมู่ 6,มุกดาหาร,10111,401
27,บริษัท พรีเมียร์ควอลิตี้สตาร์ช จำกัด (มหาชน),0 4264 3818,ผลิตแป้งมันสำปะหลัง,2550,คำป่าหลาย,เมืองมุกดาหาร,เลขที่ 185 หมู่ 14 ถนน รพช.สามขา-นาสองห้อง,มุกดาหาร,10612,902
28,บริษัท โตโยต้ามุกดาหาร(1993) ผู้จำหน่ายโตโยต้า จำกัด,,ซ่อมและพ่นสีรถยนต์,2550,มุกดาหาร,เมืองมุกดาหาร,เลขที่ 99/3 ถนนชยางกูร ข,มุกดาหาร,33121,9501
29,บริษัท พรีเมียร์ควอลิตี้สตาร์ช จำกัด (มหาชน),0 42643 818,ทำมันเส้น,2551,คำป่าหลาย,เมืองมุกดาหาร,เลขที่ 185 หมู่ 14 ถนน รพช. สามขา-นาสองห้อง,มุกดาหาร,10621,906
30,วงษ์พาณิชย์,,อัดเศษกระดาษ อัดเศษโลหะ และอัดเศษพลาสติก,2552,มุกดาหาร,เมืองมุกดาหาร,เลขที่ 99/5 ถนนชยางกูร ข,มุกดาหาร,25999,6411
31,บริษัท ดงหลวง ควอลลิตี้ สตาร์ช จำกัด,,ทำแป้งมันสำปะหลัง (กำลังการผลิตสูงสุด 50 ตันแป้ง/วัน),2553,หนองแคน,ดงหลวง,เลขที่ 269 หมู่ 4,มุกดาหาร,10622,902
32,ห้างหุ้นส่วนจำกัด กรเดชมุกดาหาร,,ทำน้ำแข็งก้อนเล็ก กำลังการผลิตสูงสุด 220 ตัน/วัน,2553,บางทรายใหญ่,เมืองมุกดาหาร,เลขที่ 109 หมู่ 8,มุกดาหาร,10795,1400
33,บริษัท พรีเมียร์ไบโอเอนเนอร์จี จำกัด,0 4264 3818-9,ผลิตพลังงานไฟฟ้าจากก๊าซชีวภาพ กำลังการผลิตส่วนขยาย 2.352 เมกะวัตต์,2553,คำป่าหลาย,เมืองมุกดาหาร,เลขที่ 222 หมู่ 14,มุกดาหาร,35101,8802
34,บริษัท พรีเมียร์ไบโอเอนเนอร์จี จำกัด,0 4264 3818,ผลิตก๊าชชีวภาพ,2553,คำป่าหลาย,เมืองมุกดาหาร,เลขที่ 222 หมู่ 14,มุกดาหาร,20111,8900
35,อู่เกรียงไกรเคาะพ่นสี,,ซ่อม - เคาะพ่นสีรถยนต์,2553,มุกดาหาร,เมืองมุกดาหาร,เลขที่ 63/8 ถนนชยางกูร ข (212),มุกดาหาร,33121,9501
36,อู่ทิพย์เซอร์วิส,09 2245 4249,"เคาะพ่นสีรถยนต์ซ่อมบำรุง,ตรวจสภาพรถยนต์",2553,คำอาฮวน,เมืองมุกดาหาร,เลขที่ 73 หมู่ 15,มุกดาหาร,33121,9501
