เงินลงทุน(ล้านบาท),_id,ปี,อำเภอ
7093.52,1,2568,เมืองขอนแก่น
3,2,2568,บ้านฝาง
70.5,3,2568,พระยืน
2462.75,4,2568,หนองเรือ
220.17,5,2568,ชุมแพ
405.9,6,2568,น้ำพอง
70.09,7,2568,อุบลรัตน์
14.3,8,2568,กระนวน
118.85,9,2568,บ้านไผ่
44.5,10,2568,พล
22.41,11,2568,แวงน้อย
53.8,12,2568,หนองสองห้อง
19,13,2568,ภูเวียง
135.19,14,2568,มัญจาคีรี
11,15,2568,ชนบท
9.92,16,2568,เขาสวนกวาง
13.5,17,2568,ซำสูง
5,18,2568,โคกโพธิไชย
16.6,19,2568,บ้านแฮด
0,20,2568,แวงใหญ่
0,21,2568,เวียงเก่า
0,22,2568,หนองนาคำ
0,23,2568,สีชมพู
0,24,2568,เปือยน้อย
0,25,2568,ภูเวียง
0,26,2568,โนนศิลา
