_id,เงินลงทุน(ล้านบาท),ปี,ลำดับ,อำเภอ
1,"7,093.52",2568,1,เมืองขอนแก่น
2,3,2568,2,บ้านฝาง
3,70.5,2568,3,พระยืน
4,"2,462.75",2568,4,หนองเรือ
5,220.17,2568,5,ชุมแพ
6,405.9,2568,6,น้ำพอง
7,70.09,2568,7,อุบลรัตน์
8,14.3,2568,8,กระนวน
9,118.85,2568,9,บ้านไผ่
10,44.5,2568,10,พล
11,22.41,2568,11,แวงน้อย
12,53.8,2568,12,หนองสองห้อง
13,19,2568,13,ภูเวียง
14,135.19,2568,14,มัญจาคีรี
15,11,2568,15,ชนบท
16,9.92,2568,16,เขาสวนกวาง
17,13.5,2568,17,ซำสูง
18,5,2568,18,โคกโพธิไชย
19,16.6,2568,19,บ้านแฮด
20, -   ,2568,20,แวงใหญ่
21, -   ,2568,21,เวียงเก่า
22, -   ,2568,22,หนองนาคำ
23, -   ,2568,23,สีชมพู
24, -   ,2568,24,เปือยน้อย
25, -   ,2568,25,ภูเวียง
26, -   ,2568,26,โนนศิลา
27,,,,
28,,,,ข้อมูล ณ วันที่ 14 กุมภาพันธ์ 2568
