จำนวน,_id,ปี,อำเภอ,หน่วยวัด
1,1,2560,เมืองสุราษฎร์ธานี,แห่ง
3,2,2560,กาญจนดิษฐ์,แห่ง
1,3,2560,ดอนสัก,แห่ง
0,4,2560,เกาะสมุย,แห่ง
0,5,2560,เกาะพะงัน,แห่ง
0,6,2560,ไชยา,แห่ง
5,7,2560,ท่าชนะ,แห่ง
0,8,2560,คีรีรัฐนิคม,แห่ง
0,9,2560,บ้านตาขุน,แห่ง
2,10,2560,พนม,แห่ง
4,11,2560,ท่าฉาง,แห่ง
0,12,2560,บ้านนาสาร,แห่ง
0,13,2560,บ้านนาเดิม,แห่ง
1,14,2560,เคียนซา,แห่ง
0,15,2560,เวียงสระ,แห่ง
12,16,2560,พระแสง,แห่ง
4,17,2560,พุนพิน,แห่ง
1,18,2560,ชัยบุรี,แห่ง
0,19,2560,วิภาวดี,แห่ง
1,20,2561,เมืองสุราษฎร์ธานี,แห่ง
3,21,2561,กาญจนดิษฐ์,แห่ง
1,22,2561,ดอนสัก,แห่ง
0,23,2561,เกาะสมุย,แห่ง
0,24,2561,เกาะพะงัน,แห่ง
0,25,2561,ไชยา,แห่ง
5,26,2561,ท่าชนะ,แห่ง
0,27,2561,คีรีรัฐนิคม,แห่ง
0,28,2561,บ้านตาขุน,แห่ง
2,29,2561,พนม,แห่ง
4,30,2561,ท่าฉาง,แห่ง
0,31,2561,บ้านนาสาร,แห่ง
0,32,2561,บ้านนาเดิม,แห่ง
1,33,2561,เคียนซา,แห่ง
0,34,2561,เวียงสระ,แห่ง
13,35,2561,พระแสง,แห่ง
4,36,2561,พุนพิน,แห่ง
1,37,2561,ชัยบุรี,แห่ง
0,38,2561,วิภาวดี,แห่ง
1,39,2562,เมืองสุราษฎร์ธานี,แห่ง
3,40,2562,กาญจนดิษฐ์,แห่ง
1,41,2562,ดอนสัก,แห่ง
0,42,2562,เกาะสมุย,แห่ง
0,43,2562,เกาะพะงัน,แห่ง
0,44,2562,ไชยา,แห่ง
5,45,2562,ท่าชนะ,แห่ง
0,46,2562,คีรีรัฐนิคม,แห่ง
0,47,2562,บ้านตาขุน,แห่ง
2,48,2562,พนม,แห่ง
4,49,2562,ท่าฉาง,แห่ง
0,50,2562,บ้านนาสาร,แห่ง
0,51,2562,บ้านนาเดิม,แห่ง
1,52,2562,เคียนซา,แห่ง
0,53,2562,เวียงสระ,แห่ง
13,54,2562,พระแสง,แห่ง
4,55,2562,พุนพิน,แห่ง
1,56,2562,ชัยบุรี,แห่ง
0,57,2562,วิภาวดี,แห่ง
1,58,2563,เมืองสุราษฎร์ธานี,แห่ง
3,59,2563,กาญจนดิษฐ์,แห่ง
1,60,2563,ดอนสัก,แห่ง
0,61,2563,เกาะสมุย,แห่ง
0,62,2563,เกาะพะงัน,แห่ง
0,63,2563,ไชยา,แห่ง
5,64,2563,ท่าชนะ,แห่ง
0,65,2563,คีรีรัฐนิคม,แห่ง
0,66,2563,บ้านตาขุน,แห่ง
2,67,2563,พนม,แห่ง
4,68,2563,ท่าฉาง,แห่ง
0,69,2563,บ้านนาสาร,แห่ง
0,70,2563,บ้านนาเดิม,แห่ง
1,71,2563,เคียนซา,แห่ง
0,72,2563,เวียงสระ,แห่ง
13,73,2563,พระแสง,แห่ง
4,74,2563,พุนพิน,แห่ง
1,75,2563,ชัยบุรี,แห่ง
0,76,2563,วิภาวดี,แห่ง
1,77,2564,เมืองสุราษฎร์ธานี,แห่ง
3,78,2564,กาญจนดิษฐ์,แห่ง
1,79,2564,ดอนสัก,แห่ง
0,80,2564,เกาะสมุย,แห่ง
0,81,2564,เกาะพะงัน,แห่ง
0,82,2564,ไชยา,แห่ง
5,83,2564,ท่าชนะ,แห่ง
0,84,2564,คีรีรัฐนิคม,แห่ง
0,85,2564,บ้านตาขุน,แห่ง
2,86,2564,พนม,แห่ง
4,87,2564,ท่าฉาง,แห่ง
0,88,2564,บ้านนาสาร,แห่ง
0,89,2564,บ้านนาเดิม,แห่ง
1,90,2564,เคียนซา,แห่ง
0,91,2564,เวียงสระ,แห่ง
13,92,2564,พระแสง,แห่ง
4,93,2564,พุนพิน,แห่ง
1,94,2564,ชัยบุรี,แห่ง
0,95,2564,วิภาวดี,แห่ง
1,96,2565,เมืองสุราษฎร์ธานี,แห่ง
3,97,2565,กาญจนดิษฐ์,แห่ง
1,98,2565,ดอนสัก,แห่ง
0,99,2565,เกาะสมุย,แห่ง
0,100,2565,เกาะพะงัน,แห่ง
0,101,2565,ไชยา,แห่ง
5,102,2565,ท่าชนะ,แห่ง
