ค่าข้อมูล,_id,ปี,อำเภอ,รายการข้อมูล,จังหวัด,หน่วย
-,1,2563,เมืองหนองบัวลำภู,อัตราการร้องเรียนปัญหามลพิษ,หนองบัวลำภู,เรื่องต่อประชากรแสนคน
-,2,2563,นากลาง,อัตราการร้องเรียนปัญหามลพิษ,หนองบัวลำภู,เรื่องต่อประชากรแสนคน
-,3,2563,โนนสัง,อัตราการร้องเรียนปัญหามลพิษ,หนองบัวลำภู,เรื่องต่อประชากรแสนคน
-,4,2563,ศรีบุญเรือง,อัตราการร้องเรียนปัญหามลพิษ,หนองบัวลำภู,เรื่องต่อประชากรแสนคน
-,5,2563,สุวรรณคูหา,อัตราการร้องเรียนปัญหามลพิษ,หนองบัวลำภู,เรื่องต่อประชากรแสนคน
-,6,2563,นาวัง,อัตราการร้องเรียนปัญหามลพิษ,หนองบัวลำภู,เรื่องต่อประชากรแสนคน
80,7,2564,เมืองหนองบัวลำภู,อัตราการร้องเรียนปัญหามลพิษ,หนองบัวลำภู,เรื่องต่อประชากรแสนคน
-,8,2564,นากลาง,อัตราการร้องเรียนปัญหามลพิษ,หนองบัวลำภู,เรื่องต่อประชากรแสนคน
20,9,2564,โนนสัง,อัตราการร้องเรียนปัญหามลพิษ,หนองบัวลำภู,เรื่องต่อประชากรแสนคน
-,10,2564,ศรีบุญเรือง,อัตราการร้องเรียนปัญหามลพิษ,หนองบัวลำภู,เรื่องต่อประชากรแสนคน
-,11,2564,สุวรรณคูหา,อัตราการร้องเรียนปัญหามลพิษ,หนองบัวลำภู,เรื่องต่อประชากรแสนคน
-,12,2564,นาวัง,อัตราการร้องเรียนปัญหามลพิษ,หนองบัวลำภู,เรื่องต่อประชากรแสนคน
67,13,2565,เมืองหนองบัวลำภู,อัตราการร้องเรียนปัญหามลพิษ,หนองบัวลำภู,เรื่องต่อประชากรแสนคน
23,14,2565,นากลาง,อัตราการร้องเรียนปัญหามลพิษ,หนองบัวลำภู,เรื่องต่อประชากรแสนคน
-,15,2565,โนนสัง,อัตราการร้องเรียนปัญหามลพิษ,หนองบัวลำภู,เรื่องต่อประชากรแสนคน
-,16,2565,ศรีบุญเรือง,อัตราการร้องเรียนปัญหามลพิษ,หนองบัวลำภู,เรื่องต่อประชากรแสนคน
-,17,2565,สุวรรณคูหา,อัตราการร้องเรียนปัญหามลพิษ,หนองบัวลำภู,เรื่องต่อประชากรแสนคน
-,18,2565,นาวัง,อัตราการร้องเรียนปัญหามลพิษ,หนองบัวลำภู,เรื่องต่อประชากรแสนคน
43,19,2566,เมืองหนองบัวลำภู,อัตราการร้องเรียนปัญหามลพิษ,หนองบัวลำภู,เรื่องต่อประชากรแสนคน
-,20,2566,นากลาง,อัตราการร้องเรียนปัญหามลพิษ,หนองบัวลำภู,เรื่องต่อประชากรแสนคน
43,21,2566,โนนสัง,อัตราการร้องเรียนปัญหามลพิษ,หนองบัวลำภู,เรื่องต่อประชากรแสนคน
-,22,2566,ศรีบุญเรือง,อัตราการร้องเรียนปัญหามลพิษ,หนองบัวลำภู,เรื่องต่อประชากรแสนคน
14,23,2566,สุวรรณคูหา,อัตราการร้องเรียนปัญหามลพิษ,หนองบัวลำภู,เรื่องต่อประชากรแสนคน
-,24,2566,นาวัง,อัตราการร้องเรียนปัญหามลพิษ,หนองบัวลำภู,เรื่องต่อประชากรแสนคน
-,25,2567,เมืองหนองบัวลำภู,อัตราการร้องเรียนปัญหามลพิษ,หนองบัวลำภู,เรื่องต่อประชากรแสนคน
50,26,2567,นากลาง,อัตราการร้องเรียนปัญหามลพิษ,หนองบัวลำภู,เรื่องต่อประชากรแสนคน
-,27,2567,โนนสัง,อัตราการร้องเรียนปัญหามลพิษ,หนองบัวลำภู,เรื่องต่อประชากรแสนคน
25,28,2567,ศรีบุญเรือง,อัตราการร้องเรียนปัญหามลพิษ,หนองบัวลำภู,เรื่องต่อประชากรแสนคน
-,29,2567,สุวรรณคูหา,อัตราการร้องเรียนปัญหามลพิษ,หนองบัวลำภู,เรื่องต่อประชากรแสนคน
25,30,2567,นาวัง,อัตราการร้องเรียนปัญหามลพิษ,หนองบัวลำภู,เรื่องต่อประชากรแสนคน
