_id,ที่มา,FID,ลำดับ,ชื่อโรงงาน,ประกอบกิจการ,เลขทะเบียนเดิม,ประเภทรอง,ผู้ประกอบการ,จังหวัด,รายการ
1,สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,-10300021725652-,1,บริษัท มาดี88 จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ,3-105-10/65นม,,บริษัท มาดี88 จำกัด,จังหวัดนครราชสีมา,โรงงานคัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว
2,สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,-10300304525621-,2,บริษัท ปักธงชัยพลาสติกรีไซเคิล จำกัด,คัดแยกวัสดุไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,3-105-107/62นม,,บริษัท ปักธงชัยพลาสติกรีไซเคิล จำกัด,จังหวัดนครราชสีมา,โรงงานคัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว
3,สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,-10300111825602-,3,บริษัท ณรงค์โลหะกิจ 1995 จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ,3-105-118/60นม,,บริษัท ณรงค์โลหะกิจ 1995 จำกัด,จังหวัดนครราชสีมา,โรงงานคัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว
4,สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,-10300063325627-,4,บริษัท ตงซื้อ คอมพานี (ไทยแลนด์) จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,3-105-16/62นม,,บริษัท ตงซื้อ คอมพานี (ไทยแลนด์) จำกัด,จังหวัดนครราชสีมา,โรงงานคัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว
5,สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,-10300001925561-,5,บริษัท ส.พลาสติก อยุธยา จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ,3-105-19/56นม,,บริษัท ส.พลาสติก อยุูธยา จำกัด,จังหวัดนครราชสีมา,โรงงานคัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว
6,สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,-10300002825596-,6,บริษัท ตัง เจริญกิจพานิช จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,3-105-28/59นม,,บริษัท ตัง เจริญกิจพานิช จำกัด,จังหวัดนครราชสีมา,โรงงานคัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว
7,สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,-10300003025485-,7,,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วจากโรงงานอุตสาหกรรม,3-105-30/48นม,,นายทรงพล  จิตภักดีบดินทร์,จังหวัดนครราชสีมา,โรงงานคัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว
8,สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,-10300003025618-,8,บริษัท รีไซเคิลแมน จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,3-105-30/61นม,,บริษัท รีไซเคิลแมน จำกัด,จังหวัดนครราชสีมา,โรงงานคัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว
9,สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,-10300205825641-,9,อำนาจหงษ์รุ่งเจริญ,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,3-105-31/64นม,,นายอำนาจ คล้ายจริง,จังหวัดนครราชสีมา,โรงงานคัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว
10,สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,-10300003225614-,10,บริษัท ทีมเวิร์ค อินเตอร์เนชั่นแนล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,3-105-32/61นม,,บริษัท ทีมเวิร์ค อินเตอร์เนชั่นแนล จำกัด,จังหวัดนครราชสีมา,โรงงานคัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว
11,สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,-10300101125674-,11,บริษัท คิวมิวเลส พลัส จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตราย ตามประกาศกระทรวงอุตสาหกรรม เช่น เศษโลหะทุกชนิด กระดาษ พลาสติก ไม้ ยางคิ้วขอบประตูรถยนต์ เป็นต้น บดหรือย่อยพลาสติกและยางและหลอมพลาสติกเป็นเม็ด,3-105-38/67นม,"53(5),53(9)",บริษัท คิวมิวเลท พลัส จำกัด,จังหวัดนครราชสีมา,โรงงานคัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว
12,สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,-10300140725625-,12,บริษัท สวารินทร์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,3-105-42/62นม,,บริษัท สวารินทร์ จำกัด,จังหวัดนครราชสีมา,โรงงานคัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว
13,สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,-10300004825545-,13,ทีแอนด์เอ็นรีไซเคิล,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,3-105-48/54นม,,นายอรุณกิตต์ โฆษิตานนท์,จังหวัดนครราชสีมา,โรงงานคัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว
