sex,_id,amp,year,value,unit
รวม,1,รวม,2564,59830.0,ราย
รวม,2,เมืองขอนแก่น,2564,31016.0,ราย
รวม,3,บ้านฝาง,2564,343.0,ราย
รวม,4,พระยืน,2564,780.0,ราย
รวม,5,หนองเรือ,2564,2312.0,ราย
รวม,6,ชุมแพ,2564,1403.0,ราย
รวม,7,สีชมพู,2564,130.0,ราย
รวม,8,น้ำพอง,2564,10259.0,ราย
รวม,9,อุบลรัตน์,2564,961.0,ราย
รวม,10,กระนวน,2564,750.0,ราย
รวม,11,บ้านไผ่,2564,4772.0,ราย
รวม,12,เปือยน้อย,2564,5.0,ราย
รวม,13,พล,2564,2497.0,ราย
รวม,14,แวงใหญ่,2564,69.0,ราย
รวม,15,แวงน้อย,2564,22.0,ราย
รวม,16,หนองสองห้อง,2564,1254.0,ราย
รวม,17,ภูเวียง,2564,864.0,ราย
รวม,18,มัญจาคีรี,2564,408.0,ราย
รวม,19,ชนบท,2564,435.0,ราย
รวม,20,เขาสวนกวาง,2564,179.0,ราย
รวม,21,ภูผาม่าน,2564,261.0,ราย
รวม,22,ซำสูง,2564,203.0,ราย
รวม,23,โคกโพธิ์ไชย,2564,61.0,ราย
รวม,24,หนองนาคำ,2564,-,ราย
รวม,25,บ้านแฮด,2564,504.0,ราย
รวม,26,โนนศิลา,2564,339.0,ราย
รวม,27,เวียงเก่า,2564,3.0,ราย
ชาย,28,รวม,2564,30745.0,ราย
ชาย,29,เมืองขอนแก่น,2564,14520.0,ราย
ชาย,30,บ้านฝาง,2564,188.0,ราย
ชาย,31,พระยืน,2564,522.0,ราย
ชาย,32,หนองเรือ,2564,1243.0,ราย
ชาย,33,ชุมแพ,2564,910.0,ราย
ชาย,34,สีชมพู,2564,107.0,ราย
ชาย,35,น้ำพอง,2564,6890.0,ราย
ชาย,36,อุบลรัตน์,2564,420.0,ราย
ชาย,37,กระนวน,2564,656.0,ราย
ชาย,38,บ้านไผ่,2564,1594.0,ราย
ชาย,39,เปือยน้อย,2564,3.0,ราย
ชาย,40,พล,2564,1224.0,ราย
ชาย,41,แวงใหญ่,2564,62.0,ราย
ชาย,42,แวงน้อย,2564,19.0,ราย
ชาย,43,หนองสองห้อง,2564,184.0,ราย
ชาย,44,ภูเวียง,2564,561.0,ราย
ชาย,45,มัญจาคีรี,2564,350.0,ราย
ชาย,46,ชนบท,2564,94.0,ราย
ชาย,47,เขาสวนกวาง,2564,110.0,ราย
ชาย,48,ภูผาม่าน,2564,259.0,ราย
ชาย,49,ซำสูง,2564,115.0,ราย
ชาย,50,โคกโพธิ์ไชย,2564,55.0,ราย
ชาย,51,หนองนาคำ,2564,-,ราย
ชาย,52,บ้านแฮด,2564,393.0,ราย
ชาย,53,โนนศิลา,2564,264.0,ราย
ชาย,54,เวียงเก่า,2564,2.0,ราย
หญิง,55,รวม,2564,29085.0,ราย
หญิง,56,เมืองขอนแก่น,2564,16496.0,ราย
หญิง,57,บ้านฝาง,2564,155.0,ราย
หญิง,58,พระยืน,2564,258.0,ราย
หญิง,59,หนองเรือ,2564,1069.0,ราย
หญิง,60,ชุมแพ,2564,493.0,ราย
หญิง,61,สีชมพู,2564,23.0,ราย
หญิง,62,น้ำพอง,2564,3369.0,ราย
หญิง,63,อุบลรัตน์,2564,541.0,ราย
หญิง,64,กระนวน,2564,94.0,ราย
หญิง,65,บ้านไผ่,2564,3178.0,ราย
หญิง,66,เปือยน้อย,2564,2.0,ราย
หญิง,67,พล,2564,1273.0,ราย
หญิง,68,แวงใหญ่,2564,7.0,ราย
หญิง,69,แวงน้อย,2564,3.0,ราย
หญิง,70,หนองสองห้อง,2564,1070.0,ราย
หญิง,71,ภูเวียง,2564,303.0,ราย
หญิง,72,มัญจาคีรี,2564,58.0,ราย
หญิง,73,ชนบท,2564,341.0,ราย
หญิง,74,เขาสวนกวาง,2564,69.0,ราย
หญิง,75,ภูผาม่าน,2564,2.0,ราย
หญิง,76,ซำสูง,2564,88.0,ราย
หญิง,77,โคกโพธิ์ไชย,2564,6.0,ราย
หญิง,78,หนองนาคำ,2564,-,ราย
หญิง,79,บ้านแฮด,2564,111.0,ราย
หญิง,80,โนนศิลา,2564,75.0,ราย
หญิง,81,เวียงเก่า,2564,1.0,ราย
