2558,2560,2561,_id,2559,2564,2567,2566,2557,2563,2565,ตำบล,อำเภอ,รายการ,หน่วยวัด,2562,จังหวัด
,,,1,,,,,,,,ต.ในเมือง,อ.เมืองนครราชสีมา,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
0.9,1.9,1.9,2,0.9,1.9,1.9,1.9,0.9,1.9,1.9,ต.โพธิ์กลาง,อ.เมืองนครราชสีมา,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),1.9,จ.นครราชสีมา
2.15,2.15,2.15,3,2.15,2.15,2.15,2.15,2.15,2.15,2.15,ต.หนองจะบก,อ.เมืองนครราชสีมา,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),2.15,จ.นครราชสีมา
,,,4,,,,,,,,ต.โคกสูง,อ.เมืองนครราชสีมา,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,5,,,,,,,,ต.มะเริง,อ.เมืองนครราชสีมา,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,6,,,,,,,,ต.หนองระเวียง,อ.เมืองนครราชสีมา,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,7,,,,,,,,ต.ปรุใหญ่,อ.เมืองนครราชสีมา,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,8,,,,,,,,ต.หมื่นไวย,อ.เมืองนครราชสีมา,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,9,,,,,,,,ต.พลกรัง,อ.เมืองนครราชสีมา,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,10,,,,,,,,ต.หนองไผ่ล้อม,อ.เมืองนครราชสีมา,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,11,,,,,,,,ต.หัวทะเล,อ.เมืองนครราชสีมา,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,12,,,,,,,,ต.บ้านเกาะ,อ.เมืองนครราชสีมา,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,13,,,,,,,,ต.บ้านใหม่,อ.เมืองนครราชสีมา,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
1,1,1,14,1,1,1,1,1,1,1,ต.พุดซา,อ.เมืองนครราชสีมา,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),1,จ.นครราชสีมา
9.9,9.9,9.9,15,9.9,9.9,9.9,9.9,9.9,9.9,9.9,ต.บ้านโพธิ์,อ.เมืองนครราชสีมา,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),9.9,จ.นครราชสีมา
,,,16,,,,,,,,ต.จอหอ,อ.เมืองนครราชสีมา,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,17,,4,4,4,,,4,ต.โคกกรวด,อ.เมืองนครราชสีมา,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,18,,,,,,,,ต.ไชยมงคล,อ.เมืองนครราชสีมา,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
10.77,14.97,14.97,19,14.97,23.25,23.25,23.25,10.77,20.33,23.25,ต.หนองบัวศาลา,อ.เมืองนครราชสีมา,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),14.97,จ.นครราชสีมา
3.06,3.06,3.06,20,3.06,3.06,3.06,3.06,3.06,3.06,3.06,ต.สุรนารี,อ.เมืองนครราชสีมา,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),3.06,จ.นครราชสีมา
,,,21,,,,,,,,ต.สีมุม,อ.เมืองนครราชสีมา,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,22,,,,,,,,ต.ตลาด,อ.เมืองนครราชสีมา,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,23,,,,,,,,ต.พะเนา,อ.เมืองนครราชสีมา,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,24,,,,,,,,ต.หนองกระทุ่ม,อ.เมืองนครราชสีมา,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,25,,,,,,,,ต.หนองไข่น้ำ,อ.เมืองนครราชสีมา,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,26,,,,,,,,,อ.ครบุรี,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,27,,,,,,,,ต.แชะ,อ.ครบุรี,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
