ใบอนุญาต,_id,ปี,อำเภอ,ประเภทรายการ,ใบคำขอ
0,1,2562,พระนครศรีอยุธยา,ค้าของเก่าประเภทเพชรทอง,5
0,2,2562,พระนครศรีอยุธยา,ค้าของเก่าประเภทรถยนต์,14
0,3,2562,พระนครศรีอยุธยา,ค้าของเก่าประเภทอื่นๆ,5
0,4,2562,พระนครศรีอยุธยา,ทั่วไป,1
6,5,2562,พระนครศรีอยุธยา,ต่ออายุค้าของเก่าประเภทเพชรทอง,33
14,6,2562,พระนครศรีอยุธยา,ต่ออายุค้าของเก่าประเภทรถยนต์,35
33,7,2562,พระนครศรีอยุธยา,ต่ออายุค้าของเก่าประเภทอื่นๆ,53
0,8,2562,พระนครศรีอยุธยา,ใบแทนค้าของเก่าประเภทเพชรทอง,1
0,9,2562,ท่าเรือ,ค้าของเก่าประเภทเพชรทอง,1
2,10,2562,ท่าเรือ,ค้าของเก่าประเภทรถยนต์,4
0,11,2562,ท่าเรือ,ค้าของเก่าประเภทอื่นๆ,3
6,12,2562,ท่าเรือ,ต่ออายุค้าของเก่าประเภทเพชรทอง,8
2,13,2562,ท่าเรือ,ต่ออายุค้าของเก่าประเภทรถยนต์,4
6,14,2562,ท่าเรือ,ต่ออายุค้าของเก่าประเภทอื่นๆ,7
0,15,2562,นครหลวง,ค้าของเก่าประเภทอื่นๆ,2
0,16,2562,นครหลวง,ทั่วไป,1
2,17,2562,นครหลวง,ต่ออายุค้าของเก่าประเภทเพชรทอง,3
4,18,2562,นครหลวง,ต่ออายุค้าของเก่าประเภทรถยนต์,3
22,19,2562,นครหลวง,ต่ออายุค้าของเก่าประเภทอื่นๆ,23
2,20,2562,บางไทร,ค้าของเก่าประเภทอื่นๆ,7
1,21,2562,บางไทร,ต่ออายุค้าของเก่าประเภทเพชรทอง,1
1,22,2562,บางไทร,ต่ออายุค้าของเก่าประเภทรถยนต์,0
18,23,2562,บางไทร,ต่ออายุค้าของเก่าประเภทอื่นๆ,19
1,24,2562,บางบาล,ค้าของเก่าประเภทรถยนต์,3
0,25,2562,บางบาล,ค้าของเก่าประเภทอื่นๆ,8
0,26,2562,บางบาล,ทั่วไป,6
8,27,2562,บางบาล,ต่ออายุค้าของเก่าประเภทรถยนต์,8
62,28,2562,บางบาล,ต่ออายุค้าของเก่าประเภทอื่นๆ,93
0,29,2562,บางปะอิน,ค้าของเก่าประเภทเพชรทอง,4
0,30,2562,บางปะอิน,ค้าของเก่าประเภทรถยนต์,4
0,31,2562,บางปะอิน,ค้าของเก่าประเภทอื่นๆ,17
0,32,2562,บางปะอิน,ทั่วไป,15
1,33,2562,บางปะอิน,ต่ออายุค้าของเก่าขายทอดตลาด,1
28,34,2562,บางปะอิน,ต่ออายุค้าของเก่าประเภทเพชรทอง,34
24,35,2562,บางปะอิน,ต่ออายุค้าของเก่าประเภทรถยนต์,27
88,36,2562,บางปะอิน,ต่ออายุค้าของเก่าประเภทอื่นๆ,96
0,37,2562,บางปะอิน,ใบแทนค้าของเก่าประเภทอื่นๆ,1
1,38,2562,บางปะหัน,ค้าของเก่าประเภทเพชรทอง,1
0,39,2562,บางปะหัน,ค้าของเก่าประเภทอื่นๆ,2
3,40,2562,บางปะหัน,ต่ออายุค้าของเก่าประเภทเพชรทอง,4
3,41,2562,บางปะหัน,ต่ออายุค้าของเก่าประเภทรถยนต์,5
21,42,2562,บางปะหัน,ต่ออายุค้าของเก่าประเภทอื่นๆ,18
0,43,2562,ผักไห่,ค้าของเก่าประเภทรถยนต์,1
0,44,2562,ผักไห่,ค้าของเก่าประเภทอื่นๆ,3
0,45,2562,ผักไห่,ทั่วไป,5
2,46,2562,ผักไห่,ต่ออายุค้าของเก่าประเภทเพชรทอง,2
5,47,2562,ผักไห่,ต่ออายุค้าของเก่าประเภทรถยนต์,5
13,48,2562,ผักไห่,ต่ออายุค้าของเก่าประเภทอื่นๆ,14
0,49,2562,ผักไห่,ใบแทนค้าของเก่าประเภทรถยนต์,1
0,50,2562,ผักไห่,ใบแทนค้าของเก่าประเภทอื่นๆ,1
0,51,2562,ภาชี,ค้าของเก่าประเภทเพชรทอง,3
0,52,2562,ภาชี,ค้าของเก่าประเภทอื่นๆ,14
0,53,2562,ภาชี,ทั่วไป,1
2,54,2562,ภาชี,ต่ออายุค้าของเก่าประเภทเพชรทอง,2
1,55,2562,ภาชี,ต่ออายุค้าของเก่าประเภทรถยนต์,3
4,56,2562,ภาชี,ต่ออายุค้าของเก่าประเภทอื่นๆ,10
1,57,2562,ลาดบัวหลวง,ค้าของเก่าประเภทรถยนต์,3
0,58,2562,ลาดบัวหลวง,ค้าของเก่าประเภทอื่นๆ,5
0,59,2562,ลาดบัวหลวง,ทั่วไป,1
1,60,2562,ลาดบัวหลวง,ต่ออายุค้าของเก่าประเภทเพชรทอง,6
0,61,2562,ลาดบัวหลวง,ต่ออายุค้าของเก่าประเภทรถยนต์,5
4,62,2562,ลาดบัวหลวง,ต่ออายุค้าของเก่าประเภทอื่นๆ,43
0,63,2562,วังน้อย,ค้าของเก่าประเภทเพชรทอง,2
1,64,2562,วังน้อย,ค้าของเก่าประเภทรถยนต์,3
0,65,2562,วังน้อย,ค้าของเก่าประเภทอื่นๆ,15
0,66,2562,วังน้อย,ทั่วไป,9
0,67,2562,วังน้อย,ต่ออายุค้าของเก่าขายทอดตลาด,1
8,68,2562,วังน้อย,ต่ออายุค้าของเก่าประเภทเพชรทอง,11
3,69,2562,วังน้อย,ต่ออายุค้าของเก่าประเภทรถยนต์,6
73,70,2562,วังน้อย,ต่ออายุค้าของเก่าประเภทอื่นๆ,140
0,71,2562,เสนา,ค้าของเก่าขายทอดตลาด,1
1,72,2562,เสนา,ค้าของเก่าประเภทเพชรทอง,2
0,73,2562,เสนา,ค้าของเก่าประเภทรถยนต์,2
0,74,2562,เสนา,ทั่วไป,4
19,75,2562,เสนา,ต่ออายุค้าของเก่าประเภทเพชรทอง,21
6,76,2562,เสนา,ต่ออายุค้าของเก่าประเภทรถยนต์,5
23,77,2562,เสนา,ต่ออายุค้าของเก่าประเภทอื่นๆ,19
0,78,2562,บางซ้าย,ค้าของเก่าประเภทอื่นๆ,1
1,79,2562,บางซ้าย,ต่ออายุค้าของเก่าประเภทเพชรทอง,1
13,80,2562,บางซ้าย,ต่ออายุค้าของเก่าประเภทอื่นๆ,12
0,81,2562,อุทัย,ค้าของเก่าประเภทเพชรทอง,3
0,82,2562,อุทัย,ค้าของเก่าประเภทรถยนต์,4
0,83,2562,อุทัย,ค้าของเก่าประเภทอื่นๆ,6
