จำนวนโรงงาน,_id,ปี,กลุ่มอุตสาหกรรม,อำเภอ
3,1,2565,ผลิตภัณฑ์จากพืช,เมืองปราจีนบุรี
18,2,2565,ผลิตภัณฑ์จากพืช,กบินทร์บุรี
3,3,2565,ผลิตภัณฑ์จากพืช,นาดี
3,4,2565,ผลิตภัณฑ์จากพืช,บ้านสร้าง
5,5,2565,ผลิตภัณฑ์จากพืช,ประจันตคาม
10,6,2565,ผลิตภัณฑ์จากพืช,ศรีมหาโพธิ
1,7,2565,ผลิตภัณฑ์จากพืช,ศรีมโหสถ
11,8,2565,อุตสาหกรรมอาหาร,เมืองปราจีนบุรี
23,9,2565,อุตสาหกรรมอาหาร,กบินทร์บุรี
0,10,2565,อุตสาหกรรมอาหาร,นาดี
1,11,2565,อุตสาหกรรมอาหาร,บ้านสร้าง
4,12,2565,อุตสาหกรรมอาหาร,ประจันตคาม
16,13,2565,อุตสาหกรรมอาหาร,ศรีมหาโพธิ
1,14,2565,อุตสาหกรรมอาหาร,ศรีมโหสถ
0,15,2565,อุตสาหกรรมเครื่องดื่ม,เมืองปราจีนบุรี
2,16,2565,อุตสาหกรรมเครื่องดื่ม,กบินทร์บุรี
0,17,2565,อุตสาหกรรมเครื่องดื่ม,นาดี
2,18,2565,อุตสาหกรรมเครื่องดื่ม,บ้านสร้าง
0,19,2565,อุตสาหกรรมเครื่องดื่ม,ประจันตคาม
2,20,2565,อุตสาหกรรมเครื่องดื่ม,ศรีมหาโพธิ
2,21,2565,อุตสาหกรรมเครื่องดื่ม,ศรีมโหสถ
0,22,2565,สิ่งทอ,เมืองปราจีนบุรี
23,23,2565,สิ่งทอ,กบินทร์บุรี
0,24,2565,สิ่งทอ,นาดี
0,25,2565,สิ่งทอ,บ้านสร้าง
0,26,2565,สิ่งทอ,ประจันตคาม
8,27,2565,สิ่งทอ,ศรีมหาโพธิ
2,28,2565,สิ่งทอ,ศรีมโหสถ
0,29,2565,อุตสาหกรรมเครื่องแต่งกายยกเว้นรองเท้า,เมืองปราจีนบุรี
10,30,2565,อุตสาหกรรมเครื่องแต่งกายยกเว้นรองเท้า,กบินทร์บุรี
0,31,2565,อุตสาหกรรมเครื่องแต่งกายยกเว้นรองเท้า,นาดี
0,32,2565,อุตสาหกรรมเครื่องแต่งกายยกเว้นรองเท้า,บ้านสร้าง
0,33,2565,อุตสาหกรรมเครื่องแต่งกายยกเว้นรองเท้า,ประจันตคาม
1,34,2565,อุตสาหกรรมเครื่องแต่งกายยกเว้นรองเท้า,ศรีมหาโพธิ
0,35,2565,อุตสาหกรรมเครื่องแต่งกายยกเว้นรองเท้า,ศรีมโหสถ
2,36,2565,ผลิตหนังสัตว์และผลิตภัณฑ์จากหนังสัตว์,เมืองปราจีนบุรี
9,37,2565,ผลิตหนังสัตว์และผลิตภัณฑ์จากหนังสัตว์,กบินทร์บุรี
0,38,2565,ผลิตหนังสัตว์และผลิตภัณฑ์จากหนังสัตว์,นาดี
0,39,2565,ผลิตหนังสัตว์และผลิตภัณฑ์จากหนังสัตว์,บ้านสร้าง
0,40,2565,ผลิตหนังสัตว์และผลิตภัณฑ์จากหนังสัตว์,ประจันตคาม
1,41,2565,ผลิตหนังสัตว์และผลิตภัณฑ์จากหนังสัตว์,ศรีมหาโพธิ
0,42,2565,ผลิตหนังสัตว์และผลิตภัณฑ์จากหนังสัตว์,ศรีมโหสถ
3,43,2565,แปรรูปไม้และผลิตภัณฑ์จากไม้,เมืองปราจีนบุรี
14,44,2565,แปรรูปไม้และผลิตภัณฑ์จากไม้,กบินทร์บุรี
2,45,2565,แปรรูปไม้และผลิตภัณฑ์จากไม้,นาดี
0,46,2565,แปรรูปไม้และผลิตภัณฑ์จากไม้,บ้านสร้าง
4,47,2565,แปรรูปไม้และผลิตภัณฑ์จากไม้,ประจันตคาม
