จำนวน,ที่มา,_id,ปี,อำเภอ,รายการ,จังหวัด,หน่วย
71,ที่ทำการปกครองจังหวัดกาฬสินธุ์,1,2567,เมืองกาฬสินธุ์,สถานประกอบการรับซื้อของเก่า ที่มีใบอนุญาต,กาฬสินธุ์,แห่ง
15,ที่ทำการปกครองจังหวัดกาฬสินธุ์,2,2567,นามน,สถานประกอบการรับซื้อของเก่า ที่มีใบอนุญาต,กาฬสินธุ์,แห่ง
54,ที่ทำการปกครองจังหวัดกาฬสินธุ์,3,2567,กมลาไสย,สถานประกอบการรับซื้อของเก่า ที่มีใบอนุญาต,กาฬสินธุ์,แห่ง
8,ที่ทำการปกครองจังหวัดกาฬสินธุ์,4,2567,ร่องคำ,สถานประกอบการรับซื้อของเก่า ที่มีใบอนุญาต,กาฬสินธุ์,แห่ง
21,ที่ทำการปกครองจังหวัดกาฬสินธุ์,5,2567,กุฉินารายณ์,สถานประกอบการรับซื้อของเก่า ที่มีใบอนุญาต,กาฬสินธุ์,แห่ง
8,ที่ทำการปกครองจังหวัดกาฬสินธุ์,6,2567,เขาวง,สถานประกอบการรับซื้อของเก่า ที่มีใบอนุญาต,กาฬสินธุ์,แห่ง
27,ที่ทำการปกครองจังหวัดกาฬสินธุ์,7,2567,ยางตลาด,สถานประกอบการรับซื้อของเก่า ที่มีใบอนุญาต,กาฬสินธุ์,แห่ง
13,ที่ทำการปกครองจังหวัดกาฬสินธุ์,8,2567,ห้วยเม็ก,สถานประกอบการรับซื้อของเก่า ที่มีใบอนุญาต,กาฬสินธุ์,แห่ง
16,ที่ทำการปกครองจังหวัดกาฬสินธุ์,9,2567,สหัสขันธ์,สถานประกอบการรับซื้อของเก่า ที่มีใบอนุญาต,กาฬสินธุ์,แห่ง
15,ที่ทำการปกครองจังหวัดกาฬสินธุ์,10,2567,คำม่วง,สถานประกอบการรับซื้อของเก่า ที่มีใบอนุญาต,กาฬสินธุ์,แห่ง
9,ที่ทำการปกครองจังหวัดกาฬสินธุ์,11,2567,ท่าคันโท,สถานประกอบการรับซื้อของเก่า ที่มีใบอนุญาต,กาฬสินธุ์,แห่ง
