_id,ลำดับ,ชื่อโรงงาน,เลขทะเบียน
1,1,บริษัท ไออาร์พีซี จำกัด (มหาชน),ข3-42(1)-1/41รย
2,2,บริษัท ไออาร์พีซี จำกัด (มหาชน),ข3-42(1)-2/41รย
3,3,บริษัท ไทย เคียววะ ไบโอเทคโนโลยีส์ จำกัด,ข3-42(1)-9/62รย
4,4,บริษัท ไออาร์พีซี จำกัด (มหาชน),ข3-44-1/34รย
5,5,บริษัท ไดอะโพลีอะคริเลต จำกัด,ข3-44-1/36รย
6,6,บริษัท ไออาร์พีซี จำกัด (มหาชน),ข3-48(2)-3/59รย
7,7,บริษัท ไออาร์พีซี จำกัด (มหาชน),ข3-48(6)-1/45รย
8,8,บริษัท ไออาร์พีซี จำกัด (มหาชน) (CD1),ข3-53(5)-55/51รย
9,9,บริษัท ไออาร์พีซี จำกัด (มหาชน),ข3-53(5)-58/59รย
10,10,บริษัท นครหลวงคอนกรีต จำกัด,จ3-58(1)-21/57รย
11,11,บริษัท นครหลวงคอนกรีต จำกัด,จ3-58(1)-135/47รย
12,12,บริษัท ไออาร์พีซี จำกัด (มหาชน),ข3-88-1/36รย
13,13,บริษัท ไออาร์พีซี จำกัด (มหาชน),ข3-101-1/35รย
14,14,บริษัท ไนเตรทไทย จำกัด,ข3-42(1)-1/39รย
15,15,บริษัท อูเบะไฟน์ เคมิคอลล์ (เอเชีย) จำกัด,ข3-42(1)-3/54รย
16,16,บริษัท อูเบะ เคมิคอลส์ (เอเซีย) จำกัด (มหาชน),ข3-44-1/39รย
17,17,บริษัท อูเบะ เคมิคอลส์ (เอเชีย) จำกัด (มหาชน),ข3-44-1/40รย
18,18,บริษัท ยางสังเคราะห์ไทย จำกัด,ข3-44-2/40รย
19,19,บริษัท ไออาร์พีซี จำกัด (มหาชน),ข3-90-4/50รย
20,20,บริษัท โคเบลโก้ มิลล์คอน สตีล จำกัด,ข3-59-10/57รย
21,21,บริษัท ไอเจน พาวเวอร์เทค จำกัด,ข3-73-7/61รย
