พื้นที่อาคาร(ตร.ม.),ประกอบกิจการ,รหัสจังหวัด,อำเภอ,TSIC,รหัสประเภท,ถนน,ซอย,คนงานรวม,ลำดับ,หญิง,ชาย,จังหวัด,หมู่,ค่าอาคาร,เลขที่,เงินทุนหมุนเวียน,เลขทะเบียนโรงงาน,โทรศัพท์,ค่าเครื่องจักร,แรงม้ารวม,ค่าที่ดิน,ตำบล,เงินลงทุนรวม,_id,รหัสทะเบียนโรงงาน FID,ชื่อโรงงาน,ชื่อเจ้าของ,จำพวก,ปีที่ได้รับอนุญาต,รหัสไปรษณีย์,พื้นที่โรงงาน(ตร.ม.)
3840,กะเทาะเมล็ดมะม่วงหมพานต์,21,ปลวกแดง,1630,202,3138-บ้านเฉลิมลาภ,,33,4630,15,18,ระยอง,2,41000000,2023-10-01 00:00:00,5000000,จ3-2(2)-2/50รย,,24000000,132.62,0,ตาสิทธิ์,70000000,1,20200000000000,บริษัท โก ไทย ฟู้ดส์ จำกัด,บริษัท โก ไทย ฟู้ดส์ จำกัด,3,50,21140,122048
89,ขุด ตัก และคัดขนาดทรายบก,21,ปลวกแดง,8103,302,,,7,4631,0,7,ระยอง,,0,โฉนดที่ดินเลขที่ 4053 เลขที่ดิน 96,10000000,จ3-3(2)-30/58รย,085-0099059,20000000,280,0,แม่น้ำคู้,30000000,2,20200000000000,บริษัท ขุมทรัพย์ทรายทอง จำกัด,บริษัท ขุมทรัพย์ทรายทอง จำกัด,3,58,21140,89
139360,ขุด ร่อนและคัดขนาดทราย,21,ปลวกแดง,8103,302,,,5,4632,0,5,ระยอง,,0,โฉนดที่ดินเลขที่ 3606,500000,จ3-3(2)-9/56รย,,4000000,396,10000000,มาบยางพร,14500000,3,20200000000000,นายประสาน สุขใจ,นายประสาน สุขใจ,3,56,21140,139360
0,ขุด ร่อนและคัดขนาดทราย,21,ปลวกแดง,8103,302,,,6,4633,1,5,ระยอง,2,0,น.ส.3 ก. เลขที่ 1266 เลขที่ดิน 7,1000000,จ3-3(2)-240/59รย,,4350000,360,10000000,ละหาร,15350000,4,20200000000000,บ่อทรายเอกราช,บ่อทรายเอกราช,3,59,21140,80000
23200,ขุดและล้างทราย,21,ปลวกแดง,8103,302,-,-,5,4634,0,5,ระยอง,1,0,นส.3ก เลขที่ 289 เลขที่ดิน 17,1000000,จ3-3(2)-383/49รย,,1000000,280,2000000,แม่น้ำคู้,4000000,5,20200000000000,,นายจีรศักดิ์ ภัทรสมบูรณ์,3,49,21140,35200
0,บ่อทรายทรัพย์ทรายงาม,21,ปลวกแดง,8103,302,,,7,4635,1,6,ระยอง,2,90000,18013.0,450000,จ3-3(2)-261/51รย,,300000,480,9000000,มาบยางพร,9840000,6,20200000000000,บ่อทรายทรัพย์ทรายงาม,บ่อทรายทรัพย์ทรายงาม,3,51,21140,
0,ขุด ร่อน และคัดขนาดทราย,21,ปลวกแดง,8103,302,,,5,4636,0,5,ระยอง,1,0,โฉนดที่ดินเลยที่ 4091 เลขที่ดิน 23 เล่มที่ 41 หน้า 91,1000000,จ3-3(2)-255/58รย,,5000000,450,12000000,มาบยางพร,18000000,7,20200000000000,นายสมชาย โมทิม,นายสมชาย โมทิม,3,58,21140,68496
0,ขุด ร่อน และคัดขนาดทราย,21,ปลวกแดง,8103,302,,,5,4637,0,5,ระยอง,3,0,น.ส.3 ก.เลขที่ 224,1000000,จ3-3(2)-71/58รย,092-2063879,5000000,450,12000000,ตาสิทธิ์,18000000,8,20200000000000,,นางสาวนุสรา บุญร่มเย็น,3,58,21140,84068
108,ขุด ตัก และคัดขนาดทรายบก,21,ปลวกแดง,8103,302,,,7,4638,0,7,ระยอง,,0,โฉนดที่ดินเลขที่ 4034 เลขที่ดิน 88 ,10000000,จ3-3(2)-28/58รย,,20000000,280,0,แม่น้ำคู้,30000000,9,20200000000000,บริษัท ขุมทรัพย์ทรายทอง จำกัด,บริษัท ขุมทรัพย์ทรายทอง จำกัด,3,58,21140,108
0,ขุด ตัก และคัดขนาดทรายบก,21,ปลวกแดง,8103,302,,,7,4639,0,7,ระยอง,,0,โฉนดที่ดินเลขที่ 4055 เลขที่ดิน 114,10000000,จ3-3(2)-26/58รย,,20000000,280,0,แม่น้ำคู้,30000000,10,20200000000000,บริษัท ขุมทรัพย์ทรายทอง จำกัด,บริษัท ขุมทรัพย์ทรายทอง จำกัด,3,58,21140,126275
0,ขุด ร่อน คัดทราย,21,ปลวกแดง,8103,302,,,6,4640,0,6,ระยอง,1,0,โฉนดที่ดินเลขที่15568,300000,จ3-3(2)-76/50รย,,2100000,470,1600000,แม่น้ำคู้,4000000,11,20200000000000,,นายไพฑูรย์ กังวลกิจ,3,50,21140,32000
0,ล้างและร่อนทราย,21,ปลวกแดง,8103,302,,,6,4641,0,6,ระยอง,1,0,โฉนดที่ดินเลขที่ 3912 เล่ม 40 หน้า 12 และโฉนดที่ดินเลขที่ 5437 เล่ม 55 หน้า 37,500000,จ3-3(2)-326/58รย,099-1096685,250000,486,150000,แม่น้ำคู้,900000,12,20200000000000,สามกองทรายทอง,สามกองทรายทอง,3,58,21140,22396
0,ขุดดิน,21,ปลวกแดง,8103,302,,,3,4642,0,3,ระยอง,2,0,โฉนดที่ดินเลขที่ 15259 เล่มที่ 153 หน้าที่ 59,500000,จ3-3(2)-138/61รย,,4000000,384,5000000,ตาสิทธิ์,9500000,13,20200000000000,นายไพบูลย์ สว่างไพร,นายไพบูลย์ สว่างไพร,3,61,21140,108652
