พื้นที่อาคาร(ตร.ม.),ประกอบกิจการ,รหัสจังหวัด,อำเภอ,TSIC,รหัสประเภท,ถนน,ซอย,คนงานรวม,ลำดับ,หญิง,ชาย,จังหวัด,หมู่,ค่าอาคาร,เลขที่,เงินทุนหมุนเวียน,เลขทะเบียนโรงงาน,โทรศัพท์,ค่าเครื่องจักร,แรงม้ารวม,ค่าที่ดิน,ตำบล,เงินลงทุนรวม,_id,รหัสทะเบียนโรงงาน FID,ชื่อโรงงาน,ชื่อเจ้าของ,จำพวก,ปีที่ได้รับอนุญาต,รหัสไปรษณีย์,พื้นที่โรงงาน(ตร.ม.)
13550,การเพาะเชื้อเห็ด,21,แกลง,1302,208,,,50,3610,25,25,ระยอง,5.0,14000000,91.0,2000000,จ3-2(8)-1/57รย,038-037657,9740000,498,4500000,เนินฆ้อ,30240000,1,20200000000000,บริษัท ฟาร์มเห็ดระยองแอนด์วีวีไบโอเทค จำกัด,บริษัท ฟาร์มเห็ดระยองแอนด์วีวีไบโอเทค จำกัด,3,57,21110,34422
0,โม่ บด หรือย่อยหิน,21,แกลง,23961,301,,,14,3611,4,10,ระยอง,4.0,8780000,112/3,10000000,ธ3-3(1)-1/51รย,,57870000,1115.5,9595575,กองดิน,86245575,2,30200000000000,บริษัท ศิลาแกลง จำกัด,บริษัท ศิลาแกลง จำกัด,3,51,22160,0
79416,"โม่ บด ย่อยหิน กำลังการผลิต 240,000 ตัน/ปี",21,แกลง,23961,301,สุขุมวิท, ,40,3612,10,30,ระยอง,1.0,0,-,40000000,3-3(1)-3/36รย, ,40000000,1330,0,กองดิน,80000000,3,10200000000000,บริษัท สหวิศวก่อสร้าง จำกัด,บริษัท สหวิศวก่อสร้าง จำกัด,3,36,22160,79416
0,โม่ บด หรือย่อยหิน,21,แกลง,23961,301,,,8,3613,0,8,ระยอง,1.0,6000000,,1000000,ธ3-3(1)-1/56รย,,1000000,692,3000000,กองดิน,11000000,4,30200000000000,นายสมจิตร ครองสติ,นายสมจิตร ครองสติ,3,56,22160,0
1162,โม่หิน,21,แกลง,23961,301,สุขุมวิท,วัดชากขุนวิเศษ,17,3614,0,17,ระยอง,3.0,0,9.0,200000,3-3(1)-2/24รย,,4000000,1192.5,100000,กองดิน,4300000,5,10200000000000,บริษัท นันทศิลา จำกัด,บริษัท นันทศิลา จำกัด,3,24,22160,16000
10000,โม่ บดและย่อยหิน,21,แกลง,23961,301,,,21,3615,0,21,ระยอง,,5000000,7.0,5000000,ธ3-3(1)-4/58รย,,58000000,1450,2000000,กองดิน,70000000,6,30200000000000,บริษัท ป.ศิริภัณฑ์ศิลา จำกัด,บริษัท ป.ศิริภัณฑ์ศิลา จำกัด,3,58,22160,17600
13120,โม่ บด หรือย่อยหิน,21,แกลง,23961,301,,,14,3616,4,10,ระยอง,4.0,3000000,112/3,10000000,ธ3-3(1)-9/58รย,,32000000,1094,3000000,กองดิน,48000000,7,30200000000000,บริษัท ศิลาแกลง จำกัด,บริษัท ศิลาแกลง จำกัด,3,58,22160,28175
400,โม่หิน,21,แกลง,23961,301,,,8,3617,1,7,ระยอง,1.0,800000,283/2,1000000,3-3(1)-1/32รย,038-671152,1700000,409.5,650000,กองดิน,4150000,8,10200000000000,ห้างหุ้นส่วนจำกัด นวไพศาลศิลา,ห้างหุ้นส่วนจำกัด นวไพศาลศิลา,3,32,22160,21600
810,โม่หิน,21,แกลง,23961,301,สุขุมวิท, ,24,3618,0,24,ระยอง,1.0,100000,160/2,500000,3-3(1)-2/17รย, ,1500000,556,200000,กองดิน,2300000,9,10200000000000,บริษัท สุขไพรวันศิลา จำกัด,บริษัท สุขไพรวันศิลา จำกัด,3,17,22160,1700
0,ขุดดินเพื่อใช้ในงานก่อสร้าง,21,แกลง,8103,302,,,10,3619,0,10,ระยอง,6.0,0,"โฉนดเลขที่ 81538, 65450, 65452, 65453, 65454, 14856, 14848",200000,จ3-3(2)-200/59รย,02-9762622-9,1000000,400,5000000,บ้านนา,6200000,10,20200000000000,บริษัท กรุงเทพ คอนกรีต (1989) จำกัด,บริษัท กรุงเทพ คอนกรีต (1989) จำกัด,3,59,21110,47592
60000,ขุด ร่อน และคัดขนาดทราย,21,แกลง,8103,302,,,10,3620,0,10,ระยอง,1.0,400000,โฉนดที่ดินเลขที่ 54924 เล่ม 550 หน้า 24 และโฉนดที่ดินเลขที่ 55315 เล่ม 554 หน้า 15,1000000,จ3-3(2)-14/57รย,087-1290-490,5000000,495,7000000,กระแสบน,13400000,11,20200000000000,ห้างหุ้นส่วนจำกัด ป.นครทรายทอง,ห้างหุ้นส่วนจำกัด ป.นครทรายทอง,3,57,21110,0
0,ขุดดิน ขุดทราย ล้างและคัดขนาดทรายบก,21,แกลง,8103,302,,,6,3621,0,6,ระยอง,5.0,0,โฉนดที่ดินเลขที่ 38044 เลขที่ดิน 19,2000000,จ3-3(2)-142/61รย,,4000000,495,8000000,กระแสบน,14000000,12,20200000000000,ห้างหุ้นส่วนจำกัด ส.กิจชัยคอนกรีต,ห้างหุ้นส่วนจำกัด ส.กิจชัยคอนกรีต,3,61,21110,34786
0,ขุดทรายและร่อนขนาดทราย,21,แกลง,8103,302,,,5,3622,0,5,ระยอง,2.0,0,โฉนดที่ดินเลขที่ 26982 26983 13345,500000,จ3-3(2)-121/62รย,,4000000,396,5000000,กระแสบน,9500000,13,20200000000000,บริษัท บุญเหลือทรายธรรมชาติ จำกัด,บริษัท บุญเหลือทรายธรรมชาติ จำกัด,3,62,21110,57497
0,ขุดและล้างทราย,21,แกลง,8103,302,,,5,3623,2,3,ระยอง,4.0,0,โฉนดที่ดินเลขที่ 29652,1000000,จ3-3(2)-313/49รย,,2000000,280,2000000,ทุ่งควายกิน,5000000,14,20200000000000,ส.อรุณรุ่ง,ส.อรุณรุ่ง,3,49,21110,32000
0,ขุดดิน,21,แกลง,8103,302,,,3,3624,0,3,ระยอง,8.0,0,โฉนดที่ดินเลขที่ 25659 เล่มที่ 257 หน้าที่ 59,500000,จ3-3(2)-69/60รย,,4000000,384,5000000,กระแสบน,9500000,15,20200000000000,นายบุญสืบ แกล้วกล้า,นายบุญสืบ แกล้วกล้า,3,60,21110,50420
