จำนวน,_id,ปี,ADM2_PCODE,อำเภอ,หน่วย
207,1,2561,TH2103,แกลง,แห่ง
218,2,2562,TH2103,แกลง,แห่ง
229,3,2563,TH2103,แกลง,แห่ง
241,4,2564,TH2103,แกลง,แห่ง
250,5,2565,TH2103,แกลง,แห่ง
257,6,2566,TH2103,แกลง,แห่ง
7,7,2561,TH2107,เขาชะเมา,แห่ง
7,8,2562,TH2107,เขาชะเมา,แห่ง
7,9,2563,TH2107,เขาชะเมา,แห่ง
7,10,2564,TH2107,เขาชะเมา,แห่ง
7,11,2565,TH2107,เขาชะเมา,แห่ง
7,12,2566,TH2107,เขาชะเมา,แห่ง
330,13,2561,TH2108,นิคมพัฒนา,แห่ง
361,14,2562,TH2108,นิคมพัฒนา,แห่ง
385,15,2563,TH2108,นิคมพัฒนา,แห่ง
416,16,2564,TH2108,นิคมพัฒนา,แห่ง
448,17,2565,TH2108,นิคมพัฒนา,แห่ง
526,18,2566,TH2108,นิคมพัฒนา,แห่ง
199,19,2561,TH2105,บ้านค่าย,แห่ง
210,20,2562,TH2105,บ้านค่าย,แห่ง
215,21,2563,TH2105,บ้านค่าย,แห่ง
225,22,2564,TH2105,บ้านค่าย,แห่ง
238,23,2565,TH2105,บ้านค่าย,แห่ง
255,24,2566,TH2105,บ้านค่าย,แห่ง
81,25,2561,TH2102,บ้านฉาง,แห่ง
87,26,2562,TH2102,บ้านฉาง,แห่ง
92,27,2563,TH2102,บ้านฉาง,แห่ง
102,28,2564,TH2102,บ้านฉาง,แห่ง
108,29,2565,TH2102,บ้านฉาง,แห่ง
112,30,2566,TH2102,บ้านฉาง,แห่ง
970,31,2561,TH2106,ปลวกแดง,แห่ง
1049,32,2562,TH2106,ปลวกแดง,แห่ง
1104,33,2563,TH2106,ปลวกแดง,แห่ง
1190,34,2564,TH2106,ปลวกแดง,แห่ง
1202,35,2565,TH2106,ปลวกแดง,แห่ง
1268,36,2566,TH2106,ปลวกแดง,แห่ง
578,37,2561,TH2101,เมืองระยอง,แห่ง
616,38,2562,TH2101,เมืองระยอง,แห่ง
652,39,2563,TH2101,เมืองระยอง,แห่ง
702,40,2564,TH2101,เมืองระยอง,แห่ง
734,41,2565,TH2101,เมืองระยอง,แห่ง
772,42,2566,TH2101,เมืองระยอง,แห่ง
33,43,2561,TH2104,วังจันทร์,แห่ง
35,44,2562,TH2104,วังจันทร์,แห่ง
38,45,2563,TH2104,วังจันทร์,แห่ง
42,46,2564,TH2104,วังจันทร์,แห่ง
43,47,2565,TH2104,วังจันทร์,แห่ง
43,48,2566,TH2104,วังจันทร์,แห่ง
672,49,2567,TH2101,เมืองระยอง,แห่ง
93,50,2567,TH2102,บ้านฉาง,แห่ง
222,51,2567,TH2103,แกลง,แห่ง
39,52,2567,TH2104,วังจันทร์,แห่ง
225,53,2567,TH2105,บ้านค่าย,แห่ง
"1,079",54,2567,TH2106,ปลวกแดง,แห่ง
7,55,2567,TH2107,เขาชะเมา,แห่ง
445,56,2567,TH2108,นิคมพัฒนา,แห่ง
