_id,เลขทะเบียนโรงงาน,ลำดับ,ชื่อโรงงาน
1,น.42(1)-1/2536-ญนพ.,1,บริษัท ไทยโพลิเอททีลีน จำกัด
2,น.42(1)-1/2547-นนพ.,2,บริษัท อินนิออส สไตโรลูชั่น (ประเทศไทย) จำกัด
3,น.42(1)-2/2537-ญนพ.,3,บริษัท ศักดิ์ไชยสิทธิ์ จำกัด
4,น.42(1)-2/2538-ญนพ.,4,บริษัท ทีพีที ปิโตรเคมิคอลส์ จำกัด (มหาชน)
5,น.42(1)-2/2542-ญนพ.,5,บริษัท ไทย เอ็มเอ็มเอ จำกัด
6,น.42(1)-2/2553-ญนพ.,6,บริษัท แอดวานซ์ ไบโอเคมิคอล (ประเทศไทย) จำกัด
7,น.42(1)-3/2538-ญนพ.,7,บริษัท ไทยเอ็มเอฟซี จำกัด
8,น.42(1)-3/2540-ญนพ.,8,บริษัท สยามสไตรีนโมโนเมอร์ จำกัด
9,น.42(1)-4/2535-ญนพ.,9,บริษัท เอ็ชเอ็มซี โปลีเมอร์ จำกัด
10,น.42(1)-4/2536-ญนพ.,10,บริษัท จีซี สไตรีนิคส์ จำกัด
11,น.42(1)-5/2535-ญนพ.,11,บริษัท อดิตยา เบอร์ล่า เคมีคัลส์ (ประเทศไทย) จำกัด
12,น.42(1)-5/2538-ญนพ.,12,บริษัท โคเวสโตร (ประเทศไทย) จำกัด
13,น.42(1)-6/2536-ญนพ.,13,บริษัท ดาว เคมิคอล ประเทศไทย จำกัด
14,น.42(1)-7/2538-ญนพ.,14,บริษัท สยามโพลีสไตรีน จำกัด
15,น.42(1)-7/2541-ญนพ.,15,บริษัท ระยองโอเลฟินส์ จำกัด
16,น.42(1)-11/2540-ญนพ.,16,บริษัท ไทยโพลิเอททีลีน จำกัด
17,น.42(1)-11/2541-ญนพ.,17,บริษัท สยามโพลิเอททีลีน จำกัด
18,น.42(1)-12/2536-ญนพ.,18,บริษัท สยามเลเทกซ์สังเคราะห์ จำกัด
19,น.42(1)-14/2537-ญนพ.,19,บริษัท พีทีที โกลบอล เคมิคอล จำกัด (มหาชน)
20,น.42(1)-15/2537-ญนพ.,20,บริษัท กรุงเทพ ซินธิติกส์ จำกัด
21,น.42(1)-21/2535-ญนพ.,21,บริษัท โอเอสซี สยามซิลิกา จำกัด
22,น.42(1)-25/2535-ญนพ.,22,บริษัท โอเอสซี สยามซิลิกา จำกัด
23,น.42(1)-28/2535-ญนพ.,23,บริษัท วีนิไทย จำกัด (มหาชน)
24,น.42(2)-1/2536-ญทร.,24,บริษัท ไทย แท้งค์เทอร์มินัล จำกัด
25,น.42(2)-1/2537-ญนพ.,25,บริษัท พีทีที โกลบอล เคมิคอล จำกัด (มหาชน)
26,น.42(2)-2/2552-ญทร.,26,บริษัท พีทีที แทงค์ เทอร์มินัล จำกัด
27,น.42(2)-3/2541-ญทร.,27,บริษัท มาบตาพุด แทงค์ เทอร์มินัล จำกัด
28,น.42(2)-4/2552-ญทร.,28,บริษัท ระยอง เทอร์มินัล จำกัด
29,น.44-1/2533-ญนพ.,29,บริษัท อินโดรามา โพลีเอสเตอร์ อินดัสตรี้ส์ จำกัด (มหาชน)
30,น.44-2/2542-ญนพ.,30,บริษัท บีเอสที อิลาสโตเมอร์ส จำกัด
31,น.49-1/2536-ญนพ.,31,บริษัท พีทีที โกลบอล เคมิคอล จำกัด (มหาชน)
32,น.49-1/2537-ญนพ.,32,บริษัท สตาร์ ปิโตรเลียม รีไฟน์นิ่ง จำกัด (มหาชน)
33,น.53(5)-1/2540-ญนพ.,33,บริษัท แกรนด์ สยาม คอมโพสิต จำกัด
34,น.53(5)-1/2561-ญนพ.,34,บริษัท เอสซีจี ไอโค พอลิเมอร์ จำกัด
35,น.59-1/2537-ญนพ.,35,บริษัท เหล็กสยามยามาโตะ จำกัด
36,น.88(2)-1/2538-ญนพ.,36,บริษัท โกลว์ พลังงาน จำกัด (มหาชน)
37,น.88(2)-1/2541-ญทร.,37,บริษัท โกลว์ เอสพีพี 3 จำกัด
38,น.88(2)-1/2552-ญนพ.,38,บริษัท โกลว์ พลังงาน จำกัด (มหาชน)
39,น.88(2)-2/2544-ญทร.,39,บริษัท บีแอลซีพี เพาเวอร์ จำกัด
40,น.88(2)-2/2552-ญนพ.,40,บริษัท โกลว์ เอสพีพี 2 จำกัด
41,น.89-1/2533-ญนพ.,41,บริษัท บางกอกอินดัสเทรียลแก๊ส จำกัด
42,น.89-3/2537-ญนพ.,42,บริษัท บางกอกอินดัสเทรียลแก๊ส จำกัด
43,น.42(1)-1/2550-นอล.,43,บริษัท มาบตาพุดโอเลฟินส์ จำกัด
44,น.42(1)-1/2558-ญอล.,44,บริษัท ไทยโพลิเอททีลีน จำกัด
45,น.42(1)-4/2549-ญอล.,45,บริษัท พีทีที โกลบอล เคมิคอล จำกัด (มหาชน)
46,น.42(1)-4/2550-นอล.,46,บริษัท ไทยโพลิเอททีลีน จำกัด
47,น.53(5)-1/2552-ญอล.,47,บริษัท เเกรนด์ สยาม คอมโพสิต จำกัด
48,น.42(1)-4/2554-ญอซ.,48,บริษัท ดาว เคมิคอล ประเทศไทย จำกัด
49,น.42(1)-5/2545-ญอซ.,49,บริษัท ชิน-เอทซุ ซิลิโคนส์ (ประเทศไทย) จำกัด
50,น.42(1)-6/2545-ญอซ.,50,บริษัท ชิน-เอทซุ นิวแมททีเรียลส์ (ประเทศไทย) จำกัด
51,น.42(1)-6/2551-ญอซ.,51,บริษัท สยามเลเทกซ์สังเคราะห์ จำกัด
52,น.42(1)-9/2549-ญอซ.,52,บริษัท เอ็มทีพี เอชพีพีโอ แมนูแฟคเจอริ่ง จำกัด
53,น.88-1/2553-ญอซ.,53,บริษัท โกลว์ พลังงาน จำกัด (มหาชน)
54,จ3-63(2)-52/58รย,54,บริษัท รีนิวคอยส์ เอ็นจิเนียริ่ง แอนด์ ซัพพลาย จำกัด
55,3-90-1/63รย,55,บริษัท จัดการและพัฒนาทรัพยากรน้ำภาคตะวันออก จำกัด (มหาชน)
56,3-89-1/29รย,56,โรงแยกก๊าซธรรมชาติอีเทน
57,3-89-1/33รย,57,บริษัท พีทีที โกลบอล เคมิคอล จำกัด (มหาชน)
58,3-90-6/49รย,58,บริษัท โกลบอล เพาเวอร์ ซินเนอร์ยี่ จำกัด (มหาชน)
59,จ3-91(1)-1/53รย,59,บริษัท จีซี โลจิสติกส์ โซลูชั่นส์ จำกัด
60,3-106-46/52รย,60,บริษัท นิคส์ อินโนเวชั่น จำกัด
61,3-42(1)-1/40รย,61,บริษัท อีโอซี โพลิเมอร์ส (ไทยแลนด์) จำกัด
62,3-42(1)-19/51รย,62,บริษัท เซ้าท์ ซิตี้ ปิโตรเคม จำกัด
63,ส3-63(2)-1/26รย,63,บริษัท เอเซี่ยนสติล โปรดักส์ จำกัด
64,3-88(2)-1/44รย,64,บริษัท เอ็กโก โคเจนเนอเรชั่น จำกัด
65,น.42(1)-1/2551-ญหอ.,65,บริษัท พีทีที อาซาฮี เคมิคอล จำกัด
66,น.42(1)-1/2561-นหอ.,66,บริษัท เซออน เคมิคัลส์ เอเชีย จำกัด
67,น.42(1)-2/2546-ญหอ.,67,บริษัท ไทย เพ็ท เรซิน จำกัด
68,น.42(1)-2/2550-ญหอ.,68,บริษัท เคแอลเจ ออร์เเกนนิค (ประเทศไทย) จำกัก
69,น.42(1)-2/2555-ญหอ.,69,บริษัท โซลเวย์ (ประเทศไทย) จำกัด
70,น.42(1)-5/2541-ญหอ.,70,บริษัท เซออน เคมิคัลส์ (ไทยแลนด์) จำกัด
71,น.42(1)-6/2540-ญหอ.,71,บริษัท ออลเน็กซ์ (ประเทศไทย) จำกัด
72,น.42(1)-6/2541-ญหอ.,72,บริษัท จีซี-เอ็ม พีทีเอ จำกัด
73,น.42(1)-6/2542-ญหอ.,73,บริษัท อาราคาวา เคมิคัล (ไทยแลนด์) จำกัด
74,น.48(3)-3/2540-ญหอ.,74,บริษัท คาร์ไบด์ เคมิคอล (ประเทศไทย) จำกัด
75,น.48(11)-1/2540-ญหอ.,75,บริษัท ร็อควูล (ประเทศไทย) จำกัด
76,น.59-2/2550-ญหอ.,76,บริษัท เหล็กสยามยามาโตะ จำกัด
77,น.88-1/2548-ญหอ.,77,บริษัท โกลบอล เพาเวอร์ ซินเนอร์ยี่ จำกัด (มหาชน)
78,น.42(1)-1/2550-นหอ.,78,บริษัท จีซี ไกลคอล จำกัด
79,น.42(1)-1/2550-ญหอ.,79,บริษัท เอ็ชเอ็มซี โปลีเมอส์ จำกัด
80,น.42(1)-2/2548-ญหอ.,80,บริษัท พีทีที ฟีนอล จำกัด
81,น.42(1)-3/2547-ญหอ.,81,บริษัท จีซี ไกลคอล จำกัด
82,น.42(1)-4/2551-ญหอ.,82,บริษัท พีทีที ฟีนอล จำกัด
83,น.42(1)-5/2548-ญหอ.,83,บริษัท ไทย อีทอกซีเลท จำกัด
84,น.42(1)-5/2549-ญหอ.,84,บริษัท โกลบอลกรีนเคมิคอล จำกัด (มหาชน)
85,น.42(1)-8/2539-ญหอ.,85,บริษัท ไทยอาซาฮีเคมีภัณฑ์ จำกัด
86,น.59-1/2554-ญหอ.,86,บริษัท เอ็นเอส-สยามยูไนเต็ดสตีล จำกัด
87,น.59-5/2540-ญหอ.,87,บริษัท เอ็นเอส บลูสโคป (ประเทศไทย) จำกัด
88,น.90-1/2554-ญหอ.,88,บริษัท โกลบอล เพาเวอร์ ซินเนอร์ยี่ จำกัด (มหาชน)
89,น.89-325/2562-ญนพ.,89,บริษัท ลินเด้ ไฮโค จำกัด
