เดือน,_id,ปี,ปริมาณ,รายการ,จังหวัด,หน่วยงาน,หน่วย
มกราคม,1,2563,0,การออกใบอนุญาตขนย้ายน้ำมันเมล็ดในปาล์ม,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
กุมภาพันธ์,2,2563,497,การออกใบอนุญาตขนย้ายน้ำมันเมล็ดในปาล์ม,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
มีนาคม,3,2563,1136,การออกใบอนุญาตขนย้ายน้ำมันเมล็ดในปาล์ม,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
เมษายน,4,2563,350,การออกใบอนุญาตขนย้ายน้ำมันเมล็ดในปาล์ม,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
พฤษภาคม,5,2563,280,การออกใบอนุญาตขนย้ายน้ำมันเมล็ดในปาล์ม,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
มิถุนายน,6,2563,830,การออกใบอนุญาตขนย้ายน้ำมันเมล็ดในปาล์ม,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
กรกฎาคม,7,2563,0,การออกใบอนุญาตขนย้ายน้ำมันเมล็ดในปาล์ม,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
สิงหาคม,8,2563,245,การออกใบอนุญาตขนย้ายน้ำมันเมล็ดในปาล์ม,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
กันยายน,9,2563,1163,การออกใบอนุญาตขนย้ายน้ำมันเมล็ดในปาล์ม,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
ตุลาคม,10,2563,693,การออกใบอนุญาตขนย้ายน้ำมันเมล็ดในปาล์ม,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
พฤศจิกายน,11,2563,33,การออกใบอนุญาตขนย้ายน้ำมันเมล็ดในปาล์ม,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
ธันวาคม,12,2563,878,การออกใบอนุญาตขนย้ายน้ำมันเมล็ดในปาล์ม,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
มกราคม,13,2564,482,การออกใบอนุญาตขนย้ายน้ำมันเมล็ดในปาล์ม,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
กุมภาพันธ์,14,2564,900,การออกใบอนุญาตขนย้ายน้ำมันเมล็ดในปาล์ม,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
มีนาคม,15,2564,736,การออกใบอนุญาตขนย้ายน้ำมันเมล็ดในปาล์ม,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
เมษายน,16,2564,528,การออกใบอนุญาตขนย้ายน้ำมันเมล็ดในปาล์ม,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
พฤษภาคม,17,2564,1181,การออกใบอนุญาตขนย้ายน้ำมันเมล็ดในปาล์ม,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
มิถุนายน,18,2564,198,การออกใบอนุญาตขนย้ายน้ำมันเมล็ดในปาล์ม,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
กรกฎาคม,19,2564,1287,การออกใบอนุญาตขนย้ายน้ำมันเมล็ดในปาล์ม,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
สิงหาคม,20,2564,1088,การออกใบอนุญาตขนย้ายน้ำมันเมล็ดในปาล์ม,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
กันยายน,21,2564,2268,การออกใบอนุญาตขนย้ายน้ำมันเมล็ดในปาล์ม,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
ตุลาคม,22,2564,2440,การออกใบอนุญาตขนย้ายน้ำมันเมล็ดในปาล์ม,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
พฤศจิกายน,23,2564,858,การออกใบอนุญาตขนย้ายน้ำมันเมล็ดในปาล์ม,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
ธันวาคม,24,2564,917,การออกใบอนุญาตขนย้ายน้ำมันเมล็ดในปาล์ม,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
มกราคม,25,2565,274,การออกใบอนุญาตขนย้ายน้ำมันเมล็ดในปาล์ม,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
