ผลผลิตที่ได้(กก.),พื้นที่ปลูก(ไร่),_id,ปี,ผลผลิต/ไร่,พื้นที่เก็บ(ไร่),อำเภอ
"65,559,900","82,032",1,2563,799.86,"81,964",เมืองอุทัยธานี
"56,018,404","133,504",2,2563,633.74,"88,393",ทัพทัน
"41,819,627","85,857",3,2563,674.09,"62,038",สว่างอารมณ์
"73,363,214","130,851",4,2563,657.99,"111,495",หนองฉาง
"28,898,922","46,661",5,2563,643.46,"44,911",หนองขาหย่าง
"11,399,300","17,749",6,2563,642.25,"17,749",บ้านไร่
"36,220,374","48,262",7,2563,752.11,"48,158",ลานสัก
"5,929,552","9,044",8,2563,655.63,"9,044",ห้วยคต
"61,684,800","74,452",9,2564,800,"74,452",เมืองอุทัยธานี
"97,614,316","139,783",10,2564,708.62,"137,752",ทัพทัน
"37,673,698","77,584",11,2564,678.7,"55,508",สว่างอารมณ์
"104,985,350","164,230",12,2564,657.23,"159,739",หนองฉาง
"46,006,350","59,320",13,2564,814.31,"56,497",หนองขาหย่าง
"10,988,200","17,595",14,2564,625.64,"17,563",บ้านไร่
"48,040,780","66,168",15,2564,727.9,"65,999",ลานสัก
"4,789,700","7,278",16,2564,658.38,"7,275",ห้วยคต
"56,198,000","75,318",17,2565,800,"70,210",เมืองอุทัยธานี
"87,257,500","130,896",18,2565,726.95,"120,032",ทัพทัน
"49,317,216","107,840",19,2565,742.92,"66,383",สว่างอารมณ์
"63,061,388","130,542",20,2565,657.64,"95,889",หนองฉาง
"25,202,244","54,938",21,2565,767.48,"32,837",หนองขาหย่าง
"18,763,700","30,163",22,2565,696.58,"26,937",บ้านไร่
"19,929,246","58,952",23,2565,762,"26,154",ลานสัก
"3,428,597","6,167",24,2565,613.24,"5,591",ห้วยคต
"49,386","76,095",25,2566,649,"76,095",เมืองอุทัยธานี
"48,423","121,010",26,2566,623,"77,725",ทัพทัน
"38,153","111,503",27,2566,602,"63,377",สว่างอารมณ์
"67,334","102,211",28,2566,659,"102,191",หนองฉาง
"25,835","41,138",29,2566,628,"41,138",หนองขาหย่าง
"11,302","18,962",30,2566,598,"18,899",บ้านไร่
"38,893","60,221",31,2566,646,"60,206",ลานสัก
"4,252","6,881",32,2566,618,"6,881",ห้วยคต
50259,76967,33,2567,657,76497,เมืองอุทัยธานี
78841,125043,34,2567,632,124748,ทัพทัน
9387,15413,35,2567,610,15388,บ้านไร่
70198,115149,36,2567,614,114329,สว่างอารมณ์
29674,47221,37,2567,630,47101,หนองขาหย่าง
75039,112446,38,2567,669,112166,หนองฉาง
38959,59782,39,2567,653,59662,ลานสัก
4471,7202,40,2567,623,7177,ห้วยคต
"68,219,040","87,982",41,2568,773,"88,199",เมืองอุทัยธานี
"80,533,600","149,003",42,2568,692,"116,445",ทัพทัน
"74,112,500","99,710",43,2568,737,"100,540",สว่างอารมณ์
"91,245,316","142,248",44,2568,675,"135,275",หนองฉาง
"30,959,732","51,865",45,2568,687,"45,062",หนองขาหย่าง
"10,422,890","15,466",46,2568,674,"15,466",บ้านไร่
"37,039,892","70,792",47,2568,708,"52,313",ลานสัก
"2,055,360","6,387",48,2568,746,"2,757",ห้วยคต
