_id,ปี,ช่วงเกิดภัย,หน่วยราย,วงเงินช่วยเหลือ,จำนวนเกษตรกร,หน่วยไร่,อำเภอ,หน่วยบาท,ภัย,ข้าวโพด
1,2561,1-ก.ค.-61,ราย,"27,552.00",3, ไร่ ,ทัพทัน,บาท,ฝนทิ้งช่วง,24
2,2561,1-ก.ค.-61,ราย,"82,369.00",10, ไร่ ,ลานสัก,บาท,ฝนทิ้งช่วง,71.75
3,2561,1-ก.ค.-61,ราย,"165,312.00",12, ไร่ ,สว่างอารมณ์,บาท,ฝนทิ้งช่วง,144
4,2561,15-ก.ย.-61,ราย,"2,250,080.00",139, ไร่ ,สว่างอารมณ์,บาท,ฝนแล้ง,"1,960.00"
5,2562,15-ก.ค.-62,ราย,"711,186.00",72, ไร่ ,ทัพทัน,บาท,ภาวะฝนแล้ง,619.5
6,2562,15-ก.ค.-62,ราย,"1,123,318.00",121, ไร่ ,บ้านไร่,บาท,ภาวะฝนแล้ง,978.5
7,2562,15-ก.ค.-62,ราย,0,0, ไร่ ,เมือง,บาท,ภาวะฝนแล้ง,0
8,2562,15-ก.ค.-62,ราย,"4,041,534.00",390, ไร่ ,ลานสัก,บาท,ภาวะฝนแล้ง,"3,520.50"
9,2562,15-ก.ค.-62,ราย,"2,368,324.00",207, ไร่ ,สว่างอารมณ์,บาท,ภาวะฝนแล้ง,"2,063.00"
10,2562,15-ก.ค.-62,ราย,"30,996.00",3, ไร่ ,หนองขาหย่าง,บาท,ภาวะฝนแล้ง,27
11,2562,15-ก.ค.-62,ราย,"1,019,711.00",87, ไร่ ,หนองฉาง,บาท,ภาวะฝนแล้ง,888.25
12,2562,15-ก.ค.-62,ราย,"92,701.00",10, ไร่ ,ห้วยคต,บาท,ภาวะฝนแล้ง,80.75
13,2562,25-ต.ค.-62,ราย,"3,463,229.00",227, ไร่ ,ทัพทัน,บาท,ภัยแล้ง,"3,016.75"
14,2562,25-ต.ค.-62,ราย,"402,948.00",28, ไร่ ,บ้านไร่,บาท,ภัยแล้ง,351
15,2562,25-ต.ค.-62,ราย,0,0, ไร่ ,เมือง,บาท,ภัยแล้ง,0
16,2562,25-ต.ค.-62,ราย,"7,661,178.00",688, ไร่ ,ลานสัก,บาท,ภัยแล้ง,"6,673.50"
17,2562,25-ต.ค.-62,ราย,0,0, ไร่ ,สว่างอารมณ์,บาท,ภัยแล้ง,0
18,2562,25-ต.ค.-62,ราย,0,0, ไร่ ,หนองขาหย่าง,บาท,ภัยแล้ง,0
19,2562,25-ต.ค.-62,ราย,0,0, ไร่ ,หนองฉาง,บาท,ภัยแล้ง,0
20,2562,25-ต.ค.-62,ราย,0,0, ไร่ ,ห้วยคต,บาท,ภัยแล้ง,0
21,2563,24 ส.ค. - 5 ต.ค. 2563,ราย,"10,687,306.00",665, ไร่ ,ทัพทัน,บาท,ภาวะฝนแล้ง,"9,309.50"
22,2563,24 ส.ค. - 5 ต.ค. 2563,ราย,"15,984,752.00",802, ไร่ ,สว่างอารมณ์,บาท,ภาวะฝนแล้ง,"13,924.00"
23,2563,24 ส.ค. - 5 ต.ค. 2563,ราย,"1,487,808.00",123, ไร่ ,หนองฉาง,บาท,ภาวะฝนแล้ง,"1,296.00"
24,2563,24 ส.ค. - 5 ต.ค. 2563,ราย,"39,032.00",4, ไร่ ,หนองขาหย่าง,บาท,ภาวะฝนแล้ง,34
25,2566, 22 พ.ค. - 1 ก.ย. 2566,ราย,"122,760.00",6, ไร่ ,ทัพทัน,บาท,ภาวะฝนแล้ง,62
26,2566, 22 พ.ค. - 1 ก.ย. 2566,ราย,"9,030,423.60",224, ไร่ ,สว่างอารมณ์,บาท,ภาวะฝนแล้ง,"4,560.82"
27,2566, 22 พ.ค. - 1 ก.ย. 2566,ราย,"232,650.00",10, ไร่ ,ลานสัก,บาท,ภาวะฝนแล้ง,117.5
28,2567,3 ก.ย.66 - 15 มี.ค.67,ราย,"6,870,600.00",351, ไร่ ,ทัพทัน,บาท,ภาวะฝนแล้ง,"3,470.00"
