_id,ปี,ช่วงเกิดภัย,มันสำปะหลัง,หน่วยราย,จำนวนเกษตรกร,วงเงินช่วยเหลือ,หน่วยไร่,อำเภอ,หน่วยบาท,ภัย
1,2561,1-ก.ค.-61,0.0,ราย,0.00,0.00,ไร่,ทัพทัน,บาท,ฝนทิ้งช่วง
2,2561,1-ก.ค.-61,2.0,ราย, 1.00 ," 2,296.00 ",ไร่,ลานสัก,บาท,ฝนทิ้งช่วง
3,2561,1-ก.ค.-61,0.0,ราย,0.00,0.00,ไร่,สว่างอารมณ์,บาท,ฝนทิ้งช่วง
4,2561,15-ก.ย.-61,5.0,ราย, 1.00 ," 5,740.00 ",ไร่,สว่างอารมณ์,บาท,ฝนแล้ง
5,2562,15-ก.ค.-62,333.5,ราย, 43.00 ," 382,858.00 ",ไร่,ทัพทัน,บาท,ภาวะฝนแล้ง
6,2562,15-ก.ค.-62,372.75,ราย, 55.00 ," 427,917.00 ",ไร่,บ้านไร่,บาท,ภาวะฝนแล้ง
7,2562,15-ก.ค.-62,0.0,ราย,0.00,0.00,ไร่,เมือง,บาท,ภาวะฝนแล้ง
8,2562,15-ก.ค.-62,4788.5,ราย, 691.00 ," 5,497,198.00 ",ไร่,ลานสัก,บาท,ภาวะฝนแล้ง
9,2562,15-ก.ค.-62,4318.0,ราย, 496.00 ," 4,957,064.00 ",ไร่,สว่างอารมณ์,บาท,ภาวะฝนแล้ง
10,2562,15-ก.ค.-62,17.0,ราย, 5.00 ," 19,516.00 ",ไร่,หนองขาหย่าง,บาท,ภาวะฝนแล้ง
11,2562,15-ก.ค.-62,115.0,ราย, 18.00 ," 132,020.00 ",ไร่,หนองฉาง,บาท,ภาวะฝนแล้ง
12,2562,15-ก.ค.-62,516.25,ราย, 96.00 ," 592,655.00 ",ไร่,ห้วยคต,บาท,ภาวะฝนแล้ง
13,2562,25-ต.ค.-62,629.0,ราย, 62.00 ," 722,092.00 ",ไร่,ทัพทัน,บาท,ภัยแล้ง
14,2562,25-ต.ค.-62,15.5,ราย, 4.00 ," 17,794.00 ",ไร่,บ้านไร่,บาท,ภัยแล้ง
15,2562,25-ต.ค.-62,10.0,ราย, 1.00 ," 11,480.00 ",ไร่,เมือง,บาท,ภัยแล้ง
16,2562,25-ต.ค.-62,292.0,ราย, 47.00 ," 335,216.00 ",ไร่,ลานสัก,บาท,ภัยแล้ง
17,2562,25-ต.ค.-62,0.0,ราย,0.00,0.00,ไร่,สว่างอารมณ์,บาท,ภัยแล้ง
18,2562,25-ต.ค.-62,0.0,ราย,0.00,0.00,ไร่,หนองขาหย่าง,บาท,ภัยแล้ง
19,2562,25-ต.ค.-62,0.0,ราย,0.00,0.00,ไร่,หนองฉาง,บาท,ภัยแล้ง
20,2562,25-ต.ค.-62,0.0,ราย,0.00,0.00,ไร่,ห้วยคต,บาท,ภัยแล้ง
21,2563,24 ส.ค. - 5 ต.ค. 2563,1537.0,ราย, 154.00 ," 1,764,476.00 ",ไร่,ทัพทัน,บาท,ภาวะฝนแล้ง
22,2563,24 ส.ค. - 5 ต.ค. 2563,8445.0,ราย, 734.00 ," 9,694,860.00 ",ไร่,สว่างอารมณ์,บาท,ภาวะฝนแล้ง
23,2563,24 ส.ค. - 5 ต.ค. 2563,104.0,ราย, 16.00 ," 119,392.00 ",ไร่,หนองฉาง,บาท,ภาวะฝนแล้ง
24,2566, 22 พ.ค. - 1 ก.ย. 2566,6124.0,ราย, 529.00 ," 12,125,520.00 ",ไร่,ทัพทัน,บาท,ภาวะฝนแล้ง
25,2566, 22 พ.ค. - 1 ก.ย. 2566,29875.0,ราย," 1,879.00 "," 59,152,500.00 ",ไร่,สว่างอารมณ์,บาท,ภาวะฝนแล้ง
26,2566, 22 พ.ค. - 1 ก.ย. 2566,652.25,ราย, 179.00 ," 1,291,455.00 ",ไร่,บ้านไร่,บาท,ภาวะฝนแล้ง
27,2566, 22 พ.ค. - 1 ก.ย. 2566,20898.75,ราย," 2,176.00 "," 41,379,525.00 ",ไร่,ลานสัก,บาท,ภาวะฝนแล้ง
28,2566, 22 พ.ค. - 1 ก.ย. 2566,380.0,ราย, 103.00 ," 752,400.00 ",ไร่,ห้วยคต,บาท,ภาวะฝนแล้ง
29,2567,3 ก.ย.66 - 15 มี.ค.67,2809.0,ราย, 269.00 ," 5,561,820.00 ",ไร่,ทัพทัน,บาท,ภาวะฝนแล้ง
30,2567,20 เม.ย. - 22 พ.ค.67,1864.5,ราย, 337.00 ," 3,691,710.00 ",ไร่,บ้านไร่,บาท,กรณีภัยแล้ง
31,2567,20 เม.ย. - 22 พ.ค.67,857.5,ราย, 170.00 ," 1,697,850.00 ",ไร่,ห้วยคต,บาท,กรณีภัยแล้ง
