ประเภทโรงงาน,ปริมาณขยะ(ตัน),จำนวนโรงงาน,ประเภทขยะ,_id,ปี
การทำแป้ง,0,0,ขยะไม่อันตราย,1,2566
โรงงานผลิตรองเท้าหรือชิ้นส่วนของรองเท้าซึ่งมิได้ทำจากไม้ยางอบแข็ง ยางอัดเข้ารูป,200,1,ขยะไม่อันตราย,2,2566
โรงงานผลิตพลังงานไฟฟ้า,80,1,ขยะไม่อันตราย,3,2566
ทำน้ำตาลทรายดิบ น้ำตาลทรายขาว น้ำตาลทรายขาวบริสุทธิ์,80,1,ขยะไม่อันตราย,4,2566
การซ่อมแซมยานที่ขับเคลื่อนด้วยเครื่องยนต์หรือส่วนประกอบของยานดังกล่าว,10.135,1,ขยะไม่อันตราย,5,2566
การทำแป้ง,9.8,1,ขยะอันตราย,6,2566
โรงงานผลิตรองเท้าหรือชิ้นส่วนของรองเท้าซึ่งมิได้ทำจากไม้ยางอบแข็ง ยางอัดเข้ารูป,0,0,ขยะอันตราย,7,2566
โรงงานผลิตพลังงานไฟฟ้า,40,1,ขยะอันตราย,8,2566
ทำน้ำตาลทรายดิบ น้ำตาลทรายขาว น้ำตาลทรายขาวบริสุทธิ์,220,1,ขยะอันตราย,9,2566
การซ่อมแซมยานที่ขับเคลื่อนด้วยเครื่องยนต์หรือส่วนประกอบของยานดังกล่าว,65.555,3,ขยะอันตราย,10,2566
การทำแป้ง,0,0,ขยะไม่อันตราย,11,2567
โรงงานผลิตรองเท้าหรือชิ้นส่วนของรองเท้าซึ่งมิได้ทำจากไม้ยางอบแข็ง ยางอัดเข้ารูป,200,1,ขยะไม่อันตราย,12,2567
โรงงานผลิตพลังงานไฟฟ้า,80,1,ขยะไม่อันตราย,13,2567
ทำน้ำตาลทรายดิบ น้ำตาลทรายขาว น้ำตาลทรายขาวบริสุทธิ์,80,1,ขยะไม่อันตราย,14,2567
การซ่อมแซมยานที่ขับเคลื่อนด้วยเครื่องยนต์หรือส่วนประกอบของยานดังกล่าว,10.135,1,ขยะไม่อันตราย,15,2567
การทำแป้ง,9.8,1,ขยะอันตราย,16,2567
โรงงานผลิตรองเท้าหรือชิ้นส่วนของรองเท้าซึ่งมิได้ทำจากไม้ยางอบแข็ง ยางอัดเข้ารูป,0,0,ขยะอันตราย,17,2567
โรงงานผลิตพลังงานไฟฟ้า,40,1,ขยะอันตราย,18,2567
ทำน้ำตาลทรายดิบ น้ำตาลทรายขาว น้ำตาลทรายขาวบริสุทธิ์,220,1,ขยะอันตราย,19,2567
การซ่อมแซมยานที่ขับเคลื่อนด้วยเครื่องยนต์หรือส่วนประกอบของยานดังกล่าว,65.555,3,ขยะอันตราย,20,2567
การทำแป้ง,0,0,ขยะไม่อันตราย,21,2568
โรงงานผลิตรองเท้าหรือชิ้นส่วนของรองเท้าซึ่งมิได้ทำจากไม้ยางอบแข็ง ยางอัดเข้ารูป,26,1,ขยะไม่อันตราย,22,2568
โรงงานผลิตพลังงานไฟฟ้า,0,0,ขยะไม่อันตราย,23,2568
ทำน้ำตาลทรายดิบ น้ำตาลทรายขาว น้ำตาลทรายขาวบริสุทธิ์,9485,2,ขยะไม่อันตราย,24,2568
การซ่อมแซมยานที่ขับเคลื่อนด้วยเครื่องยนต์หรือส่วนประกอบของยานดังกล่าว,0.35,1,ขยะไม่อันตราย,25,2568
การทำแป้ง,0,1,ขยะอันตราย,26,2568
โรงงานผลิตรองเท้าหรือชิ้นส่วนของรองเท้าซึ่งมิได้ทำจากไม้ยางอบแข็ง ยางอัดเข้ารูป,0,0,ขยะอันตราย,27,2568
โรงงานผลิตพลังงานไฟฟ้า,377,1,ขยะอันตราย,28,2568
ทำน้ำตาลทรายดิบ น้ำตาลทรายขาว น้ำตาลทรายขาวบริสุทธิ์,1121,1,ขยะอันตราย,29,2568
การซ่อมแซมยานที่ขับเคลื่อนด้วยเครื่องยนต์หรือส่วนประกอบของยานดังกล่าว,19,3,ขยะอันตราย,30,2568
