_id,ปี,จำนวนโรงงาน,ประเภทอุตสาหกรรม
1,2562,90,อุตสาหกรรมการเกษตร 
2,2562,19,อุตสาหกรรมอาหาร 
3,2562,0,อุตสาหกรรมเครื่องดื่ม
4,2562,0,อุตสาหกรรมสิ่งทอ
5,2562,1,อุตสาหกรรมเครื่องแต่งกาย
6,2562,5,อุตสาหกรรมเครื่องหนัง
7,2562,6,อุตสาหกรรมไม้และผลิตภัณฑ์จากไม้ 
8,2562,5,อุตสาหกรรมเฟอร์นิเจอร์และเครื่องเรือน 
9,2562,0,อุตสาหกรรมกระดาษและผลิตภัณฑ์จากกระดาษ
10,2562,0,อุตสาหกรรมสิ่งพิมพ์
11,2562,5,อุตสาหกรรมเคมี
12,2562,2,อุตสาหกรรมปิโตรเคมีและผลิตภัณฑ์
13,2562,0,อุตสาหกรรมยาง
14,2562,2,อุตสาหกรรมพลาสติก
15,2562,25,อุตสาหกรรมอโลหะ
16,2562,2,อุตสาหกรรมโลหะ
17,2562,18,อุตสาหกรรมผลิตภัณฑ์โลหะ
18,2562,17,อุตสาหกรรมเครื่องจักรกล
19,2562,1,อุตสาหกรรมไฟฟ้า
20,2562,19,อุตสาหกรรมขนส่ง
21,2562,11,อุตสาหกรรมอื่นๆ 
22,2563,88,อุตสาหกรรมการเกษตร 
23,2563,18,อุตสาหกรรมอาหาร 
24,2563,0,อุตสาหกรรมเครื่องดื่ม
25,2563,0,อุตสาหกรรมสิ่งทอ
26,2563,1,อุตสาหกรรมเครื่องแต่งกาย
27,2563,5,อุตสาหกรรมเครื่องหนัง
28,2563,7,อุตสาหกรรมไม้และผลิตภัณฑ์จากไม้ 
29,2563,5,อุตสาหกรรมเฟอร์นิเจอร์และเครื่องเรือน 
30,2563,0,อุตสาหกรรมกระดาษและผลิตภัณฑ์จากกระดาษ
31,2563,0,อุตสาหกรรมสิ่งพิมพ์
32,2563,4,อุตสาหกรรมเคมี
33,2563,2,อุตสาหกรรมปิโตรเคมีและผลิตภัณฑ์
34,2563,0,อุตสาหกรรมยาง
35,2563,2,อุตสาหกรรมพลาสติก
36,2563,26,อุตสาหกรรมอโลหะ
37,2563,2,อุตสาหกรรมโลหะ
38,2563,18,อุตสาหกรรมผลิตภัณฑ์โลหะ
39,2563,17,อุตสาหกรรมเครื่องจักรกล
40,2563,1,อุตสาหกรรมไฟฟ้า
41,2563,19,อุตสาหกรรมขนส่ง
42,2563,11,อุตสาหกรรมอื่นๆ 
43,2564,82,อุตสาหกรรมการเกษตร 
44,2564,12,อุตสาหกรรมอาหาร 
45,2564,1,อุตสาหกรรมเครื่องดื่ม
46,2564,0,อุตสาหกรรมสิ่งทอ
47,2564,0,อุตสาหกรรมเครื่องแต่งกาย
48,2564,3,อุตสาหกรรมเครื่องหนัง
49,2564,7,อุตสาหกรรมไม้และผลิตภัณฑ์จากไม้ 
50,2564,1,อุตสาหกรรมเฟอร์นิเจอร์และเครื่องเรือน 
51,2564,0,อุตสาหกรรมกระดาษและผลิตภัณฑ์จากกระดาษ
52,2564,0,อุตสาหกรรมสิ่งพิมพ์
53,2564,3,อุตสาหกรรมเคมี
54,2564,3,อุตสาหกรรมปิโตรเคมีและผลิตภัณฑ์
55,2564,1,อุตสาหกรรมยาง
